No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
1;Bali;Kabupaten;Gianyar;Ubud;Kedewatan;80571
2;Bali;Kabupaten;Gianyar;Ubud;Lodtunduh;80571
3;Bali;Kabupaten;Gianyar;Ubud;Mas;80571
4;Bali;Kabupaten;Gianyar;Ubud;Peliatan;80571
5;Bali;Kabupaten;Gianyar;Ubud;Petulu;80571
6;Bali;Kabupaten;Gianyar;Ubud;Sayan;80571
7;Bali;Kabupaten;Gianyar;Ubud;Singakerta (Singekerta);80571
8;Bali;Kabupaten;Gianyar;Ubud;Ubud;80571
9;Bali;Kabupaten;Bangli;Tembuku;Bangbang;80671
10;Bali;Kabupaten;Bangli;Tembuku;Jehem;80671
11;Bali;Kabupaten;Bangli;Tembuku;Peninjoan;80671
12;Bali;Kabupaten;Bangli;Tembuku;Tembuku;80671
13;Bali;Kabupaten;Bangli;Tembuku;Undisan;80671
14;Bali;Kabupaten;Bangli;Tembuku;Yangapi;80671
15;Bali;Kabupaten;Buleleng;Tejakula;Bondalem;81173
16;Bali;Kabupaten;Buleleng;Tejakula;Julah;81173
17;Bali;Kabupaten;Buleleng;Tejakula;Les;81173
18;Bali;Kabupaten;Buleleng;Tejakula;Madenan;81173
19;Bali;Kabupaten;Buleleng;Tejakula;Pacung;81173
20;Bali;Kabupaten;Buleleng;Tejakula;Penuktukan;81173
21;Bali;Kabupaten;Buleleng;Tejakula;Sambirenteng;81173
22;Bali;Kabupaten;Buleleng;Tejakula;Sembiran;81173
23;Bali;Kabupaten;Buleleng;Tejakula;Tejakula;81173
24;Bali;Kabupaten;Buleleng;Tejakula;Tembok;81173
25;Bali;Kabupaten;Gianyar;Tegallalang;Kedisan;80561
26;Bali;Kabupaten;Gianyar;Tegallalang;Keliki;80561
27;Bali;Kabupaten;Gianyar;Tegallalang;Kenderan;80561
28;Bali;Kabupaten;Gianyar;Tegallalang;Pupuan;80561
29;Bali;Kabupaten;Gianyar;Tegallalang;Sebatu;80561
30;Bali;Kabupaten;Gianyar;Tegallalang;Taro;80561
31;Bali;Kabupaten;Gianyar;Tegallalang;Tegallalang;80561
32;Bali;Kabupaten;Gianyar;Tampak Siring;Manukaya;80552
33;Bali;Kabupaten;Gianyar;Tampak Siring;Pejeng;80552
34;Bali;Kabupaten;Gianyar;Tampak Siring;Pejeng Kaja;80552
