No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
500;Bali;Kabupaten;Gianyar;Gianyar;Suwat;80515
501;Bali;Kabupaten;Gianyar;Gianyar;Tegal Tugu;80515
502;Bali;Kabupaten;Gianyar;Gianyar;Temesi;80515
503;Bali;Kabupaten;Gianyar;Gianyar;Tulikup;80515
504;Bali;Kabupaten;Buleleng;Gerokgak;Banyupoh;81155
505;Bali;Kabupaten;Buleleng;Gerokgak;Celukan Bawang;81155
506;Bali;Kabupaten;Buleleng;Gerokgak;Gerokgak;81155
507;Bali;Kabupaten;Buleleng;Gerokgak;Musi;81155
508;Bali;Kabupaten;Buleleng;Gerokgak;Patas;81155
509;Bali;Kabupaten;Buleleng;Gerokgak;Pejarakan;81155
510;Bali;Kabupaten;Buleleng;Gerokgak;Pemuteran;81155
511;Bali;Kabupaten;Buleleng;Gerokgak;Pengulon;81155
512;Bali;Kabupaten;Buleleng;Gerokgak;Penyabangan;81155
513;Bali;Kabupaten;Buleleng;Gerokgak;Sanggalangit;81155
514;Bali;Kabupaten;Buleleng;Gerokgak;Sumber Klampok;81155
515;Bali;Kabupaten;Buleleng;Gerokgak;Sumberkima;81155
516;Bali;Kabupaten;Buleleng;Gerokgak;Tinga Tinga;81155
517;Bali;Kabupaten;Buleleng;Gerokgak;Tukad Sumaga;81155
518;Bali;Kota;Denpasar;Denpasar Utara;Dangin Puri Kaja;80231
519;Bali;Kota;Denpasar;Denpasar Utara;Dangin Puri Kangin;80233
520;Bali;Kota;Denpasar;Denpasar Utara;Dangin Puri Kauh;80231
521;Bali;Kota;Denpasar;Denpasar Utara;Dauh Puri Kaja;80111
522;Bali;Kota;Denpasar;Denpasar Utara;Peguyangan;80115
523;Bali;Kota;Denpasar;Denpasar Utara;Peguyangan Kaja;80115
524;Bali;Kota;Denpasar;Denpasar Utara;Peguyangan Kangin;80115
525;Bali;Kota;Denpasar;Denpasar Utara;Pemecutan Kaja;80118
526;Bali;Kota;Denpasar;Denpasar Utara;Tonja;80239
527;Bali;Kota;Denpasar;Denpasar Utara;Ubung;80116
528;Bali;Kota;Denpasar;Denpasar Utara;Ubung Kaja;80116
529;Bali;Kota;Denpasar;Denpasar Timur;Dangin Puri;80232
530;Bali;Kota;Denpasar;Denpasar Timur;Dangin Puri Klod;80234
531;Bali;Kota;Denpasar;Denpasar Timur;Kesiman;80237
532;Bali;Kota;Denpasar;Denpasar Timur;Kesiman Kertalangu;80237
533;Bali;Kota;Denpasar;Denpasar Timur;Kesiman Petilan;80237
534;Bali;Kota;Denpasar;Denpasar Timur;Penatih;80238
535;Bali;Kota;Denpasar;Denpasar Timur;Penatih Dangin Puri;80238
536;Bali;Kota;Denpasar;Denpasar Timur;Sumerta;80235
537;Bali;Kota;Denpasar;Denpasar Timur;Sumerta Kaja;80236
538;Bali;Kota;Denpasar;Denpasar Timur;Sumerta Kauh;80236
539;Bali;Kota;Denpasar;Denpasar Timur;Sumerta Kelod/Klod;80239
540;Bali;Kota;Denpasar;Denpasar Selatan;Panjer;80225
541;Bali;Kota;Denpasar;Denpasar Selatan;Pedungan;80222
542;Bali;Kota;Denpasar;Denpasar Selatan;Pemogan;80221
543;Bali;Kota;Denpasar;Denpasar Selatan;Renon;80226
544;Bali;Kota;Denpasar;Denpasar Selatan;Sanur;80228
545;Bali;Kota;Denpasar;Denpasar Selatan;Sanur Kaja;80227
546;Bali;Kota;Denpasar;Denpasar Selatan;Sanur Kauh;80227
547;Bali;Kota;Denpasar;Denpasar Selatan;Serangan;80229
548;Bali;Kota;Denpasar;Denpasar Selatan;Sesetan;80223
549;Bali;Kota;Denpasar;Denpasar Selatan;Sidakarya;80224
550;Bali;Kota;Denpasar;Denpasar Barat;Dauh Puri;80113
551;Bali;Kota;Denpasar;Denpasar Barat;Dauh Puri Kangin;80112
552;Bali;Kota;Denpasar;Denpasar Barat;Dauh Puri Kauh;80113
553;Bali;Kota;Denpasar;Denpasar Barat;Dauh Puri Klod/Kelod;80114
554;Bali;Kota;Denpasar;Denpasar Barat;Padangsambian;80117
555;Bali;Kota;Denpasar;Denpasar Barat;Padangsambian Kaja;80117
556;Bali;Kota;Denpasar;Denpasar Barat;Padangsambian Klod/Kelod;80117
557;Bali;Kota;Denpasar;Denpasar Barat;Pemecutan;80119
558;Bali;Kota;Denpasar;Denpasar Barat;Pemecutan Klod/Kelod;80119
559;Bali;Kota;Denpasar;Denpasar Barat;Tegal Harum;80119
560;Bali;Kota;Denpasar;Denpasar Barat;Tegal Kertha;80119
561;Bali;Kabupaten;Klungkung;Dawan;Besan;80761
562;Bali;Kabupaten;Klungkung;Dawan;Dawan Kaler;80761
563;Bali;Kabupaten;Klungkung;Dawan;Dawan Klod;80761
564;Bali;Kabupaten;Klungkung;Dawan;Gunaksa;80761
565;Bali;Kabupaten;Klungkung;Dawan;Kampung Kusamba;80761
566;Bali;Kabupaten;Klungkung;Dawan;Kusamba;80761
567;Bali;Kabupaten;Klungkung;Dawan;Paksebali;80761
568;Bali;Kabupaten;Klungkung;Dawan;Pesinggahan;80761
569;Bali;Kabupaten;Klungkung;Dawan;Pikat;80761
570;Bali;Kabupaten;Klungkung;Dawan;Sampalan Klod;80761
571;Bali;Kabupaten;Klungkung;Dawan;Sampalan Tengah;80761
572;Bali;Kabupaten;Klungkung;Dawan;Sulang;80761
573;Bali;Kabupaten;Buleleng;Busungbiu;Bengkel;81154
574;Bali;Kabupaten;Buleleng;Busungbiu;Bongancina;81154
575;Bali;Kabupaten;Buleleng;Busungbiu;Busungbiu;81154
576;Bali;Kabupaten;Buleleng;Busungbiu;Kedia (Kedis);81154
577;Bali;Kabupaten;Buleleng;Busungbiu;Kekeran;81154
578;Bali;Kabupaten;Buleleng;Busungbiu;Pelapuan;81154
579;Bali;Kabupaten;Buleleng;Busungbiu;Pucaksari;81154
580;Bali;Kabupaten;Buleleng;Busungbiu;Sepang;81154
581;Bali;Kabupaten;Buleleng;Busungbiu;Sepang Kelod;81154
582;Bali;Kabupaten;Buleleng;Busungbiu;Subuk;81154
583;Bali;Kabupaten;Buleleng;Busungbiu;Telaga;81154
584;Bali;Kabupaten;Buleleng;Busungbiu;Tinggarsari;81154
585;Bali;Kabupaten;Buleleng;Busungbiu;Tista;81154
586;Bali;Kabupaten;Buleleng;Busungbiu;Titab;81154
587;Bali;Kabupaten;Buleleng;Busungbiu;Umejero;81154
588;Bali;Kabupaten;Buleleng;Buleleng;Alasangker;81119
589;Bali;Kabupaten;Buleleng;Buleleng;Anturan;81119
590;Bali;Kabupaten;Buleleng;Buleleng;Astina;81112
591;Bali;Kabupaten;Buleleng;Buleleng;Banjar Bali;81113
592;Bali;Kabupaten;Buleleng;Buleleng;Banjar Jawa;81113
593;Bali;Kabupaten;Buleleng;Buleleng;Banjar Tegal;81117
594;Bali;Kabupaten;Buleleng;Buleleng;Banyuasri;81116
595;Bali;Kabupaten;Buleleng;Buleleng;Banyuning;81119
596;Bali;Kabupaten;Buleleng;Buleleng;Beratan;81119
597;Bali;Kabupaten;Buleleng;Buleleng;Bhakti Seraga (Baktiseraga);81119
598;Bali;Kabupaten;Buleleng;Buleleng;Jinengdalem;81119
599;Bali;Kabupaten;Buleleng;Buleleng;Kalibukbuk;81119
600;Bali;Kabupaten;Buleleng;Buleleng;Kaliuntu;81116
601;Bali;Kabupaten;Buleleng;Buleleng;Kampung Anyar;81115
602;Bali;Kabupaten;Buleleng;Buleleng;Kampung Baru;81114
603;Bali;Kabupaten;Buleleng;Buleleng;Kampung Bugis;81115
604;Bali;Kabupaten;Buleleng;Buleleng;Kampung Kajanan;81114
605;Bali;Kabupaten;Buleleng;Buleleng;Kampung Singaraja;81111
606;Bali;Kabupaten;Buleleng;Buleleng;Kendran;81112
607;Bali;Kabupaten;Buleleng;Buleleng;Liligundi;81119
608;Bali;Kabupaten;Buleleng;Buleleng;Nagasepaha;81119
609;Bali;Kabupaten;Buleleng;Buleleng;Paket Agung;81118
610;Bali;Kabupaten;Buleleng;Buleleng;Pemaron;81119
611;Bali;Kabupaten;Buleleng;Buleleng;Penarukan;81119
612;Bali;Kabupaten;Buleleng;Buleleng;Penglatan;81119
613;Bali;Kabupaten;Buleleng;Buleleng;Petandakan;81119
614;Bali;Kabupaten;Buleleng;Buleleng;Poh Bergong;81119
615;Bali;Kabupaten;Buleleng;Buleleng;Sari Mekar;81119
616;Bali;Kabupaten;Buleleng;Buleleng;Tukadmungga;81119
617;Bali;Kabupaten;Gianyar;Belah Batuh (Blahbatuh);Bedulu;80581
618;Bali;Kabupaten;Gianyar;Belah Batuh (Blahbatuh);Belega;80581
619;Bali;Kabupaten;Gianyar;Belah Batuh (Blahbatuh);Blahbatuh;80581
620;Bali;Kabupaten;Gianyar;Belah Batuh (Blahbatuh);Bona;80581
621;Bali;Kabupaten;Gianyar;Belah Batuh (Blahbatuh);Buruan;80581
622;Bali;Kabupaten;Gianyar;Belah Batuh (Blahbatuh);Keramas;80581
623;Bali;Kabupaten;Gianyar;Belah Batuh (Blahbatuh);Medahan;80581
624;Bali;Kabupaten;Gianyar;Belah Batuh (Blahbatuh);Pering;80581
625;Bali;Kabupaten;Gianyar;Belah Batuh (Blahbatuh);Saba;80581
626;Bali;Kabupaten;Karangasem;Bebandem;Bebandem;80861
627;Bali;Kabupaten;Karangasem;Bebandem;Buana Giri;80861
628;Bali;Kabupaten;Karangasem;Bebandem;Budakeling (Bude Keling);80861
629;Bali;Kabupaten;Karangasem;Bebandem;Bungaya (Bungaya Kauh);80861
630;Bali;Kabupaten;Karangasem;Bebandem;Bungaya Kangin;80861
631;Bali;Kabupaten;Karangasem;Bebandem;Jungutan;80861
632;Bali;Kabupaten;Karangasem;Bebandem;Macang;80861
633;Bali;Kabupaten;Karangasem;Bebandem;Sibetan;80861
634;Bali;Kabupaten;Tabanan;Baturiti;Angseri;82191
635;Bali;Kabupaten;Tabanan;Baturiti;Antapan;82191
636;Bali;Kabupaten;Tabanan;Baturiti;Apuan;82191
637;Bali;Kabupaten;Tabanan;Baturiti;Bangli;82191
638;Bali;Kabupaten;Tabanan;Baturiti;Batunya;82191
639;Bali;Kabupaten;Tabanan;Baturiti;Baturiti;82191
640;Bali;Kabupaten;Tabanan;Baturiti;Candikuning;82191
641;Bali;Kabupaten;Tabanan;Baturiti;Luwus;82191
642;Bali;Kabupaten;Tabanan;Baturiti;Mekarsari;82191
643;Bali;Kabupaten;Tabanan;Baturiti;Perean;82191
644;Bali;Kabupaten;Tabanan;Baturiti;Perean Kangin;82191
645;Bali;Kabupaten;Tabanan;Baturiti;Perean Tengah;82191
646;Bali;Kabupaten;Klungkung;Banjarangkan;Aan;80752
647;Bali;Kabupaten;Klungkung;Banjarangkan;Bakas;80752
648;Bali;Kabupaten;Klungkung;Banjarangkan;Banjarangkan;80752
649;Bali;Kabupaten;Klungkung;Banjarangkan;Bungbungan;80752
650;Bali;Kabupaten;Klungkung;Banjarangkan;Getakan;80752
651;Bali;Kabupaten;Klungkung;Banjarangkan;Negari;80752
652;Bali;Kabupaten;Klungkung;Banjarangkan;Nyalian;80752
653;Bali;Kabupaten;Klungkung;Banjarangkan;Nyanglan;80752
654;Bali;Kabupaten;Klungkung;Banjarangkan;Takmung;80752
655;Bali;Kabupaten;Klungkung;Banjarangkan;Tihingan;80752
656;Bali;Kabupaten;Klungkung;Banjarangkan;Timuhun;80752
657;Bali;Kabupaten;Klungkung;Banjarangkan;Tohpati;80752
658;Bali;Kabupaten;Klungkung;Banjarangkan;Tusan;80752
659;Bali;Kabupaten;Buleleng;Banjar;Banjar;81152
660;Bali;Kabupaten;Buleleng;Banjar;Banjar Tegeha;81152
661;Bali;Kabupaten;Buleleng;Banjar;Banyuatis;81152
662;Bali;Kabupaten;Buleleng;Banjar;Banyusri;81152
663;Bali;Kabupaten;Buleleng;Banjar;Cempaga;81152
664;Bali;Kabupaten;Buleleng;Banjar;Dencarik;81152
665;Bali;Kabupaten;Buleleng;Banjar;Gesing;81152
666;Bali;Kabupaten;Buleleng;Banjar;Gobleg;81152
667;Bali;Kabupaten;Buleleng;Banjar;Kaliasem;81152
668;Bali;Kabupaten;Buleleng;Banjar;Kayuputih;81152
669;Bali;Kabupaten;Buleleng;Banjar;Munduk;81152
670;Bali;Kabupaten;Buleleng;Banjar;Pedawa;81152
671;Bali;Kabupaten;Buleleng;Banjar;Sidetapa;81152
672;Bali;Kabupaten;Buleleng;Banjar;Tampekan;81152
673;Bali;Kabupaten;Buleleng;Banjar;Temukus;81152
674;Bali;Kabupaten;Buleleng;Banjar;Tigawasa;81152
675;Bali;Kabupaten;Buleleng;Banjar;Tirtasari;81152
676;Bali;Kabupaten;Bangli;Bangli;Bebalang;80614
677;Bali;Kabupaten;Bangli;Bangli;Bunutin;80614
678;Bali;Kabupaten;Bangli;Bangli;Cempaga;80612
679;Bali;Kabupaten;Bangli;Bangli;Kawan;80613
680;Bali;Kabupaten;Bangli;Bangli;Kayubihi;80614
