No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
1000;Bangka Belitung;Kabupaten;Belitung Timur;Kelapa Kampit;Cendil;33571
1001;Bangka Belitung;Kabupaten;Belitung Timur;Kelapa Kampit;Mayang;33571
1002;Bangka Belitung;Kabupaten;Belitung Timur;Kelapa Kampit;Mentawak;33571
1003;Bangka Belitung;Kabupaten;Belitung Timur;Kelapa Kampit;Pembaharuan;33571
1004;Bangka Belitung;Kabupaten;Belitung Timur;Kelapa Kampit;Senyubuk;33571
1005;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Air Bulin;33364
1006;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Beruas;33364
1007;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Dendang;33364
1008;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Kacung;33364
1009;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Kayuarang;33364
1010;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Kelapa;33364
1011;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Mancung;33364
1012;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Pangkal Beras;33364
1013;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Pusuk;33364
1014;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Sinar Sari;33364
1015;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Tebing;33364
1016;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Terentang;33364
1017;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Tugang;33364
1018;Bangka Belitung;Kabupaten;Bangka Barat;Kelapa;Tuik;33364
1019;Bangka Belitung;Kabupaten;Bangka Barat;Jebus;Air Kuang;33362
1020;Bangka Belitung;Kabupaten;Bangka Barat;Jebus;Jebus;33362
1021;Bangka Belitung;Kabupaten;Bangka Barat;Jebus;Ketap;33362
1022;Bangka Belitung;Kabupaten;Bangka Barat;Jebus;Limbung;33362
1023;Bangka Belitung;Kabupaten;Bangka Barat;Jebus;Mislak;33362
1024;Bangka Belitung;Kabupaten;Bangka Barat;Jebus;Pebuar;33362
1025;Bangka Belitung;Kabupaten;Bangka Barat;Jebus;Ranggi Asam;33362
1026;Bangka Belitung;Kabupaten;Bangka Barat;Jebus;Rukam;33362
1027;Bangka Belitung;Kabupaten;Bangka Barat;Jebus;Sinar Manik;33362
1028;Bangka Belitung;Kabupaten;Bangka Barat;Jebus;Sungai Buluh;33362
