No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
1500;Banten;Kota;Tangerang;Periuk;Gebang Raya;15132
1501;Banten;Kota;Tangerang;Periuk;Gembor;15133
1502;Banten;Kota;Tangerang;Periuk;Periuk;15131
1503;Banten;Kota;Tangerang;Periuk;Periuk Jaya;15131
1504;Banten;Kota;Tangerang;Periuk;Sangiang Jaya;15132
1505;Banten;Kabupaten;Pandeglang;Patia;Babakankeusik;42265
1506;Banten;Kabupaten;Pandeglang;Patia;Ciawi;42265
1507;Banten;Kabupaten;Pandeglang;Patia;Cimoyan;42265
1508;Banten;Kabupaten;Pandeglang;Patia;Idaman;42265
1509;Banten;Kabupaten;Pandeglang;Patia;Pasirgadung;42265
1510;Banten;Kabupaten;Pandeglang;Patia;Patia;42265
1511;Banten;Kabupaten;Pandeglang;Patia;Rahayu;42265
1512;Banten;Kabupaten;Pandeglang;Patia;Simpangtiga;42265
1513;Banten;Kabupaten;Pandeglang;Patia;Surianeun;42265
1514;Banten;Kabupaten;Pandeglang;Patia;Turus;42265
1515;Banten;Kabupaten;Tangerang;Pasar Kemis;Gelam Jaya;15560
1516;Banten;Kabupaten;Tangerang;Pasar Kemis;Kuta Baru;15560
1517;Banten;Kabupaten;Tangerang;Pasar Kemis;Kuta Bumi;15560
1518;Banten;Kabupaten;Tangerang;Pasar Kemis;Kuta Jaya;15560
1519;Banten;Kabupaten;Tangerang;Pasar Kemis;Pangadegan;15560
1520;Banten;Kabupaten;Tangerang;Pasar Kemis;Pasar Kemis;15560
1521;Banten;Kabupaten;Tangerang;Pasar Kemis;Sindang Sari;15560
1522;Banten;Kabupaten;Tangerang;Pasar Kemis;Sukaasih;15560
1523;Banten;Kabupaten;Tangerang;Pasar Kemis;Sukamantri;15560
1524;Banten;Kabupaten;Tangerang;Panongan;Ciakar;15710
1525;Banten;Kabupaten;Tangerang;Panongan;Mekar Bakti;15710
1526;Banten;Kabupaten;Tangerang;Panongan;Mekar Jaya;15710
1527;Banten;Kabupaten;Tangerang;Panongan;Panongan;15710
1528;Banten;Kabupaten;Tangerang;Panongan;Peusar;15710
1529;Banten;Kabupaten;Tangerang;Panongan;Ranca Iyuh;15710
1530;Banten;Kabupaten;Tangerang;Panongan;Ranca Kalapa;15710
1531;Banten;Kabupaten;Tangerang;Panongan;Serdang Kulon;15710
1532;Banten;Kabupaten;Pandeglang;Panimbang;Citeureup;42281
1533;Banten;Kabupaten;Pandeglang;Panimbang;Gombong;42281
1534;Banten;Kabupaten;Pandeglang;Panimbang;Mekarjaya;42281
1535;Banten;Kabupaten;Pandeglang;Panimbang;Mekarsari;42281
1536;Banten;Kabupaten;Pandeglang;Panimbang;Panimbangjaya;42281
1537;Banten;Kabupaten;Pandeglang;Panimbang;Tanjungjaya;42281
1538;Banten;Kabupaten;Lebak;Panggarangan;Cibarengkok;42392
1539;Banten;Kabupaten;Lebak;Panggarangan;Cimandiri;42392
1540;Banten;Kabupaten;Lebak;Panggarangan;Gunung Gede;42392
1541;Banten;Kabupaten;Lebak;Panggarangan;Hegarmanah;42392
1542;Banten;Kabupaten;Lebak;Panggarangan;Jatake;42392
1543;Banten;Kabupaten;Lebak;Panggarangan;Mekarjaya;42392
1544;Banten;Kabupaten;Lebak;Panggarangan;Panggarangan;42392
1545;Banten;Kabupaten;Lebak;Panggarangan;Sindangratu;42392
1546;Banten;Kabupaten;Lebak;Panggarangan;Situragen;42392
1547;Banten;Kabupaten;Lebak;Panggarangan;Sogong;42392
1548;Banten;Kabupaten;Lebak;Panggarangan;Sukajadi;42392
1549;Banten;Kabupaten;Pandeglang;Pandeglang;Babakan Kalang Anyar;42219
1550;Banten;Kabupaten;Pandeglang;Pandeglang;Kabayan;42212
1551;Banten;Kabupaten;Pandeglang;Pandeglang;Kadomas;42218
1552;Banten;Kabupaten;Pandeglang;Pandeglang;Pandeglang;42211
1553;Banten;Kota;Tangerang Selatan;Pamulang;Bambu Apus;15415
1554;Banten;Kota;Tangerang Selatan;Pamulang;Benda Baru;15418
1555;Banten;Kota;Tangerang Selatan;Pamulang;Kedaung;15415
1556;Banten;Kota;Tangerang Selatan;Pamulang;Pamulang Barat;15417
1557;Banten;Kota;Tangerang Selatan;Pamulang;Pamulang Timur;15417
1558;Banten;Kota;Tangerang Selatan;Pamulang;Pondok Benda;15416
1559;Banten;Kota;Tangerang Selatan;Pamulang;Pondok Cabe Ilir;15418
1560;Banten;Kota;Tangerang Selatan;Pamulang;Pondok Cabe Udik;15418
1561;Banten;Kabupaten;Serang;Pamarayan;Binong;42176
1562;Banten;Kabupaten;Serang;Pamarayan;Damping;42176
1563;Banten;Kabupaten;Serang;Pamarayan;Kampung Baru;42176
1564;Banten;Kabupaten;Serang;Pamarayan;Kebon Cau;42176
1565;Banten;Kabupaten;Serang;Pamarayan;Pamarayan;42176
1566;Banten;Kabupaten;Serang;Pamarayan;Pasir Kembang;42176
1567;Banten;Kabupaten;Serang;Pamarayan;Pasirlimus;42176
1568;Banten;Kabupaten;Serang;Pamarayan;Pudar;42176
1569;Banten;Kabupaten;Serang;Pamarayan;Sangiang;42176
