No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
2000;Banten;Kabupaten;Serang;Jawilan;Junti;42177
2001;Banten;Kabupaten;Serang;Jawilan;Kareo;42177
2002;Banten;Kabupaten;Serang;Jawilan;Majasari;42177
2003;Banten;Kabupaten;Serang;Jawilan;Pagintungan;42177
2004;Banten;Kabupaten;Serang;Jawilan;Parakan;42177
2005;Banten;Kabupaten;Serang;Jawilan;Pasirbuyut;42177
2006;Banten;Kota;Tangerang;Jatiuwung;Alam Jaya;15133
2007;Banten;Kota;Tangerang;Jatiuwung;Gandasari;15137
2008;Banten;Kota;Tangerang;Jatiuwung;Jatake;15136
2009;Banten;Kota;Tangerang;Jatiuwung;Keroncong;15134
2010;Banten;Kota;Tangerang;Jatiuwung;Manis Jaya;15136
2011;Banten;Kota;Tangerang;Jatiuwung;Pasir Jaya;15135
2012;Banten;Kabupaten;Tangerang;Jambe;Ancol Pasir;15720
2013;Banten;Kabupaten;Tangerang;Jambe;Daru;15720
2014;Banten;Kabupaten;Tangerang;Jambe;Jambe;15720
2015;Banten;Kabupaten;Tangerang;Jambe;Kutruk;15720
2016;Banten;Kabupaten;Tangerang;Jambe;Mekarsari;15720
2017;Banten;Kabupaten;Tangerang;Jambe;Pasir Barat;15720
2018;Banten;Kabupaten;Tangerang;Jambe;Rancabuaya;15720
2019;Banten;Kabupaten;Tangerang;Jambe;Suka Manah;15720
2020;Banten;Kabupaten;Tangerang;Jambe;Taban;15720
2021;Banten;Kabupaten;Tangerang;Jambe;Tipar Jaya (Tiparraya);15720
2022;Banten;Kabupaten;Serang;Gunungsari;Ciherang;42163
2023;Banten;Kabupaten;Serang;Gunungsari;Curug Sulanjana;42163
2024;Banten;Kabupaten;Serang;Gunungsari;Gunungsari;42163
2025;Banten;Kabupaten;Serang;Gunungsari;Kadu Agung;42163
2026;Banten;Kabupaten;Serang;Gunungsari;Luwuk;42163
2027;Banten;Kabupaten;Serang;Gunungsari;Sukalaba;42163
2028;Banten;Kabupaten;Serang;Gunungsari;Tamiang;42163
2029;Banten;Kabupaten;Lebak;Gunung Kencana;Bojongkoneng;42354
2030;Banten;Kabupaten;Lebak;Gunung Kencana;Bulakan;42354
2031;Banten;Kabupaten;Lebak;Gunung Kencana;Ciakar;42354
2032;Banten;Kabupaten;Lebak;Gunung Kencana;Cicaringin;42354
2033;Banten;Kabupaten;Lebak;Gunung Kencana;Ciginggang;42354
2034;Banten;Kabupaten;Lebak;Gunung Kencana;Cimanyangray;42354
2035;Banten;Kabupaten;Lebak;Gunung Kencana;Cisampang;42354
2036;Banten;Kabupaten;Lebak;Gunung Kencana;Gunung Kencana;42354
2037;Banten;Kabupaten;Lebak;Gunung Kencana;Gunungkendeng;42354
2038;Banten;Kabupaten;Lebak;Gunung Kencana;Keramatjaya/Kramatjaya;42354
2039;Banten;Kabupaten;Lebak;Gunung Kencana;Sukanegara;42354
2040;Banten;Kabupaten;Lebak;Gunung Kencana;Tanjungsari Indah;42354
2041;Banten;Kabupaten;Tangerang;Gunung Kaler;Cibetok;15620
2042;Banten;Kabupaten;Tangerang;Gunung Kaler;Cipaeh;15620
2043;Banten;Kabupaten;Tangerang;Gunung Kaler;Gunung Kaler;15620
2044;Banten;Kabupaten;Tangerang;Gunung Kaler;Kanda Wati;15620
2045;Banten;Kabupaten;Tangerang;Gunung Kaler;Kedung;15620
2046;Banten;Kabupaten;Tangerang;Gunung Kaler;Onyam;15620
2047;Banten;Kabupaten;Tangerang;Gunung Kaler;Ranca Gede;15620
2048;Banten;Kabupaten;Tangerang;Gunung Kaler;Sidoko;15620
2049;Banten;Kabupaten;Tangerang;Gunung Kaler;Tamiang;15620
2050;Banten;Kota;Cilegon;Gerogol;Gerem;42438
2051;Banten;Kota;Cilegon;Gerogol;Gerogol/Grogol;42436
2052;Banten;Kota;Cilegon;Gerogol;Kotasari;42436
2053;Banten;Kota;Cilegon;Gerogol;Rawa Arum;42436
2054;Banten;Kabupaten;Lebak;Curugbitung;Candi;42381
2055;Banten;Kabupaten;Lebak;Curugbitung;Ciburuy;42381
2056;Banten;Kabupaten;Lebak;Curugbitung;Cidadap;42381
2057;Banten;Kabupaten;Lebak;Curugbitung;Cilayang;42381
2058;Banten;Kabupaten;Lebak;Curugbitung;Cipining;42381
2059;Banten;Kabupaten;Lebak;Curugbitung;Curugbitung;42381
2060;Banten;Kabupaten;Lebak;Curugbitung;Guradog;42381
2061;Banten;Kabupaten;Lebak;Curugbitung;Lebakkasih;42381
2062;Banten;Kabupaten;Lebak;Curugbitung;Mayak;42381
2063;Banten;Kabupaten;Lebak;Curugbitung;Sekarwangi;42381
2064;Banten;Kabupaten;Tangerang;Curug;Binong;15810
2065;Banten;Kota;Serang;Curug;Cilaku;42171
2066;Banten;Kota;Serang;Curug;Cipete;42171
2067;Banten;Kabupaten;Tangerang;Curug;Cukang Galih;15810
2068;Banten;Kota;Serang;Curug;Curug;42171
2069;Banten;Kabupaten;Tangerang;Curug;Curug Kulon;15810
