No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
3000;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kubang;Harapan Makmur;38376
3001;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kubang;Linggar Galing;38375
3002;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kubang;Margo Mulya;38377
3003;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kubang;Paku Haji;38375
3004;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kubang;Pondok Kubang;38375
3005;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kubang;Taba Jambu;38378
3006;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kubang;Talang Tengah;38375
3007;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kubang;Tanjung Dalam;38379
3008;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kubang;Tanjung terdana;38375
3009;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Abu Sakim;38371
3010;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Bintang Selatan;38371
3011;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Desa Harapan;38371
3012;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Kembang Ayun;38371
3013;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Padang Betuah;38371
3014;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Pagar Dewa;38371
3015;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Panca Mukti;38371
3016;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Pasar Pedati;38371
3017;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Pekik Nyaring;38371
3018;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Pondok Kelapa;38371
3019;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Sidodadi;38371
3020;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Sidoreja (Sidorejo/Siderejo);38371
3021;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Sri Kuncoro;38371
3022;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Srikaton;38371
3023;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Sunda Kelapa;38371
3024;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Talang Buseng / Boseng;38371
3025;Bengkulu;Kabupaten;Bengkulu Tengah;Pondok Kelapa;Talang Pauh;38371
3026;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Air Kemang;38571
3027;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Bandung Ayu;38571
3028;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Cinto Mandi;38571
3029;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Karang Cayo;38571
3030;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Kemang Manis;38571
3031;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Kembang Seri;38571
3032;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Nanjungan;38571
3033;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Napal Melintang;38571
3034;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Padang Beriang;38571
3035;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Padang Serasan;38571
3036;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Pagar Gading;38571
3037;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Pasar Pino;38571
3038;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Selali I;38571
3039;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Serang Bulan;38571
3040;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Suka Bandung;38571
3041;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Talang Padang;38571
3042;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Tanggo Raso;38571
3043;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Tanjung Aur;38571
3044;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Telaga Dalam;38571
3045;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Tungkal I;38571
3046;Bengkulu;Kabupaten;Bengkulu Selatan;Pinoraya;Tungkal II;38571
3047;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Air Umban;38571
3048;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Anggut;38571
3049;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Batu Bandung;38571
3050;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Beringin Datar;38571
3051;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Ganjuh;38571
3052;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Gedung Agung;38571
3053;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Kota Bumi;38571
3054;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Masat;38571
3055;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Padang Lebar;38571
3056;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Padang Mumpo;38571
3057;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Padang Tambak;38571
3058;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Puding;38571
3059;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Sebilo;38571
3060;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Tanjung Aur I;38571
3061;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Tanjung Eran;38571
3062;Bengkulu;Kabupaten;Bengkulu Selatan;Pino;Ulak Lebar;38571
3063;Bengkulu;Kabupaten;Lebong;Pinang Belapis;Air Kopras;39269
3064;Bengkulu;Kabupaten;Lebong;Pinang Belapis;Bioa Putiak;39269
3065;Bengkulu;Kabupaten;Lebong;Pinang Belapis;Ketenong I;39269
3066;Bengkulu;Kabupaten;Lebong;Pinang Belapis;Ketenong II;39269
3067;Bengkulu;Kabupaten;Lebong;Pinang Belapis;Ketenong Jaya;39269
3068;Bengkulu;Kabupaten;Lebong;Pinang Belapis;Sebelat;39269
3069;Bengkulu;Kabupaten;Lebong;Pinang Belapis;Sungai Lisai;39269
3070;Bengkulu;Kabupaten;Lebong;Pinang Belapis;Tambang Sawah;39269
3071;Bengkulu;Kabupaten;Muko Muko;Penarik;Bukit Makmur;38768
3072;Bengkulu;Kabupaten;Muko Muko;Penarik;Bumi Mulya;38768
3073;Bengkulu;Kabupaten;Muko Muko;Penarik;Lubuk Mukti;38768
3074;Bengkulu;Kabupaten;Muko Muko;Penarik;Marga Mukti;38768
3075;Bengkulu;Kabupaten;Muko Muko;Penarik;Mekar Mulya;38768
3076;Bengkulu;Kabupaten;Muko Muko;Penarik;Penarik;38768
3077;Bengkulu;Kabupaten;Muko Muko;Penarik;Sido Mulya;38768
3078;Bengkulu;Kabupaten;Muko Muko;Penarik;Suka Maju;38768
3079;Bengkulu;Kabupaten;Muko Muko;Penarik;Sumber Mulya;38768
3080;Bengkulu;Kabupaten;Muko Muko;Penarik;Wonosobo;38768
3081;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Air Kotok;38372
3082;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Aturan Mumpo;38372
3083;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Aturan Mumpo II;38372
3084;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Batu Bariang / Beriang;38372
3085;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Genting Dabuk;38372
3086;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Kebun Lebar;38372
3087;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Kota Titik;38372
3088;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Pematang Tiga;38372
3089;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Pematang Tiga Lama;38372
3090;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Senabah / Senaban;38372
3091;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Talang Tengah II;38372
3092;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Tanjung Kepayang / Kepahyang;38372
3093;Bengkulu;Kabupaten;Bengkulu Tengah;Pematang Tiga;Tiambang;38372
3094;Bengkulu;Kabupaten;Lebong;Pelabai;Gunung Alam;39265
3095;Bengkulu;Kabupaten;Lebong;Pelabai;Kota Baru Santan;39265
3096;Bengkulu;Kabupaten;Lebong;Pelabai;Pelabai;39265
3097;Bengkulu;Kabupaten;Lebong;Pelabai;Sukau Datang;39265
3098;Bengkulu;Kabupaten;Lebong;Pelabai;Sukau Datang I;39265
3099;Bengkulu;Kabupaten;Lebong;Pelabai;Tabeak Blau II;39265
3100;Bengkulu;Kabupaten;Lebong;Pelabai;Tanjung Agung;39265
3101;Bengkulu;Kabupaten;Lebong;Pelabai;Tik Teleu;39265
3102;Bengkulu;Kabupaten;Bengkulu Selatan;Pasar Manna;Batu Kuning;38518
3103;Bengkulu;Kabupaten;Bengkulu Selatan;Pasar Manna;Batu Lambang;38513
3104;Bengkulu;Kabupaten;Bengkulu Selatan;Pasar Manna;Belakang Gedung;38514
3105;Bengkulu;Kabupaten;Bengkulu Selatan;Pasar Manna;Gunung Mesir;38517
3106;Bengkulu;Kabupaten;Bengkulu Selatan;Pasar Manna;Ketapang Besar;38516
3107;Bengkulu;Kabupaten;Bengkulu Selatan;Pasar Manna;Padang Sialang;38517
3108;Bengkulu;Kabupaten;Bengkulu Selatan;Pasar Manna;Pasar Bawah;38515
3109;Bengkulu;Kabupaten;Bengkulu Selatan;Pasar Manna;Pasar Mulia;38518
3110;Bengkulu;Kabupaten;Bengkulu Selatan;Pasar Manna;Tanjung Mulia;38518
3111;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Arga Indah I;38383
3112;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Datar Penokot / Penokat;38383
3113;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Karang Are;38383
3114;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Keroya;38383
3115;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Kerta Pati;38383
3116;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Kerta Pati Mudik;38383
3117;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Layang Lekat;38383
3118;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Pagar Jati;38383
3119;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Rena Jaya;38383
3120;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Rena Kandis;38383
3121;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Taba Renah / Rena;38383
3122;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Talang Curup;38383
3123;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Temiang;38383
3124;Bengkulu;Kabupaten;Bengkulu Tengah;Pagar Jati;Tumbuk;38383
3125;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Air Kati;39182
3126;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Belumai I;39182
3127;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Belumai II;39182
3128;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Bukit Batu;39182
3129;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Guru Agung;39182
3130;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Karang Baru;39182
3131;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Kasie Kasubun;39182
3132;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Muara Telita;39182
3133;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Pasar Padang Ulak Tanding;39182
3134;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Taba Tinggi;39182
3135;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Taktoi;39182
3136;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Tanjung Sanai I;39182
3137;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Tanjung Sanai II;39182
3138;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Ujan Panas;39182
3139;Bengkulu;Kabupaten;Rejang Lebong;Padang Ulak Tanding;Ulak Tanding;39182
3140;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Arga Mulya;38657
3141;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Lubuk Banyau;38657
3142;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Marga Jaya;38657
3143;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Marga Sakti;38657
3144;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Padang Jaya;38657
3145;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Sido Luhur;38657
3146;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Sido Mukti;38657
3147;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Talang Tua/Tuo;38657
3148;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Tambak Rejo;38657
3149;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Tanah Hitam;38657
3150;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Tanah Tinggi;38657
3151;Bengkulu;Kabupaten;Bengkulu Utara;Padang Jaya;Tanjung Harapan;38657
3152;Bengkulu;Kabupaten;Kaur;Padang Guci Hulu;Bungin Tambun I;38956
3153;Bengkulu;Kabupaten;Kaur;Padang Guci Hulu;Bungin Tambun II;38956
3154;Bengkulu;Kabupaten;Kaur;Padang Guci Hulu;Bungin Tambun III;38956
3155;Bengkulu;Kabupaten;Kaur;Padang Guci Hulu;Coko Betung;38956
3156;Bengkulu;Kabupaten;Kaur;Padang Guci Hulu;Jati Mulyo;38956
3157;Bengkulu;Kabupaten;Kaur;Padang Guci Hulu;Manau Sembilan I;38956
3158;Bengkulu;Kabupaten;Kaur;Padang Guci Hulu;Manau Sembilan II;38956
3159;Bengkulu;Kabupaten;Kaur;Padang Guci Hulu;Naga Rantai;38956
3160;Bengkulu;Kabupaten;Kaur;Padang Guci Hulu;Pagar Alam;38956
3161;Bengkulu;Kabupaten;Kaur;Padang Guci Hulu;Pagar Gunung;38956
3162;Bengkulu;Kabupaten;Kaur;Padang Guci Hilir;Air Kering;38956
3163;Bengkulu;Kabupaten;Kaur;Padang Guci Hilir;Air Kering II;38956
3164;Bengkulu;Kabupaten;Kaur;Padang Guci Hilir;Gunung Kaya;38956
3165;Bengkulu;Kabupaten;Kaur;Padang Guci Hilir;Marga Mulyo;38956
3166;Bengkulu;Kabupaten;Kaur;Padang Guci Hilir;Pulau Panggung;38956
3167;Bengkulu;Kabupaten;Kaur;Padang Guci Hilir;Talang Besar;38956
3168;Bengkulu;Kabupaten;Kaur;Padang Guci Hilir;Talang Jawi I;38956
3169;Bengkulu;Kabupaten;Kaur;Padang Guci Hilir;Talang Jawi II;38956
3170;Bengkulu;Kabupaten;Kaur;Padang Guci Hilir;Talang Padang;38956
3171;Bengkulu;Kabupaten;Kaur;Padang Guci Hilir;Ulak Agung;38956
3172;Bengkulu;Kabupaten;Kaur;Nasal;Air Batang;38964
3173;Bengkulu;Kabupaten;Kaur;Nasal;Batu Lungun;38964
3174;Bengkulu;Kabupaten;Kaur;Nasal;Bukit Indah;38964
