No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
3500;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Padang Lekat;39372
3501;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Pagar Gunung;39372
3502;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Pasar Kepahiang;39372
3503;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Pasar Sejantung;39372
3504;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Pasar Ujung;39372
3505;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Pelangkian;39372
3506;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Pensiunan;39372
3507;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Permu;39372
3508;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Permu bawah;39372
3509;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Sukamerindu;39372
3510;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Taba Tebelet;39372
3511;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Tebat Monok;39372
3512;Bengkulu;Kabupaten;Kepahiang;Kepahiang;Weskust (Westkust);39372
3513;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Darat Sawah;38955
3514;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Pagar Dewa;38955
3515;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Penantian;38955
3516;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Rigangan I;38956
3517;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Rigangan II;38956
3518;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Rigangan III;38956
3519;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Siring Agung;38955
3520;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Suka Rami II;38956
3521;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Sukarami;38956
3522;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Talang Marap;38956
3523;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Talang Tais;38955
3524;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Tanjung Ganti I;38956
3525;Bengkulu;Kabupaten;Kaur;Kelam Tengah;Tanjung Ganti II;38956
3526;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Air Sulau;38553
3527;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Betungan;38553
3528;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Karang Caya;38553
3529;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Limus;38553
3530;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Lubuk Ladung;38553
3531;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Nanjungan;38553
3532;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Padang Bindu;38553
3533;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Pagar Banyu;38553
3534;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Penindaian;38553
3535;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Suka Jaya;38553
3536;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Suka Raja;38553
3537;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang Ilir;Sukarami I;38553
3538;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Batu Ampar;38553
3539;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Bumi Agung;38553
3540;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Durian Sebatang;38553
3541;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Karang Agung;38553
3542;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Keban Agung I;38553
3543;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Keban Agung II;38553
3544;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Keban Agung III;38553
3545;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Lawang Agung;38553
3546;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Lubuk Resam;38553
3547;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Muara Tiga;38553
3548;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Muara Tiga Ilir;38553
3549;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Nanti Agung;38553
3550;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Pajar Bulan;38553
3551;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Palak Siring;38553
3552;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Rantau Sialang;38553
3553;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Tanjung Alam;38553
3554;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Tanjung Besar;38553
3555;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Tanjung Nanti (Sukananti);38553
3556;Bengkulu;Kabupaten;Bengkulu Selatan;Kedurang;Tanjung Negara;38553
3557;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Air Sempiang;39372
3558;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Babakan Bogor;39372
3559;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Bandung Baru;39373
3560;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Bandung Jaya;39373
3561;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Barat Wetan;39372
3562;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Bukit Sari;39373
3563;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Kabawetan/Tangsi Baru;39372
3564;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Mekar Sari;39373
3565;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Pematang Donok;39373
3566;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Sido Makmur;39373
3567;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Sido Rejo;39373
3568;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Sukasari;39373
3569;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Sumber Sari;39373
3570;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Tangsi Duren;39372
3571;Bengkulu;Kabupaten;Kepahiang;Kebawetan;Tugurejo;39373
3572;Bengkulu;Kabupaten;Kaur;Kaur Utara;Bandu Agung;38956
3573;Bengkulu;Kabupaten;Kaur;Kaur Utara;Coko Enau;38956
3574;Bengkulu;Kabupaten;Kaur;Kaur Utara;Gunung Agung;38956
3575;Bengkulu;Kabupaten;Kaur;Kaur Utara;Guru Agung;38956
3576;Bengkulu;Kabupaten;Kaur;Kaur Utara;Guru Agung II;38956
3577;Bengkulu;Kabupaten;Kaur;Kaur Utara;Padang Manis;38956
3578;Bengkulu;Kabupaten;Kaur;Kaur Utara;Pancur Negara;38956
3579;Bengkulu;Kabupaten;Kaur;Kaur Utara;Perugian;38956
3580;Bengkulu;Kabupaten;Kaur;Kaur Utara;Simpang Tiga;38956
3581;Bengkulu;Kabupaten;Kaur;Kaur Utara;Tanjung Betung I;38956
3582;Bengkulu;Kabupaten;Kaur;Kaur Utara;Tanjung Betung II;38956
3583;Bengkulu;Kabupaten;Kaur;Kaur Tengah;Kemang Manis;38961
3584;Bengkulu;Kabupaten;Kaur;Kaur Tengah;Padang Baru;38961
3585;Bengkulu;Kabupaten;Kaur;Kaur Tengah;Padang Hangat;38961
3586;Bengkulu;Kabupaten;Kaur;Kaur Tengah;Pajar Bulan;38961
3587;Bengkulu;Kabupaten;Kaur;Kaur Tengah;Penyandingan;38961
3588;Bengkulu;Kabupaten;Kaur;Kaur Tengah;Sinar Jaya;38961
3589;Bengkulu;Kabupaten;Kaur;Kaur Tengah;Sukarami;38961
3590;Bengkulu;Kabupaten;Kaur;Kaur Tengah;Tanjung Iman;38961
3591;Bengkulu;Kabupaten;Kaur;Kaur Tengah;Tanjung Pandan;38961
3592;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Air Dingin;38963
3593;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Bandar Bintuhan;38963
3594;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Gedung Sako;38963
3595;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Gedung Sako II;38963
3596;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Jembatan Dua;38963
3597;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Kepala Pasar;38963
3598;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Padang Genting;38963
3599;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Padang Petron;38963
3600;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Pahlawan Ratu;38963
3601;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Pasar Baru;38963
3602;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Pasar Lama;38963
3603;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Pasar Saoh;38963
3604;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Pengubaian;38963
3605;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Sawah Jangkung;38963
3606;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Sekunyit;38963
3607;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Selasih;38963
3608;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Sinar Pagi;38963
3609;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Suka Bandung;38963
3610;Bengkulu;Kabupaten;Kaur;Kaur Selatan;Tanjung Besar;38963
3611;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Desa Gajah Mati;38382
3612;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Desa Semidang;38382
3613;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Durian Demang;38382
3614;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Dusun Baru II;38382
3615;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Kancing;38382
3616;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Karang Nanding;38382
3617;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Karang Tinggi;38382
3618;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Padang Siring;38382
3619;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Padang Tambak;38382
3620;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Pagar Gunung;38382
3621;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Penanding;38382
3622;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Plaju (Pelajau);38382
3623;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Rena Lebar;38382
3624;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Rena Semanek;38382
3625;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Taba Mutung;38382
3626;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Taba Terunjam;38382
3627;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Talang Empat;38385
3628;Bengkulu;Kabupaten;Bengkulu Tengah;Karang Tinggi;Ujung Karang;38382
3629;Bengkulu;Kota;Bengkulu;Kampung Melayu;Kandang;38216
3630;Bengkulu;Kota;Bengkulu;Kampung Melayu;Kandang Mas;38215
3631;Bengkulu;Kota;Bengkulu;Kampung Melayu;Muara Dua;38215
3632;Bengkulu;Kota;Bengkulu;Kampung Melayu;Padang Serai;38215
3633;Bengkulu;Kota;Bengkulu;Kampung Melayu;Sumber Jaya;38215
3634;Bengkulu;Kota;Bengkulu;Kampung Melayu;Teluk Sepang;38215
3635;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Air Buluh;38764
3636;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Air Mera;38764
3637;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Bukit Mulya;38764
3638;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Cinta Asih;38764
3639;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Manunggal Jaya;38764
3640;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Medan Jaya;38764
3641;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Mundam Marap;38764
3642;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Pasar Baru;38764
3643;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Pasar Ipuh;38764
3644;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Pulau Baru;38764
3645;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Pulau Makmur;38764
3646;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Pulau Payung (Pulai Payung);38764
3647;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Retak Hilir;38764
3648;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Semundam;38764
3649;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Sibak (Dusun Sibak);38764
3650;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Tanjung Harapan;38764
3651;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Tanjung Jaya;38764
3652;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Tanjung Medan;38764
3653;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Tirta Kencana;38764
3654;Bengkulu;Kabupaten;Muko Muko;Ipuh (Muko-Muko Selatan);Tirta Mulya;38764
3655;Bengkulu;Kabupaten;Seluma;Ilir Talo;Dusun Baru;38887
3656;Bengkulu;Kabupaten;Seluma;Ilir Talo;Margo Sari;38887
3657;Bengkulu;Kabupaten;Seluma;Ilir Talo;Mekar Sari;38887
3658;Bengkulu;Kabupaten;Seluma;Ilir Talo;Nanti Agung;38887
3659;Bengkulu;Kabupaten;Seluma;Ilir Talo;Padang Batu;38887
3660;Bengkulu;Kabupaten;Seluma;Ilir Talo;Padang Cekur;38887
3661;Bengkulu;Kabupaten;Seluma;Ilir Talo;Paluah Terap;38887
3662;Bengkulu;Kabupaten;Seluma;Ilir Talo;Pasar Talo;38887
3663;Bengkulu;Kabupaten;Seluma;Ilir Talo;Penago Baru;38887
3664;Bengkulu;Kabupaten;Seluma;Ilir Talo;Penago I;38887
3665;Bengkulu;Kabupaten;Seluma;Ilir Talo;Penago II;38887
3666;Bengkulu;Kabupaten;Seluma;Ilir Talo;Rawa Indah;38887
