No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
4000;DI Yogyakarta;Kabupaten;Sleman;Turi;Bangun Kerto;55551
4001;DI Yogyakarta;Kabupaten;Sleman;Turi;Donokerto;55551
4002;DI Yogyakarta;Kabupaten;Sleman;Turi;Giri Kerto;55551
4003;DI Yogyakarta;Kabupaten;Sleman;Turi;Wono Kerto;55551
4004;DI Yogyakarta;Kabupaten;Gunung Kidul;Tepus;Giripanggung;55881
4005;DI Yogyakarta;Kabupaten;Gunung Kidul;Tepus;Purwodadi;55881
4006;DI Yogyakarta;Kabupaten;Gunung Kidul;Tepus;Sidoharjo;55881
4007;DI Yogyakarta;Kabupaten;Gunung Kidul;Tepus;Sumber Wungu;55881
4008;DI Yogyakarta;Kabupaten;Gunung Kidul;Tepus;Tepus;55881
4009;DI Yogyakarta;Kabupaten;Sleman;Tempel;Banyu Rejo;55552
4010;DI Yogyakarta;Kabupaten;Sleman;Tempel;Lumbung Rejo;55552
4011;DI Yogyakarta;Kabupaten;Sleman;Tempel;Margo Rejo;55552
4012;DI Yogyakarta;Kabupaten;Sleman;Tempel;Merdiko Rejo;55552
4013;DI Yogyakarta;Kabupaten;Sleman;Tempel;Moro Rejo;55552
4014;DI Yogyakarta;Kabupaten;Sleman;Tempel;Pondok Rejo;55552
4015;DI Yogyakarta;Kabupaten;Sleman;Tempel;Sumber Rejo;55552
4016;DI Yogyakarta;Kabupaten;Sleman;Tempel;Tambak Rejo;55552
4017;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Demen;55654
4018;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Glagah;55654
4019;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Jangkaran;55654
4020;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Janten;55654
4021;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Kali Dengen;55654
4022;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Kaligintung;55654
4023;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Karang Wuluh;55654
4024;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Kebonrejo;55654
4025;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Kedundang;55654
4026;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Kulur;55654
4027;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Palihan;55654
4028;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Plumbon;55654
4029;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Sindutan;55654
4030;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Temon Kulon;55654
4031;DI Yogyakarta;Kabupaten;Kulon Progo;Temon;Temon Wetan;55654
4032;DI Yogyakarta;Kota;Yogyakarta;Tegalrejo;Bener;55243
4033;DI Yogyakarta;Kota;Yogyakarta;Tegalrejo;Karangwaru;55241
4034;DI Yogyakarta;Kota;Yogyakarta;Tegalrejo;Kricak;55242
4035;DI Yogyakarta;Kota;Yogyakarta;Tegalrejo;Tegalrejo;55244
4036;DI Yogyakarta;Kabupaten;Gunung Kidul;Tanjungsari;Banjarejo;55881
4037;DI Yogyakarta;Kabupaten;Gunung Kidul;Tanjungsari;Hargosari;55881
4038;DI Yogyakarta;Kabupaten;Gunung Kidul;Tanjungsari;Kemadang;55881
4039;DI Yogyakarta;Kabupaten;Gunung Kidul;Tanjungsari;Kemiri;55881
4040;DI Yogyakarta;Kabupaten;Gunung Kidul;Tanjungsari;Ngestirejo;55881
4041;DI Yogyakarta;Kabupaten;Bantul;Srandakan;Poncosari;55762
4042;DI Yogyakarta;Kabupaten;Bantul;Srandakan;Trimurti;55762
4043;DI Yogyakarta;Kabupaten;Sleman;Sleman;Catur Harjo;55515
4044;DI Yogyakarta;Kabupaten;Sleman;Sleman;Pandowo Harjo;55512
4045;DI Yogyakarta;Kabupaten;Sleman;Sleman;Tri Mulyo;55513
4046;DI Yogyakarta;Kabupaten;Sleman;Sleman;Tridadi;55511
4047;DI Yogyakarta;Kabupaten;Sleman;Sleman;Triharjo;55514
4048;DI Yogyakarta;Kabupaten;Sleman;Seyegan;Margoagung;55561
4049;DI Yogyakarta;Kabupaten;Sleman;Seyegan;Margodadi;55561
4050;DI Yogyakarta;Kabupaten;Sleman;Seyegan;Margokaton;55561
4051;DI Yogyakarta;Kabupaten;Sleman;Seyegan;Margoluwih;55561
4052;DI Yogyakarta;Kabupaten;Sleman;Seyegan;Margomulyo;55561
4053;DI Yogyakarta;Kabupaten;Bantul;Sewon;Bangunharjo;55188
4054;DI Yogyakarta;Kabupaten;Bantul;Sewon;Panggungharjo;55188
4055;DI Yogyakarta;Kabupaten;Bantul;Sewon;Pendowoharjo;55185
4056;DI Yogyakarta;Kabupaten;Bantul;Sewon;Timbulharjo;55186
4057;DI Yogyakarta;Kabupaten;Kulon Progo;Sentolo;Banguncipto;55664
4058;DI Yogyakarta;Kabupaten;Kulon Progo;Sentolo;Demangrejo;55664
4059;DI Yogyakarta;Kabupaten;Kulon Progo;Sentolo;Kaliagung;55664
4060;DI Yogyakarta;Kabupaten;Kulon Progo;Sentolo;Salamrejo;55664
4061;DI Yogyakarta;Kabupaten;Kulon Progo;Sentolo;Sentolo;55664
4062;DI Yogyakarta;Kabupaten;Kulon Progo;Sentolo;Srikayangan;55664
4063;DI Yogyakarta;Kabupaten;Kulon Progo;Sentolo;Sukoreno;55664
4064;DI Yogyakarta;Kabupaten;Kulon Progo;Sentolo;Tuksono;55664
4065;DI Yogyakarta;Kabupaten;Gunung Kidul;Semin;Bendung;55854
4066;DI Yogyakarta;Kabupaten;Gunung Kidul;Semin;Bulurejo;55854
4067;DI Yogyakarta;Kabupaten;Gunung Kidul;Semin;Candi Rejo;55854
4068;DI Yogyakarta;Kabupaten;Gunung Kidul;Semin;Kalitekuk;55854
4069;DI Yogyakarta;Kabupaten;Gunung Kidul;Semin;Karang Sari;55854
4070;DI Yogyakarta;Kabupaten;Gunung Kidul;Semin;Kemejing;55854
4071;DI Yogyakarta;Kabupaten;Gunung Kidul;Semin;Pundung Sari;55854
4072;DI Yogyakarta;Kabupaten;Gunung Kidul;Semin;Rejosari;55854
4073;DI Yogyakarta;Kabupaten;Gunung Kidul;Semin;Semin;55854
4074;DI Yogyakarta;Kabupaten;Gunung Kidul;Semin;Sumberrejo;55854
4075;DI Yogyakarta;Kabupaten;Gunung Kidul;Semanu;Candirejo;55893
4076;DI Yogyakarta;Kabupaten;Gunung Kidul;Semanu;Dadapayu;55893
4077;DI Yogyakarta;Kabupaten;Gunung Kidul;Semanu;Ngeposari;55893
4078;DI Yogyakarta;Kabupaten;Gunung Kidul;Semanu;Pacarejo;55893
4079;DI Yogyakarta;Kabupaten;Gunung Kidul;Semanu;Semanu;55893
4080;DI Yogyakarta;Kabupaten;Bantul;Sedayu;Argodadi;55752
4081;DI Yogyakarta;Kabupaten;Bantul;Sedayu;Argomulyo;55752
4082;DI Yogyakarta;Kabupaten;Bantul;Sedayu;Argorejo;55752
4083;DI Yogyakarta;Kabupaten;Bantul;Sedayu;Argosari;55752
4084;DI Yogyakarta;Kabupaten;Gunung Kidul;Sapto Sari;Jetis;55871
4085;DI Yogyakarta;Kabupaten;Gunung Kidul;Sapto Sari;Kanigoro;55871
4086;DI Yogyakarta;Kabupaten;Gunung Kidul;Sapto Sari;Kepek;55871
4087;DI Yogyakarta;Kabupaten;Gunung Kidul;Sapto Sari;Krambil Sawit;55871
4088;DI Yogyakarta;Kabupaten;Gunung Kidul;Sapto Sari;Monggol;55871
4089;DI Yogyakarta;Kabupaten;Gunung Kidul;Sapto Sari;Nglora;55871
4090;DI Yogyakarta;Kabupaten;Gunung Kidul;Sapto Sari;Planjan;55871
4091;DI Yogyakarta;Kabupaten;Bantul;Sanden;Gadingharjo;55763
4092;DI Yogyakarta;Kabupaten;Bantul;Sanden;Gadingsari;55763
4093;DI Yogyakarta;Kabupaten;Bantul;Sanden;Murtigading;55763
4094;DI Yogyakarta;Kabupaten;Bantul;Sanden;Srigading;55763
4095;DI Yogyakarta;Kabupaten;Kulon Progo;Samigaluh;Banjarsari;55673
4096;DI Yogyakarta;Kabupaten;Kulon Progo;Samigaluh;Gerbosari;55673
4097;DI Yogyakarta;Kabupaten;Kulon Progo;Samigaluh;Kebon Harjo;55673
4098;DI Yogyakarta;Kabupaten;Kulon Progo;Samigaluh;Ngargosari;55673
4099;DI Yogyakarta;Kabupaten;Kulon Progo;Samigaluh;Pagerharjo;55673
