No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
4500;DKI Jakarta;Kota;Jakarta Barat;Palmerah;Jatipulo;11430
4501;DKI Jakarta;Kota;Jakarta Barat;Palmerah;Kemanggisan;11480
4502;DKI Jakarta;Kota;Jakarta Barat;Palmerah;Kota Bambu Selatan;11420
4503;DKI Jakarta;Kota;Jakarta Barat;Palmerah;Kota Bambu Utara;11420
4504;DKI Jakarta;Kota;Jakarta Barat;Palmerah;Palmerah;11480
4505;DKI Jakarta;Kota;Jakarta Barat;Palmerah;Slipi;11410
4506;DKI Jakarta;Kota;Jakarta Utara;Pademangan;Ancol;14430
4507;DKI Jakarta;Kota;Jakarta Utara;Pademangan;Pademangan Barat;14420
4508;DKI Jakarta;Kota;Jakarta Utara;Pademangan;Pademangan Timur;14410
4509;DKI Jakarta;Kota;Jakarta Pusat;Menteng;Cikini;10330
4510;DKI Jakarta;Kota;Jakarta Pusat;Menteng;Gondangdia;10350
4511;DKI Jakarta;Kota;Jakarta Pusat;Menteng;Kebon Sirih;10340
4512;DKI Jakarta;Kota;Jakarta Pusat;Menteng;Menteng;10310
4513;DKI Jakarta;Kota;Jakarta Pusat;Menteng;Pegangsaan;10320
4514;DKI Jakarta;Kota;Jakarta Timur;Matraman;Kayu Manis;13130
4515;DKI Jakarta;Kota;Jakarta Timur;Matraman;Kebon Manggis;13150
4516;DKI Jakarta;Kota;Jakarta Timur;Matraman;Pal Meriam;13140
4517;DKI Jakarta;Kota;Jakarta Timur;Matraman;Pisangan Baru;13110
4518;DKI Jakarta;Kota;Jakarta Timur;Matraman;Utan Kayu Selatan;13120
4519;DKI Jakarta;Kota;Jakarta Timur;Matraman;Utan Kayu Utara;13120
4520;DKI Jakarta;Kota;Jakarta Selatan;Mampang Prapatan;Bangka;12730
4521;DKI Jakarta;Kota;Jakarta Selatan;Mampang Prapatan;Kuningan Barat;12710
4522;DKI Jakarta;Kota;Jakarta Selatan;Mampang Prapatan;Mampang Prapatan;12790
4523;DKI Jakarta;Kota;Jakarta Selatan;Mampang Prapatan;Pela Mampang;12720
4524;DKI Jakarta;Kota;Jakarta Selatan;Mampang Prapatan;Tegal Parang;12790
4525;DKI Jakarta;Kota;Jakarta Timur;Makasar;Cipinang Melayu;13620
4526;DKI Jakarta;Kota;Jakarta Timur;Makasar;Halim Perdana Kusumah;13610
4527;DKI Jakarta;Kota;Jakarta Timur;Makasar;Kebon Pala;13650
4528;DKI Jakarta;Kota;Jakarta Timur;Makasar;Makasar;13570
4529;DKI Jakarta;Kota;Jakarta Timur;Makasar;Pinang Ranti;13560
4530;DKI Jakarta;Kota;Jakarta Timur;Kramat Jati;Balekambang;13530
4531;DKI Jakarta;Kota;Jakarta Timur;Kramat Jati;Batuampar;13520
4532;DKI Jakarta;Kota;Jakarta Timur;Kramat Jati;Cawang;13630
4533;DKI Jakarta;Kota;Jakarta Timur;Kramat Jati;Cililitan;13640
4534;DKI Jakarta;Kota;Jakarta Timur;Kramat Jati;Dukuh;13550
4535;DKI Jakarta;Kota;Jakarta Timur;Kramat Jati;Kampung Tengah;13540
4536;DKI Jakarta;Kota;Jakarta Timur;Kramat Jati;Kramat Jati;13510
4537;DKI Jakarta;Kota;Jakarta Utara;Koja;Koja (Utara, Selatan);14210
4538;DKI Jakarta;Kota;Jakarta Utara;Koja;Lagoa;14270
4539;DKI Jakarta;Kota;Jakarta Utara;Koja;Rawa Badak Selatan;14230
4540;DKI Jakarta;Kota;Jakarta Utara;Koja;Rawa Badak Utara;14230
4541;DKI Jakarta;Kota;Jakarta Utara;Koja;Tugu Selatan;14260
4542;DKI Jakarta;Kota;Jakarta Utara;Koja;Tugu Utara;14260
4543;DKI Jakarta;Kabupaten;Kepulauan Seribu;Kepulauan Seribu Utara;Pulau Harapan;14540
4544;DKI Jakarta;Kabupaten;Kepulauan Seribu;Kepulauan Seribu Utara;Pulau Kelapa;14540
4545;DKI Jakarta;Kabupaten;Kepulauan Seribu;Kepulauan Seribu Utara;Pulau Panggang;14530
4546;DKI Jakarta;Kabupaten;Kepulauan Seribu;Kepulauan Seribu Selatan;Pulau Pari;14520
4547;DKI Jakarta;Kabupaten;Kepulauan Seribu;Kepulauan Seribu Selatan;Pulau Tidung;14520
4548;DKI Jakarta;Kabupaten;Kepulauan Seribu;Kepulauan Seribu Selatan;Pulau Untung Jawa;14510
4549;DKI Jakarta;Kota;Jakarta Barat;Kembangan;Joglo;11640
4550;DKI Jakarta;Kota;Jakarta Barat;Kembangan;Kembangan Selatan;11610
4551;DKI Jakarta;Kota;Jakarta Barat;Kembangan;Kembangan Utara;11610
4552;DKI Jakarta;Kota;Jakarta Barat;Kembangan;Meruya Selatan (Udik);11650
4553;DKI Jakarta;Kota;Jakarta Barat;Kembangan;Meruya Utara (Ilir);11620
4554;DKI Jakarta;Kota;Jakarta Barat;Kembangan;Srengseng;11630
