No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
5000;Gorontalo;Kabupaten;Gorontalo;Mootilango;Satria;96127
5001;Gorontalo;Kabupaten;Gorontalo;Mootilango;Sido Mukti;96127
5002;Gorontalo;Kabupaten;Gorontalo;Mootilango;Suka Maju;96127
5003;Gorontalo;Kabupaten;Gorontalo;Mootilango;Talumopatu;96127
5004;Gorontalo;Kabupaten;Gorontalo Utara;Monano;Dunu;96525
5005;Gorontalo;Kabupaten;Gorontalo Utara;Monano;Garapia;96525
5006;Gorontalo;Kabupaten;Gorontalo Utara;Monano;Mokonowu;96525
5007;Gorontalo;Kabupaten;Gorontalo Utara;Monano;Monano;96525
5008;Gorontalo;Kabupaten;Gorontalo Utara;Monano;Monas;96525
5009;Gorontalo;Kabupaten;Gorontalo Utara;Monano;Pilohulata;96525
5010;Gorontalo;Kabupaten;Gorontalo Utara;Monano;Sogu;96525
5011;Gorontalo;Kabupaten;Gorontalo Utara;Monano;Tolitehuyu;96525
5012;Gorontalo;Kabupaten;Gorontalo Utara;Monano;Tudi;96525
5013;Gorontalo;Kabupaten;Gorontalo Utara;Monano;Zuriyati;96525
5014;Gorontalo;Kabupaten;Pohuwato;Marisa;Batubilotahu Indah;96266
5015;Gorontalo;Kabupaten;Pohuwato;Marisa;Bulangita;96266
5016;Gorontalo;Kabupaten;Pohuwato;Marisa;Marisa Selatan;96466
5017;Gorontalo;Kabupaten;Pohuwato;Marisa;Marisa Utara;96466
5018;Gorontalo;Kabupaten;Pohuwato;Marisa;Palopo;96266
5019;Gorontalo;Kabupaten;Pohuwato;Marisa;Pohuwato;96266
5020;Gorontalo;Kabupaten;Pohuwato;Marisa;Pohuwato Timur;96266
5021;Gorontalo;Kabupaten;Pohuwato;Marisa;Teratai;96266
5022;Gorontalo;Kabupaten;Boalemo;Mananggu;Bendungan;96265
5023;Gorontalo;Kabupaten;Boalemo;Mananggu;Buti;96265
5024;Gorontalo;Kabupaten;Boalemo;Mananggu;Kaaruyan;96265
5025;Gorontalo;Kabupaten;Boalemo;Mananggu;Keramat;96265
5026;Gorontalo;Kabupaten;Boalemo;Mananggu;Mananggu;96265
5027;Gorontalo;Kabupaten;Boalemo;Mananggu;Pontolo;96265
5028;Gorontalo;Kabupaten;Boalemo;Mananggu;Salilama;96265
5029;Gorontalo;Kabupaten;Boalemo;Mananggu;Tabulo;96265
5030;Gorontalo;Kabupaten;Boalemo;Mananggu;Tabulo Selatan;96265
5031;Gorontalo;Kabupaten;Gorontalo;Limboto Barat;Daenaa;96215
5032;Gorontalo;Kabupaten;Gorontalo;Limboto Barat;Hayahaya;96216
5033;Gorontalo;Kabupaten;Gorontalo;Limboto Barat;Huidu;96215
5034;Gorontalo;Kabupaten;Gorontalo;Limboto Barat;Huidu Utara;96216
5035;Gorontalo;Kabupaten;Gorontalo;Limboto Barat;Hutabohu;96216
5036;Gorontalo;Kabupaten;Gorontalo;Limboto Barat;Ombulo;96215
5037;Gorontalo;Kabupaten;Gorontalo;Limboto Barat;Padengo;96216
5038;Gorontalo;Kabupaten;Gorontalo;Limboto Barat;Pone;96215
5039;Gorontalo;Kabupaten;Gorontalo;Limboto Barat;Tunggulo;96217
5040;Gorontalo;Kabupaten;Gorontalo;Limboto Barat;Yosonegoro (Yoosonegoro);96216
5041;Gorontalo;Kabupaten;Gorontalo;Limboto;Biyonga;96212
5042;Gorontalo;Kabupaten;Gorontalo;Limboto;Bolihuangga;96218
5043;Gorontalo;Kabupaten;Gorontalo;Limboto;Bongohulawa;96214
5044;Gorontalo;Kabupaten;Gorontalo;Limboto;Bulota;96213
5045;Gorontalo;Kabupaten;Gorontalo;Limboto;Dutulanaa;96213
5046;Gorontalo;Kabupaten;Gorontalo;Limboto;Hepuhulawa;96212
5047;Gorontalo;Kabupaten;Gorontalo;Limboto;Hunggaluwa;96219
5048;Gorontalo;Kabupaten;Gorontalo;Limboto;Hutuo;96213
5049;Gorontalo;Kabupaten;Gorontalo;Limboto;Kayubulan;96211
5050;Gorontalo;Kabupaten;Gorontalo;Limboto;Kayumerah;96214
5051;Gorontalo;Kabupaten;Gorontalo;Limboto;Malahu;96211
5052;Gorontalo;Kabupaten;Gorontalo;Limboto;Polohungo;96212
5053;Gorontalo;Kabupaten;Gorontalo;Limboto;Tenilo;96218
5054;Gorontalo;Kabupaten;Gorontalo;Limboto;Tilihua;96214
5055;Gorontalo;Kabupaten;Pohuwato;Lemito;Babalonge;96468
5056;Gorontalo;Kabupaten;Pohuwato;Lemito;Kenari;96468
5057;Gorontalo;Kabupaten;Pohuwato;Lemito;Lemito;96468
5058;Gorontalo;Kabupaten;Pohuwato;Lemito;Lemito Utara;96468
5059;Gorontalo;Kabupaten;Pohuwato;Lemito;Lomuli;96468
5060;Gorontalo;Kabupaten;Pohuwato;Lemito;Suka Damai;96468
5061;Gorontalo;Kabupaten;Pohuwato;Lemito;Wonggarasi Barat;96468
5062;Gorontalo;Kabupaten;Pohuwato;Lemito;Wonggarasi Tengah;96468
5063;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Alata Karya;96252
5064;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Botungobungo;96252
5065;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Botuwombata;96252
5066;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Bualemo;96252
5067;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Bulalo;96252
5068;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Cisadane;96252
5069;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Katialada;96252
5070;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Leboto;96252
5071;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Masuru;96252
5072;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Molingkapoto (Molinggapoto);96252
5073;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Molingkapoto Selatan;96252
5074;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Moluo;96252
5075;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Mootinelo;96252
5076;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Ombulodata;96252
5077;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Pontolo;96252
5078;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Pontolo Atas;96252
5079;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Posso;96252
5080;Gorontalo;Kabupaten;Gorontalo Utara;Kwandang;Titidu;96252
5081;Gorontalo;Kota;Gorontalo;Kota Utara;Dembe II;96121
5082;Gorontalo;Kota;Gorontalo;Kota Utara;Dembe Jaya;96121
5083;Gorontalo;Kota;Gorontalo;Kota Utara;Dulomo Selatan;96123
5084;Gorontalo;Kota;Gorontalo;Kota Utara;Dulomo Utara;96123
5085;Gorontalo;Kota;Gorontalo;Kota Utara;Wongkaditi Barat;96122
5086;Gorontalo;Kota;Gorontalo;Kota Utara;Wongkaditi Timur;96122
5087;Gorontalo;Kota;Gorontalo;Kota Timur;Heledulaa Selatan;96114
5088;Gorontalo;Kota;Gorontalo;Kota Timur;Heledulaa Utara;96119
5089;Gorontalo;Kota;Gorontalo;Kota Timur;Ipilo;96112
5090;Gorontalo;Kota;Gorontalo;Kota Timur;Moodu;96113
5091;Gorontalo;Kota;Gorontalo;Kota Timur;Padebuolo;96113
5092;Gorontalo;Kota;Gorontalo;Kota Timur;Tamalate;96113
5093;Gorontalo;Kota;Gorontalo;Kota Tengah;Dulalowo;96128
5094;Gorontalo;Kota;Gorontalo;Kota Tengah;Dulalowo Timur;96128
5095;Gorontalo;Kota;Gorontalo;Kota Tengah;Liluwo;96129
5096;Gorontalo;Kota;Gorontalo;Kota Tengah;Paguyaman;96129
5097;Gorontalo;Kota;Gorontalo;Kota Tengah;Pulubala;96127
5098;Gorontalo;Kota;Gorontalo;Kota Tengah;Wumialo;96128
5099;Gorontalo;Kota;Gorontalo;Kota Selatan;Biawao;96111
5100;Gorontalo;Kota;Gorontalo;Kota Selatan;Biawu;96111
5101;Gorontalo;Kota;Gorontalo;Kota Selatan;Limba B;96115
5102;Gorontalo;Kota;Gorontalo;Kota Selatan;Limba U Dua (Limba U II);96115
5103;Gorontalo;Kota;Gorontalo;Kota Selatan;Limba U Satu (Limba U I);96115
5104;Gorontalo;Kota;Gorontalo;Kota Barat;Buladu;96136
5105;Gorontalo;Kota;Gorontalo;Kota Barat;Buliide;96133
5106;Gorontalo;Kota;Gorontalo;Kota Barat;Dembe I;96131
5107;Gorontalo;Kota;Gorontalo;Kota Barat;Lekobalo;96131
5108;Gorontalo;Kota;Gorontalo;Kota Barat;Molosifat W (Molosipat W);96134
5109;Gorontalo;Kota;Gorontalo;Kota Barat;Pilolodaa;96132
5110;Gorontalo;Kota;Gorontalo;Kota Barat;Tenilo;96133
5111;Gorontalo;Kabupaten;Bone Bolango;Kabila Bone;Biluango;96583
5112;Gorontalo;Kabupaten;Bone Bolango;Kabila Bone;Bintalahe;96585
5113;Gorontalo;Kabupaten;Bone Bolango;Kabila Bone;Botubarani;96583
5114;Gorontalo;Kabupaten;Bone Bolango;Kabila Bone;Botutonuo (Botutonua);96585
5115;Gorontalo;Kabupaten;Bone Bolango;Kabila Bone;Huangobotu;96583
5116;Gorontalo;Kabupaten;Bone Bolango;Kabila Bone;Modelomo;96585
5117;Gorontalo;Kabupaten;Bone Bolango;Kabila Bone;Molotabu (Molutabu);96585
5118;Gorontalo;Kabupaten;Bone Bolango;Kabila Bone;Olele;96585
5119;Gorontalo;Kabupaten;Bone Bolango;Kabila Bone;Oluhuta;96585
5120;Gorontalo;Kabupaten;Bone Bolango;Kabila;Dutohe;96583
