No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
5500;Jambi;Kabupaten;Tanjung Jabung Barat;Tebing Tinggi;Adi Jaya;36552
5501;Jambi;Kabupaten;Tanjung Jabung Barat;Tebing Tinggi;Dataran Kempas;36552
5502;Jambi;Kabupaten;Tanjung Jabung Barat;Tebing Tinggi;Delima;36552
5503;Jambi;Kabupaten;Tanjung Jabung Barat;Tebing Tinggi;Kelagian;36552
5504;Jambi;Kabupaten;Tanjung Jabung Barat;Tebing Tinggi;Purwodadi;36552
5505;Jambi;Kabupaten;Tanjung Jabung Barat;Tebing Tinggi;Sukadamai;36552
5506;Jambi;Kabupaten;Tanjung Jabung Barat;Tebing Tinggi;Sungaikeruh;36552
5507;Jambi;Kabupaten;Tanjung Jabung Barat;Tebing Tinggi;Talang Makmur;36552
5508;Jambi;Kabupaten;Tanjung Jabung Barat;Tebing Tinggi;Tebing Tinggi;36552
5509;Jambi;Kabupaten;Tanjung Jabung Barat;Tebing Tinggi;Telukpengkah;36552
5510;Jambi;Kabupaten;Bungo;Tanah Tumbuh;Bukit Kemang Baru;37255
5511;Jambi;Kabupaten;Bungo;Tanah Tumbuh;Koto Jayo;37255
5512;Jambi;Kabupaten;Bungo;Tanah Tumbuh;Lubuk Niur;37255
5513;Jambi;Kabupaten;Bungo;Tanah Tumbuh;Panjang;37255
5514;Jambi;Kabupaten;Bungo;Tanah Tumbuh;Pedukun;37255
5515;Jambi;Kabupaten;Bungo;Tanah Tumbuh;Perenti Lueh/Luweh;37255
5516;Jambi;Kabupaten;Bungo;Tanah Tumbuh;Rambah;37255
5517;Jambi;Kabupaten;Bungo;Tanah Tumbuh;Renah Jelmu;37255
5518;Jambi;Kabupaten;Bungo;Tanah Tumbuh;Tanah Tumbuh;37255
5519;Jambi;Kabupaten;Bungo;Tanah Tumbuh;Tebing Tinggi Uleh;37255
5520;Jambi;Kabupaten;Bungo;Tanah Tumbuh;Teluk Kecimbung;37255
5521;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Embacang Gedang;37263
5522;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Lubuk Landai;37263
5523;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Paku Aji;37263
5524;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Pematang Panjang;37263
5525;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Rantau Embacang;37263
5526;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Rantau Makmur;37263
5527;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Sungai Lilin;37263
5528;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Sungai Mancur;37263
5529;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Sungai Puri;37263
5530;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Sungai Tembang;37263
5531;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Tanah Periuk;37263
5532;Jambi;Kabupaten;Bungo;Tanah Sepenggal Lintas;Tebing Tinggi;37263
5533;Jambi;Kabupaten;Bungo;Tanah Sepenggal;Candi;37263
5534;Jambi;Kabupaten;Bungo;Tanah Sepenggal;Empelu;37263
5535;Jambi;Kabupaten;Bungo;Tanah Sepenggal;Pasar Lubuk Landai;37263
5536;Jambi;Kabupaten;Bungo;Tanah Sepenggal;Pasar Rantau Embacang;37263
5537;Jambi;Kabupaten;Bungo;Tanah Sepenggal;Sungai Gambir;37263
5538;Jambi;Kabupaten;Bungo;Tanah Sepenggal;Tanah Bekali;37263
5539;Jambi;Kabupaten;Bungo;Tanah Sepenggal;Tanjung;37263
5540;Jambi;Kabupaten;Bungo;Tanah Sepenggal;Telentam;37263
5541;Jambi;Kabupaten;Bungo;Tanah Sepenggal;Teluk Pandak;37263
5542;Jambi;Kabupaten;Bungo;Tanah Sepenggal;Tenam;37263
5543;Jambi;Kota;Sungaipenuh;Tanah Kampung;Baru Debai;37171
5544;Jambi;Kota;Sungaipenuh;Tanah Kampung;Koto Baru Tanah Kampung;37171
5545;Jambi;Kota;Sungaipenuh;Tanah Kampung;Koto Dumo;37171
5546;Jambi;Kota;Sungaipenuh;Tanah Kampung;Koto Padang;37171
5547;Jambi;Kota;Sungaipenuh;Tanah Kampung;Koto Panap;37171
