No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
6000;Jambi;Kabupaten;Sarolangun;Pelawan;Pematang Kolim/Kulim;37482
6001;Jambi;Kabupaten;Sarolangun;Pelawan;Penegah;37482
6002;Jambi;Kabupaten;Sarolangun;Pelawan;Pulau Aro;37482
6003;Jambi;Kabupaten;Sarolangun;Pelawan;Rantau Tenang (Rantanu Tenang);37482
6004;Jambi;Kabupaten;Sarolangun;Pelawan;Sungai Merah;37482
6005;Jambi;Kabupaten;Sarolangun;Pauh;Batu Ampar;37491
6006;Jambi;Kabupaten;Sarolangun;Pauh;Batu Kucing;37491
6007;Jambi;Kabupaten;Sarolangun;Pauh;Danau Serdang;37491
6008;Jambi;Kabupaten;Sarolangun;Pauh;Karang Mendapo;37491
6009;Jambi;Kabupaten;Sarolangun;Pauh;Kasang Melintang;37491
6010;Jambi;Kabupaten;Sarolangun;Pauh;Lamban Sigatal;37491
6011;Jambi;Kabupaten;Sarolangun;Pauh;Lubuk Napal;37491
6012;Jambi;Kabupaten;Sarolangun;Pauh;Pangkal Bulian;37491
6013;Jambi;Kabupaten;Sarolangun;Pauh;Pauh;37491
6014;Jambi;Kabupaten;Sarolangun;Pauh;Pengidaran (Pangidaran);37491
6015;Jambi;Kabupaten;Sarolangun;Pauh;Seko Besar;37491
6016;Jambi;Kabupaten;Sarolangun;Pauh;Semaran;37491
6017;Jambi;Kabupaten;Sarolangun;Pauh;Sepintun;37491
6018;Jambi;Kabupaten;Sarolangun;Pauh;Taman Bandung;37491
6019;Jambi;Kabupaten;Bungo;Pasar Muara Bungo;Batang Bungo;37211
6020;Jambi;Kabupaten;Bungo;Pasar Muara Bungo;Bungo Barat;37211
6021;Jambi;Kabupaten;Bungo;Pasar Muara Bungo;Bungo Timur;37211
6022;Jambi;Kabupaten;Bungo;Pasar Muara Bungo;Jaya Setia;37211
6023;Jambi;Kabupaten;Bungo;Pasar Muara Bungo;Tanjung Gedang;37211
6024;Jambi;Kota;Jambi;Pasar Jambi;Beringin;36112
6025;Jambi;Kota;Jambi;Pasar Jambi;Orang Kayo Hitam;36111
6026;Jambi;Kota;Jambi;Pasar Jambi;Pasar Jambi;36133
6027;Jambi;Kota;Jambi;Pasar Jambi;Sungai Asam;36134
6028;Jambi;Kabupaten;Merangin;Pangkalan Jambu;Baru Pangkalan Jambu;37361
6029;Jambi;Kabupaten;Merangin;Pangkalan Jambu;Birun;37361
6030;Jambi;Kabupaten;Merangin;Pangkalan Jambu;Bukit Perentak;37361
6031;Jambi;Kabupaten;Merangin;Pangkalan Jambu;Bungo Tanjung;37361
6032;Jambi;Kabupaten;Merangin;Pangkalan Jambu;Kampung Limo;37361
6033;Jambi;Kabupaten;Merangin;Pangkalan Jambu;Sungai Jering;37361
6034;Jambi;Kabupaten;Merangin;Pangkalan Jambu;Tanjung Mudo;37361
6035;Jambi;Kabupaten;Merangin;Pangkalan Jambu;Tiga/Tigo Alur Pangkalan Jambu;37361
6036;Jambi;Kabupaten;Merangin;Pamenang Selatan;Pulau Bayur;37352
6037;Jambi;Kabupaten;Merangin;Pamenang Selatan;Selango;37352
6038;Jambi;Kabupaten;Merangin;Pamenang Selatan;Tambang Emas;37352
6039;Jambi;Kabupaten;Merangin;Pamenang Selatan;Tanjung Benuang;37352
6040;Jambi;Kabupaten;Merangin;Pamenang Barat;Karang Anyar;37352
6041;Jambi;Kabupaten;Merangin;Pamenang Barat;Limbur Merangin;37352
6042;Jambi;Kabupaten;Merangin;Pamenang Barat;Mampun Baru;37352
6043;Jambi;Kabupaten;Merangin;Pamenang Barat;Papit;37352
6044;Jambi;Kabupaten;Merangin;Pamenang Barat;Pinang Merah;37352
6045;Jambi;Kabupaten;Merangin;Pamenang Barat;PulauTujuh;37352
6046;Jambi;Kabupaten;Merangin;Pamenang Barat;Simpang Limbur Merangin;37352
6047;Jambi;Kabupaten;Merangin;Pamenang Barat;Tanjung Lamin;37352
6048;Jambi;Kabupaten;Merangin;Pamenang;Empang Benao;37352
6049;Jambi;Kabupaten;Merangin;Pamenang;Jelatang;37352
6050;Jambi;Kabupaten;Merangin;Pamenang;Karang Berahi/Birahi;37352
6051;Jambi;Kabupaten;Merangin;Pamenang;Keroya;37352
6052;Jambi;Kabupaten;Merangin;Pamenang;Muara/Muaro Belengo;37352
6053;Jambi;Kabupaten;Merangin;Pamenang;Pamenang;37352
6054;Jambi;Kabupaten;Merangin;Pamenang;Pauh Menang;37352
6055;Jambi;Kabupaten;Merangin;Pamenang;Pelakar Jaya;37352
6056;Jambi;Kabupaten;Merangin;Pamenang;Pematang Kancil;37352
6057;Jambi;Kabupaten;Merangin;Pamenang;Rejosari;37352
6058;Jambi;Kabupaten;Merangin;Pamenang;Sialang;37352
6059;Jambi;Kabupaten;Merangin;Pamenang;Sungai Udang;37352
6060;Jambi;Kabupaten;Merangin;Pamenang;Tanah Abang;37352
6061;Jambi;Kabupaten;Merangin;Pamenang;Tanjung Gedang;37352
6062;Jambi;Kabupaten;Tanjung Jabung Timur;Nipah Panjang;Bunga Tanjung;36771
6063;Jambi;Kabupaten;Tanjung Jabung Timur;Nipah Panjang;Nipah Panjang I;36771
6064;Jambi;Kabupaten;Tanjung Jabung Timur;Nipah Panjang;Nipah Panjang II;36771
6065;Jambi;Kabupaten;Tanjung Jabung Timur;Nipah Panjang;Pemusiran;36771
