No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
6500;Jambi;Kabupaten;Bungo;Jujuhan Ilir;Lubuk Tenam;37257
6501;Jambi;Kabupaten;Bungo;Jujuhan Ilir;Pulau Batu;37257
6502;Jambi;Kabupaten;Bungo;Jujuhan Ilir;Sari Mulya;37257
6503;Jambi;Kabupaten;Bungo;Jujuhan Ilir;Tepian Danto;37257
6504;Jambi;Kabupaten;Bungo;Jujuhan;Baru Balai Panjang;37257
6505;Jambi;Kabupaten;Bungo;Jujuhan;Jumbak;37257
6506;Jambi;Kabupaten;Bungo;Jujuhan;Pulau Jelmu;37257
6507;Jambi;Kabupaten;Bungo;Jujuhan;Rantau Ikil;37257
6508;Jambi;Kabupaten;Bungo;Jujuhan;Rantau Panjang;37257
6509;Jambi;Kabupaten;Bungo;Jujuhan;Sirih Sekapur;37257
6510;Jambi;Kabupaten;Bungo;Jujuhan;Sirih Sekapur Perkembangan;37257
6511;Jambi;Kabupaten;Bungo;Jujuhan;Talang Pemesun (Pamesun);37257
6512;Jambi;Kabupaten;Bungo;Jujuhan;Tanjung Belit;37257
6513;Jambi;Kabupaten;Bungo;Jujuhan;Ujung Tanjung;37257
6514;Jambi;Kota;Jambi;Jelutung;Cempaka Putih;36134
6515;Jambi;Kota;Jambi;Jelutung;Handil Jaya;36137
6516;Jambi;Kota;Jambi;Jelutung;Jelutung;36136
6517;Jambi;Kota;Jambi;Jelutung;Kebun Handil;36137
6518;Jambi;Kota;Jambi;Jelutung;Lebak Bandung;36135
6519;Jambi;Kota;Jambi;Jelutung;Payo Lebar;36135
6520;Jambi;Kota;Jambi;Jelutung;Talang Jauh;36133
6521;Jambi;Kabupaten;Merangin;Jangkat;Koto Rawang;37372
6522;Jambi;Kabupaten;Merangin;Jangkat;Koto Renah;37372
6523;Jambi;Kabupaten;Merangin;Jangkat;Lubuk Mentilin;37372
6524;Jambi;Kabupaten;Merangin;Jangkat;Lubuk Pungguk;37372
6525;Jambi;Kabupaten;Merangin;Jangkat;Muara Manderas;37372
6526;Jambi;Kabupaten;Merangin;Jangkat;Pulau Tengah;37372
6527;Jambi;Kabupaten;Merangin;Jangkat;Rantau Kermas;37372
6528;Jambi;Kabupaten;Merangin;Jangkat;Renah Alai;37372
6529;Jambi;Kabupaten;Merangin;Jangkat;Renah Kemumu;37372
6530;Jambi;Kabupaten;Merangin;Jangkat;Renah Pelaan;37372
6531;Jambi;Kabupaten;Merangin;Jangkat;Tanjung Kasri;37372
6532;Jambi;Kota;Jambi;Jambi Timur;Budiman;36145
6533;Jambi;Kota;Jambi;Jambi Timur;Kasang;36141
6534;Jambi;Kota;Jambi;Jambi Timur;Kasang Jaya;36141
6535;Jambi;Kota;Jambi;Jambi Timur;Payo Selincah/Silincah;36148
6536;Jambi;Kota;Jambi;Jambi Timur;Rajawali;36143
6537;Jambi;Kota;Jambi;Jambi Timur;Sijenjang (Sijinjang);36149
6538;Jambi;Kota;Jambi;Jambi Timur;Sulan Jana;36144
6539;Jambi;Kota;Jambi;Jambi Timur;Talang Banjar;36142
6540;Jambi;Kota;Jambi;Jambi Timur;Tanjung Pinang;36146
6541;Jambi;Kota;Jambi;Jambi Timur;Tanjung Sari;36147
6542;Jambi;Kota;Jambi;Jambi Selatan;Eka Jaya;36139
6543;Jambi;Kota;Jambi;Jambi Selatan;Lingkar Selatan;36139
6544;Jambi;Kota;Jambi;Jambi Selatan;Paal Merah;36139
6545;Jambi;Kota;Jambi;Jambi Selatan;Pakuan Baru;36132
6546;Jambi;Kota;Jambi;Jambi Selatan;Pasir Putih;36139
6547;Jambi;Kota;Jambi;Jambi Selatan;Talang Bakung;36139
6548;Jambi;Kota;Jambi;Jambi Selatan;Tambak Sari;36139
6549;Jambi;Kota;Jambi;Jambi Selatan;The Hok;36138
6550;Jambi;Kota;Jambi;Jambi Selatan;Wijaya Pura;36131
6551;Jambi;Kabupaten;Muaro Jambi;Jambi Luar Kota;Danau Sarang Elang;36361
6552;Jambi;Kabupaten;Muaro Jambi;Jambi Luar Kota;Kademangan;36361
6553;Jambi;Kabupaten;Muaro Jambi;Jambi Luar Kota;Maro Sebo;36382
6554;Jambi;Kabupaten;Muaro Jambi;Jambi Luar Kota;Mendalo Darat;36361
6555;Jambi;Kabupaten;Muaro Jambi;Jambi Luar Kota;Mendalo Indah;36361
6556;Jambi;Kabupaten;Muaro Jambi;Jambi Luar Kota;Mendalo Laut;36361
6557;Jambi;Kabupaten;Muaro Jambi;Jambi Luar Kota;Muara Pijoan (Muaro Pijoan);36361
6558;Jambi;Kabupaten;Muaro Jambi;Jambi Luar Kota;Muhajirin;36361
6559;Jambi;Kabupaten;Muaro Jambi;Jambi Luar Kota;Pematang Gajah;36361
