No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
7000;Jawa Barat;Kabupaten;Sukabumi;Warungkiara;Sirnajaya;43362
7001;Jawa Barat;Kabupaten;Sukabumi;Warungkiara;Sukaharja;43362
7002;Jawa Barat;Kabupaten;Sukabumi;Warungkiara;Tarisi;43362
7003;Jawa Barat;Kabupaten;Sukabumi;Warungkiara;Ubrug;43362
7004;Jawa Barat;Kabupaten;Sukabumi;Warungkiara;Warungkiara;43362
7005;Jawa Barat;Kota;Sukabumi;Warudoyong;Benteng;43132
7006;Jawa Barat;Kota;Sukabumi;Warudoyong;Dayeuhluhur;43134
7007;Jawa Barat;Kota;Sukabumi;Warudoyong;Nyomplong;43131
7008;Jawa Barat;Kota;Sukabumi;Warudoyong;Sukakarya;43135
7009;Jawa Barat;Kota;Sukabumi;Warudoyong;Warudoyong;43133
7010;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Babakan;41174
7011;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Ciawi;41174
7012;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Cibuntu;41174
7013;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Legokhuni;41174
7014;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Nagrog;41174
7015;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Nangerang;41174
7016;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Raharja;41174
7017;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Sakambang;41174
7018;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Simpang;41174
7019;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Sukadami;41174
7020;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Sumurugul;41174
7021;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Taringgul Tengah;41174
7022;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Taringgul Tonggoh;41174
7023;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Wanasari;41174
7024;Jawa Barat;Kabupaten;Purwakarta;Wanayasa;Wanayasa;41174
7025;Jawa Barat;Kabupaten;Garut;Wanaraja;Cinunuk;44183
7026;Jawa Barat;Kabupaten;Garut;Wanaraja;Sindangmekar;44183
7027;Jawa Barat;Kabupaten;Garut;Wanaraja;Sindangprabu;44183
7028;Jawa Barat;Kabupaten;Garut;Wanaraja;Sindangratu;44183
7029;Jawa Barat;Kabupaten;Garut;Wanaraja;Sukamenak;44183
7030;Jawa Barat;Kabupaten;Garut;Wanaraja;Wanajaya;44183
7031;Jawa Barat;Kabupaten;Garut;Wanaraja;Wanamekar;44183
7032;Jawa Barat;Kabupaten;Garut;Wanaraja;Wanaraja;44183
7033;Jawa Barat;Kabupaten;Garut;Wanaraja;Wanasari;44183
7034;Jawa Barat;Kabupaten;Sukabumi;Waluran;Caringin Nunggal;43175
7035;Jawa Barat;Kabupaten;Sukabumi;Waluran;Mangunjaya;43175
7036;Jawa Barat;Kabupaten;Sukabumi;Waluran;Mekar Mukti;43175
7037;Jawa Barat;Kabupaten;Sukabumi;Waluran;Sukamukti;43175
7038;Jawa Barat;Kabupaten;Sukabumi;Waluran;Waluran;43175
7039;Jawa Barat;Kabupaten;Sukabumi;Waluran;Waluran Mandiri;43175
7040;Jawa Barat;Kabupaten;Cirebon;Waled;Ambit;45187
7041;Jawa Barat;Kabupaten;Cirebon;Waled;Cibogo;45187
7042;Jawa Barat;Kabupaten;Cirebon;Waled;Cikulak;45187
7043;Jawa Barat;Kabupaten;Cirebon;Waled;Cikulak Kidul;45187
7044;Jawa Barat;Kabupaten;Cirebon;Waled;Cisaat;45187
7045;Jawa Barat;Kabupaten;Cirebon;Waled;Ciuyah;45187
7046;Jawa Barat;Kabupaten;Cirebon;Waled;Gunungsari;45187
7047;Jawa Barat;Kabupaten;Cirebon;Waled;Karangsari;45187
7048;Jawa Barat;Kabupaten;Cirebon;Waled;Mekarsari;45187
7049;Jawa Barat;Kabupaten;Cirebon;Waled;Waled Asem;45187
7050;Jawa Barat;Kabupaten;Cirebon;Waled;Waled Desa;45187
7051;Jawa Barat;Kabupaten;Cirebon;Waled;Waled Kota;45187
7052;Jawa Barat;Kabupaten;Sumedang;Wado;Cikareo Selatan;45373
7053;Jawa Barat;Kabupaten;Sumedang;Wado;Cikareo Utara;45373
7054;Jawa Barat;Kabupaten;Sumedang;Wado;Cilengkrang;45373
7055;Jawa Barat;Kabupaten;Sumedang;Wado;Cimungkal;45373
7056;Jawa Barat;Kabupaten;Sumedang;Wado;Cisurat;45373
7057;Jawa Barat;Kabupaten;Sumedang;Wado;Ganjaresik;45373
