No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
7500;Jawa Barat;Kabupaten;Sumedang;Surian;Pamekarsari;45393
7501;Jawa Barat;Kabupaten;Sumedang;Surian;Ranggasari;45393
7502;Jawa Barat;Kabupaten;Sumedang;Surian;Suriamendal;45393
7503;Jawa Barat;Kabupaten;Sumedang;Surian;Suriamukti;45393
7504;Jawa Barat;Kabupaten;Sumedang;Surian;Surian;45393
7505;Jawa Barat;Kabupaten;Sumedang;Surian;Tanjung;45393
7506;Jawa Barat;Kabupaten;Sumedang;Surian;Wanajaya;45393
7507;Jawa Barat;Kabupaten;Sumedang;Surian;Wanasari;45393
7508;Jawa Barat;Kabupaten;Cirebon;Suranenggala;Karangreja;45152
7509;Jawa Barat;Kabupaten;Cirebon;Suranenggala;Keraton;45152
7510;Jawa Barat;Kabupaten;Cirebon;Suranenggala;Muara;45152
7511;Jawa Barat;Kabupaten;Cirebon;Suranenggala;Purwawinangun;45152
7512;Jawa Barat;Kabupaten;Cirebon;Suranenggala;Sambeng;45151
7513;Jawa Barat;Kabupaten;Cirebon;Suranenggala;Sirnabaya;45151
7514;Jawa Barat;Kabupaten;Cirebon;Suranenggala;Surakarta;45152
7515;Jawa Barat;Kabupaten;Cirebon;Suranenggala;Suranenggala;45152
7516;Jawa Barat;Kabupaten;Cirebon;Suranenggala;Suranenggala Kidul;45152
7517;Jawa Barat;Kabupaten;Cirebon;Suranenggala;Suranenggala Kulon;45152
7518;Jawa Barat;Kabupaten;Cirebon;Suranenggala;Suranenggala Lor;45152
7519;Jawa Barat;Kabupaten;Sukabumi;Surade;Buniwangi;43179
7520;Jawa Barat;Kabupaten;Sukabumi;Surade;Cipeundeuy;43179
7521;Jawa Barat;Kabupaten;Sukabumi;Surade;Citanglar;43179
7522;Jawa Barat;Kabupaten;Sukabumi;Surade;Gunung Sungging;43179
7523;Jawa Barat;Kabupaten;Sukabumi;Surade;Jagamukti;43179
7524;Jawa Barat;Kabupaten;Sukabumi;Surade;Kadaleman;43179
7525;Jawa Barat;Kabupaten;Sukabumi;Surade;Kademangan;43179
7526;Jawa Barat;Kabupaten;Sukabumi;Surade;Pasiripis;43179
7527;Jawa Barat;Kabupaten;Sukabumi;Surade;Sirnasari;43179
7528;Jawa Barat;Kabupaten;Sukabumi;Surade;Sukatani;43179
7529;Jawa Barat;Kabupaten;Sukabumi;Surade;Swakarya;43179
7530;Jawa Barat;Kabupaten;Sukabumi;Surade;Wanasari;43179
7531;Jawa Barat;Kota;Bandung;Sumur Bandung;Babakan Ciamis;40117
7532;Jawa Barat;Kota;Bandung;Sumur Bandung;Braga;40111
7533;Jawa Barat;Kota;Bandung;Sumur Bandung;Kebon Pisang;40112
7534;Jawa Barat;Kota;Bandung;Sumur Bandung;Merdeka;40113
