No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
8000;Jawa Barat;Kabupaten;Indramayu;Sindang;Panyindangan Wetan;45225
8001;Jawa Barat;Kabupaten;Majalengka;Sindang;Pasirayu;45471
8002;Jawa Barat;Kabupaten;Indramayu;Sindang;Penganjang;45221
8003;Jawa Barat;Kabupaten;Indramayu;Sindang;Rambatan Wetan;45221
8004;Jawa Barat;Kabupaten;Majalengka;Sindang;Sangkanhurip;45471
8005;Jawa Barat;Kabupaten;Majalengka;Sindang;Sindang;45471
8006;Jawa Barat;Kabupaten;Indramayu;Sindang;Sindang;45222
8007;Jawa Barat;Kabupaten;Indramayu;Sindang;Terusan;45224
8008;Jawa Barat;Kabupaten;Indramayu;Sindang;Wanantara;45227
8009;Jawa Barat;Kabupaten;Sukabumi;Simpenan;Cibuntu;43361
8010;Jawa Barat;Kabupaten;Sukabumi;Simpenan;Cidadap;43361
8011;Jawa Barat;Kabupaten;Sukabumi;Simpenan;Cihaur;43361
8012;Jawa Barat;Kabupaten;Sukabumi;Simpenan;Kertajaya;43361
8013;Jawa Barat;Kabupaten;Sukabumi;Simpenan;Loji;43361
8014;Jawa Barat;Kabupaten;Sukabumi;Simpenan;Mekarasih;43361
8015;Jawa Barat;Kabupaten;Sukabumi;Simpenan;Sangrawayang;43361
8016;Jawa Barat;Kabupaten;Pangandaran;Sidamulih;Cikalong;46365
8017;Jawa Barat;Kabupaten;Pangandaran;Sidamulih;Cikembulan;46365
8018;Jawa Barat;Kabupaten;Pangandaran;Sidamulih;Kalijati;46365
8019;Jawa Barat;Kabupaten;Pangandaran;Sidamulih;Kersaratu;46365
8020;Jawa Barat;Kabupaten;Pangandaran;Sidamulih;Pajaten;46365
8021;Jawa Barat;Kabupaten;Pangandaran;Sidamulih;Sidamulih;46365
8022;Jawa Barat;Kabupaten;Pangandaran;Sidamulih;Sukaresik;46365
8023;Jawa Barat;Kabupaten;Bekasi;Setu;Burangkeng;17320
8024;Jawa Barat;Kabupaten;Bekasi;Setu;Cibening;17320
8025;Jawa Barat;Kabupaten;Bekasi;Setu;Cijengkol;17320
8026;Jawa Barat;Kabupaten;Bekasi;Setu;Cikarageman;17320
8027;Jawa Barat;Kabupaten;Bekasi;Setu;Cileduk;17320
8028;Jawa Barat;Kabupaten;Bekasi;Setu;Kertarahayu;17320
8029;Jawa Barat;Kabupaten;Bekasi;Setu;Lubangbuaya;17320
8030;Jawa Barat;Kabupaten;Bekasi;Setu;Muktijaya;17320
8031;Jawa Barat;Kabupaten;Bekasi;Setu;Ragemanunggal;17320
8032;Jawa Barat;Kabupaten;Bekasi;Setu;Taman Rahayu;17320
8033;Jawa Barat;Kabupaten;Bekasi;Setu;Taman Sari;17320
8034;Jawa Barat;Kabupaten;Subang;Serangpanjang;Cijengkol;41282
8035;Jawa Barat;Kabupaten;Subang;Serangpanjang;Cikujang;41282
8036;Jawa Barat;Kabupaten;Subang;Serangpanjang;Cintamekar;41282
8037;Jawa Barat;Kabupaten;Subang;Serangpanjang;Cipancar;41282
8038;Jawa Barat;Kabupaten;Subang;Serangpanjang;Ponggang;41282
8039;Jawa Barat;Kabupaten;Subang;Serangpanjang;Talagasari;41282
8040;Jawa Barat;Kabupaten;Bekasi;Serang Baru;Cilangkara;17330
8041;Jawa Barat;Kabupaten;Bekasi;Serang Baru;Jaya Sampurna;17330
8042;Jawa Barat;Kabupaten;Bekasi;Serang Baru;Jayamulya;17330
8043;Jawa Barat;Kabupaten;Bekasi;Serang Baru;Nagacipta;17330
8044;Jawa Barat;Kabupaten;Bekasi;Serang Baru;Nagasari;17330
8045;Jawa Barat;Kabupaten;Bekasi;Serang Baru;Sirnajaya;17330
8046;Jawa Barat;Kabupaten;Bekasi;Serang Baru;Sukaragam;17330
8047;Jawa Barat;Kabupaten;Bekasi;Serang Baru;Sukasari;17330
8048;Jawa Barat;Kabupaten;Kuningan;Selajambe;Bagawat;45566
8049;Jawa Barat;Kabupaten;Kuningan;Selajambe;Cantilan;45566
8050;Jawa Barat;Kabupaten;Kuningan;Selajambe;Ciberung;45566
