No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
8500;Jawa Barat;Kota;Banjar;Pataruman;Pataruman;46323
8501;Jawa Barat;Kota;Banjar;Pataruman;Sinartanjung;46323
8502;Jawa Barat;Kota;Banjar;Pataruman;Sukamukti;46323
8503;Jawa Barat;Kabupaten;Garut;Pasirwangi;Barusari;44161
8504;Jawa Barat;Kabupaten;Garut;Pasirwangi;Karyamekar;44161
8505;Jawa Barat;Kabupaten;Garut;Pasirwangi;Padaasih;44161
8506;Jawa Barat;Kabupaten;Garut;Pasirwangi;Padaawas;44161
8507;Jawa Barat;Kabupaten;Garut;Pasirwangi;Padamukti;44161
8508;Jawa Barat;Kabupaten;Garut;Pasirwangi;Padamulya;44161
8509;Jawa Barat;Kabupaten;Garut;Pasirwangi;Padasuka;44161
8510;Jawa Barat;Kabupaten;Garut;Pasirwangi;Pasirkiamis;44161
8511;Jawa Barat;Kabupaten;Garut;Pasirwangi;Pasirwangi;44161
8512;Jawa Barat;Kabupaten;Garut;Pasirwangi;Sarimukti;44161
8513;Jawa Barat;Kabupaten;Garut;Pasirwangi;Sirnajaya;44161
8514;Jawa Barat;Kabupaten;Garut;Pasirwangi;Talaga;44161
8515;Jawa Barat;Kabupaten;Cianjur;Pasirkuda;Girijaya;43267
8516;Jawa Barat;Kabupaten;Cianjur;Pasirkuda;Girimukti;43267
8517;Jawa Barat;Kabupaten;Cianjur;Pasirkuda;Kalibaru;43266
8518;Jawa Barat;Kabupaten;Cianjur;Pasirkuda;Karangjaya;43266
8519;Jawa Barat;Kabupaten;Cianjur;Pasirkuda;Kubang;43267
8520;Jawa Barat;Kabupaten;Cianjur;Pasirkuda;Mekarmulya;43267
8521;Jawa Barat;Kabupaten;Cianjur;Pasirkuda;Padamulya;43267
8522;Jawa Barat;Kabupaten;Cianjur;Pasirkuda;Pusakajaya;43266
8523;Jawa Barat;Kabupaten;Cianjur;Pasirkuda;Simpang;43266
8524;Jawa Barat;Kabupaten;Bandung;Pasirjambu;Cibodas;40972
8525;Jawa Barat;Kabupaten;Bandung;Pasirjambu;Cikoneng;40972
8526;Jawa Barat;Kabupaten;Bandung;Pasirjambu;Cisondari;40972
8527;Jawa Barat;Kabupaten;Bandung;Pasirjambu;Cukanggenteng;40972
8528;Jawa Barat;Kabupaten;Bandung;Pasirjambu;Margamulya;40972
8529;Jawa Barat;Kabupaten;Bandung;Pasirjambu;Mekarmaju;40972
8530;Jawa Barat;Kabupaten;Bandung;Pasirjambu;Mekarsari;40972
8531;Jawa Barat;Kabupaten;Bandung;Pasirjambu;Pasirjambu;40972
8532;Jawa Barat;Kabupaten;Bandung;Pasirjambu;Sugihmukti;40972
8533;Jawa Barat;Kabupaten;Bandung;Pasirjambu;Tenjolaya;40972
8534;Jawa Barat;Kabupaten;Indramayu;Pasekan;Brondong;45219
8535;Jawa Barat;Kabupaten;Indramayu;Pasekan;Karanganyar;45213
8536;Jawa Barat;Kabupaten;Indramayu;Pasekan;Pabeanilir;45219
8537;Jawa Barat;Kabupaten;Indramayu;Pasekan;Pagirikan;45227
8538;Jawa Barat;Kabupaten;Indramayu;Pasekan;Pasekan;45228
8539;Jawa Barat;Kabupaten;Indramayu;Pasekan;Totoran;45229
8540;Jawa Barat;Kabupaten;Sumedang;Paseh;Bongkok;45381
8541;Jawa Barat;Kabupaten;Bandung;Paseh;Cigentur;40383
8542;Jawa Barat;Kabupaten;Bandung;Paseh;Cijagra;40383
8543;Jawa Barat;Kabupaten;Sumedang;Paseh;Cijambe;45381
8544;Jawa Barat;Kabupaten;Bandung;Paseh;Cipaku;40383
8545;Jawa Barat;Kabupaten;Bandung;Paseh;Cipedes;40383
