No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
9000;Jawa Barat;Kabupaten;Subang;Pabuaran;Kadawung;41262
9001;Jawa Barat;Kabupaten;Subang;Pabuaran;Karanghegar;41262
9002;Jawa Barat;Kabupaten;Sukabumi;Pabuaran;Lembur Sawah;43173
9003;Jawa Barat;Kabupaten;Sukabumi;Pabuaran;Pabuaran;43173
9004;Jawa Barat;Kabupaten;Subang;Pabuaran;Pabuaran;41251
9005;Jawa Barat;Kabupaten;Cirebon;Pabuaran;Pabuaran Kidul;45188
9006;Jawa Barat;Kabupaten;Cirebon;Pabuaran;Pabuaran Lor;45188
9007;Jawa Barat;Kabupaten;Cirebon;Pabuaran;Pabuaran Wetan;45188
9008;Jawa Barat;Kabupaten;Subang;Pabuaran;Pringkasap;41262
9009;Jawa Barat;Kabupaten;Subang;Pabuaran;Salamjaya;41262
9010;Jawa Barat;Kabupaten;Subang;Pabuaran;Siluman;41262
9011;Jawa Barat;Kabupaten;Sukabumi;Pabuaran;Sirnasari;43173
9012;Jawa Barat;Kabupaten;Cirebon;Pabuaran;Sukadana;45188
9013;Jawa Barat;Kabupaten;Sukabumi;Pabuaran;Sukajaya;43173
9014;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Babakan Losari;45193
9015;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Babakan Losari Lor;45193
9016;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Dukuhwidara;45193
9017;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Kalibuntu;45193
9018;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Kalimukti;45193
9019;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Pabedilan Kaler;45193
9020;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Pabedilan Kidul;45193
9021;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Pabedilan Kulon;45193
9022;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Pabedilan Wetan;45193
9023;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Pasuruan;45193
9024;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Sidaresmi;45193
9025;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Silihasih;45193
9026;Jawa Barat;Kabupaten;Cirebon;Pabedilan;Tersana;45193
9027;Jawa Barat;Kabupaten;Sukabumi;Nyalindung;Bojongkalong;43196
9028;Jawa Barat;Kabupaten;Sukabumi;Nyalindung;Bojongsari;43196
9029;Jawa Barat;Kabupaten;Sukabumi;Nyalindung;Cijangkar;43196
9030;Jawa Barat;Kabupaten;Sukabumi;Nyalindung;Cisitu;43196
9031;Jawa Barat;Kabupaten;Sukabumi;Nyalindung;Kertaangsana;43196
9032;Jawa Barat;Kabupaten;Sukabumi;Nyalindung;Mekarsari;43196
9033;Jawa Barat;Kabupaten;Sukabumi;Nyalindung;Neglasari;43196
9034;Jawa Barat;Kabupaten;Sukabumi;Nyalindung;Nyalindung;43196
9035;Jawa Barat;Kabupaten;Sukabumi;Nyalindung;Sukamaju;43196
9036;Jawa Barat;Kabupaten;Sukabumi;Nyalindung;Wangunreja;43196
9037;Jawa Barat;Kabupaten;Kuningan;Nusaherang;Ciasih;45563
9038;Jawa Barat;Kabupaten;Kuningan;Nusaherang;Cikadu;45563
9039;Jawa Barat;Kabupaten;Kuningan;Nusaherang;Haurkuning;45563
9040;Jawa Barat;Kabupaten;Kuningan;Nusaherang;Jambar;45563
