No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
9500;Jawa Barat;Kabupaten;Majalengka;Lemahsugih;Sukajadi;45465
9501;Jawa Barat;Kabupaten;Majalengka;Lemahsugih;Sukamaju;45465
9502;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Asem;45183
9503;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Belawa;45183
9504;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Cipeujeuh Kulon;45183
9505;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Cipeujeuh Wetan;45183
9506;Jawa Barat;Kabupaten;Karawang;Lemahabang;Ciwaringin;41383
9507;Jawa Barat;Kabupaten;Karawang;Lemahabang;Karangtanjung;41383
9508;Jawa Barat;Kabupaten;Karawang;Lemahabang;Karyamukti;41383
9509;Jawa Barat;Kabupaten;Karawang;Lemahabang;Kedawung;41383
9510;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Lemahabang;45183
9511;Jawa Barat;Kabupaten;Karawang;Lemahabang;Lemahabang;41383
9512;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Lemahabang Kulon;45183
9513;Jawa Barat;Kabupaten;Karawang;Lemahabang;Lemahmukti;41383
9514;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Leuwidingding;45183
9515;Jawa Barat;Kabupaten;Karawang;Lemahabang;Pasirtanjung;41383
9516;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Picungpugur;45183
9517;Jawa Barat;Kabupaten;Karawang;Lemahabang;Pulojaya;41383
9518;Jawa Barat;Kabupaten;Karawang;Lemahabang;Pulokelapa;41383
9519;Jawa Barat;Kabupaten;Karawang;Lemahabang;Pulomulya;41383
9520;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Sarajaya;45183
9521;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Sigong;45183
9522;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Sindanglaut;45183
9523;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Tuk Karangsuwung;45183
9524;Jawa Barat;Kabupaten;Cirebon;Lemahabang;Wangkelang;45183
9525;Jawa Barat;Kabupaten;Karawang;Lemahabang;Waringinkarya;41383
9526;Jawa Barat;Kabupaten;Garut;Leles;Cangkuang;44119
9527;Jawa Barat;Kabupaten;Garut;Leles;Ciburial;44152
9528;Jawa Barat;Kabupaten;Garut;Leles;Cipancar;44152
9529;Jawa Barat;Kabupaten;Garut;Leles;Dano;44152
9530;Jawa Barat;Kabupaten;Garut;Leles;Haruman;44152
9531;Jawa Barat;Kabupaten;Garut;Leles;Jangkurang;44152
9532;Jawa Barat;Kabupaten;Garut;Leles;Kandangmukti;44152
9533;Jawa Barat;Kabupaten;Cianjur;Leles;Karyamukti;43273
9534;Jawa Barat;Kabupaten;Garut;Leles;Leles;44152
9535;Jawa Barat;Kabupaten;Garut;Leles;Lembang;44152
9536;Jawa Barat;Kabupaten;Cianjur;Leles;Mandalawangi;43273
9537;Jawa Barat;Kabupaten;Garut;Leles;Margaluyu;44152
9538;Jawa Barat;Kabupaten;Cianjur;Leles;Nagasari;43273
9539;Jawa Barat;Kabupaten;Cianjur;Leles;Puncakwangi;43273
9540;Jawa Barat;Kabupaten;Cianjur;Leles;Purabaya;43273
9541;Jawa Barat;Kabupaten;Cianjur;Leles;Pusakasari;43273
9542;Jawa Barat;Kabupaten;Garut;Leles;Salamnunggal;44152
9543;Jawa Barat;Kabupaten;Cianjur;Leles;Sindangsari;43273
9544;Jawa Barat;Kabupaten;Cianjur;Leles;Sirnasari;43273
9545;Jawa Barat;Kabupaten;Cianjur;Leles;Sukajaya;43273
9546;Jawa Barat;Kabupaten;Cianjur;Leles;Sukamulya;43273
9547;Jawa Barat;Kabupaten;Garut;Leles;Sukarame;44152
9548;Jawa Barat;Kabupaten;Cianjur;Leles;Sukasirna;43273
9549;Jawa Barat;Kabupaten;Cianjur;Leles;Walahir;43273
9550;Jawa Barat;Kabupaten;Indramayu;Lelea;Cempeh;45261
9551;Jawa Barat;Kabupaten;Indramayu;Lelea;Langgengsari;45261
9552;Jawa Barat;Kabupaten;Indramayu;Lelea;Lelea;45261
9553;Jawa Barat;Kabupaten;Indramayu;Lelea;Nunuk;45261
9554;Jawa Barat;Kabupaten;Indramayu;Lelea;Pangauban;45261
9555;Jawa Barat;Kabupaten;Indramayu;Lelea;Tamansari;45261
9556;Jawa Barat;Kabupaten;Indramayu;Lelea;Telagasari;45261
9557;Jawa Barat;Kabupaten;Indramayu;Lelea;Tempel;45261
9558;Jawa Barat;Kabupaten;Indramayu;Lelea;Tempelkulon;45261
9559;Jawa Barat;Kabupaten;Indramayu;Lelea;Tugu;45261
9560;Jawa Barat;Kabupaten;Indramayu;Lelea;Tunggulpayung;45261
9561;Jawa Barat;Kabupaten;Subang;Legonkulon;Bobos;41254
9562;Jawa Barat;Kabupaten;Subang;Legonkulon;Karangmulya;41254
9563;Jawa Barat;Kabupaten;Subang;Legonkulon;Legonkulon;41254
9564;Jawa Barat;Kabupaten;Subang;Legonkulon;Legonwetan;41254
9565;Jawa Barat;Kabupaten;Subang;Legonkulon;Mayangan;41254
9566;Jawa Barat;Kabupaten;Subang;Legonkulon;Pangarengan;41254
9567;Jawa Barat;Kabupaten;Subang;Legonkulon;Tegalurung;41254
9568;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Bendungan;45574
9569;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Cinagara;45574
9570;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Cineubeuy/Cineumbeuy;45574
9571;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Cipeutir/Cipetir;45574
9572;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Langseb;45574
9573;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Lebakwangi;45574
9574;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Mancagar;45574
9575;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Manggari;45574
9576;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Mekarwangi;45574
9577;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Pagundan;45574
9578;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Pajawankidul;45574
9579;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Pasayangan;45574
9580;Jawa Barat;Kabupaten;Kuningan;Lebakwangi;Sindang;45574
9581;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Bangunjaya;46391
9582;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Bangunkarya;46391
9583;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Bojong;46391
9584;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Bojongkondang;46391
9585;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Bungur Raya;46391
9586;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Cimanggu;46391
9587;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Cisarua;46391
9588;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Jadikarya;46391
9589;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Jadimulya;46391
9590;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Jayasari;46391
9591;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Karangkamiri;46391
9592;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Langkaplancar;46391
9593;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Mekarwangi;46391
9594;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Pangkalan;46391
9595;Jawa Barat;Kabupaten;Pangandaran;Langkaplancar;Sukamulya;46391
9596;Jawa Barat;Kota;Banjar;Langensari;Bojongkantong;46325
9597;Jawa Barat;Kota;Banjar;Langensari;Kujangsari;46324
9598;Jawa Barat;Kota;Banjar;Langensari;Langensari;46324
9599;Jawa Barat;Kota;Banjar;Langensari;Muktisari;46343
9600;Jawa Barat;Kota;Banjar;Langensari;Rejasari;46344
9601;Jawa Barat;Kota;Banjar;Langensari;Waringinsari;46342
9602;Jawa Barat;Kabupaten;Ciamis;Lakbok;Baregbeg;46385
9603;Jawa Barat;Kabupaten;Ciamis;Lakbok;Cintajaya;46385
9604;Jawa Barat;Kabupaten;Ciamis;Lakbok;Cintaratu;46385
9605;Jawa Barat;Kabupaten;Ciamis;Lakbok;Kalapasawit;46385
9606;Jawa Barat;Kabupaten;Ciamis;Lakbok;Kertajaya;46385
9607;Jawa Barat;Kabupaten;Ciamis;Lakbok;Puloerang;46385
9608;Jawa Barat;Kabupaten;Ciamis;Lakbok;Sidaharja;46385
9609;Jawa Barat;Kabupaten;Ciamis;Lakbok;Sindangangin;46385
9610;Jawa Barat;Kabupaten;Ciamis;Lakbok;Sukanagara;46385
9611;Jawa Barat;Kabupaten;Ciamis;Lakbok;Tambakreja;46385
9612;Jawa Barat;Kabupaten;Bandung;Kutawaringin;Buninagara;40911
9613;Jawa Barat;Kabupaten;Bandung;Kutawaringin;Cibodas;40911
9614;Jawa Barat;Kabupaten;Bandung;Kutawaringin;Cilame;40911
9615;Jawa Barat;Kabupaten;Bandung;Kutawaringin;Gajahmekar;40911
9616;Jawa Barat;Kabupaten;Bandung;Kutawaringin;Jatisari;40911
9617;Jawa Barat;Kabupaten;Bandung;Kutawaringin;Jelegong;40911
9618;Jawa Barat;Kabupaten;Bandung;Kutawaringin;Kopo;40911
9619;Jawa Barat;Kabupaten;Bandung;Kutawaringin;Kutawaringin;40911
9620;Jawa Barat;Kabupaten;Bandung;Kutawaringin;Padasuka;40911
9621;Jawa Barat;Kabupaten;Bandung;Kutawaringin;Pameuntasan;40911
9622;Jawa Barat;Kabupaten;Bandung;Kutawaringin;Sukamulya;40911
9623;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Kutagandok;41358
9624;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Kutajaya;41358
9625;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Kutakarya;41358
9626;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Kutamukti;41358
9627;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Kutaraja;41358
9628;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Mulyajaya;41358
9629;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Sampalan;41358
9630;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Sindangkarya;41358
9631;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Sindangmukti;41358
9632;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Sindangmulya;41358
9633;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Sindangsari;41358
9634;Jawa Barat;Kabupaten;Karawang;Kutawaluya;Waluya;41358
9635;Jawa Barat;Kabupaten;Kuningan;Kuningan;Ancaran;45514
9636;Jawa Barat;Kabupaten;Kuningan;Kuningan;Awirarangan;45511
9637;Jawa Barat;Kabupaten;Kuningan;Kuningan;Cibinuang;45511
9638;Jawa Barat;Kabupaten;Kuningan;Kuningan;Cigintung;45517
9639;Jawa Barat;Kabupaten;Kuningan;Kuningan;Cijoho;45513
9640;Jawa Barat;Kabupaten;Kuningan;Kuningan;Ciporang;45514
9641;Jawa Barat;Kabupaten;Kuningan;Kuningan;Cirendang;45518
9642;Jawa Barat;Kabupaten;Kuningan;Kuningan;Citangtu;45516
9643;Jawa Barat;Kabupaten;Kuningan;Kuningan;Karangtawang;45515
9644;Jawa Barat;Kabupaten;Kuningan;Kuningan;Kedungarum;45513
9645;Jawa Barat;Kabupaten;Kuningan;Kuningan;Kuningan;45511
9646;Jawa Barat;Kabupaten;Kuningan;Kuningan;Purwawinangun;45512
9647;Jawa Barat;Kabupaten;Kuningan;Kuningan;Winduhaji;45516
9648;Jawa Barat;Kabupaten;Kuningan;Kuningan;Windusengkahan;45515
9649;Jawa Barat;Kabupaten;Indramayu;Kroya;Jayamulya;45265
9650;Jawa Barat;Kabupaten;Indramayu;Kroya;Kroya;45265
9651;Jawa Barat;Kabupaten;Indramayu;Kroya;Sukamelang;45265
9652;Jawa Barat;Kabupaten;Indramayu;Kroya;Sukaslamet;45265
9653;Jawa Barat;Kabupaten;Indramayu;Kroya;Sumberjaya;45265
9654;Jawa Barat;Kabupaten;Indramayu;Kroya;Sumbon;45265
9655;Jawa Barat;Kabupaten;Indramayu;Kroya;Tanjungkerta;45265
9656;Jawa Barat;Kabupaten;Indramayu;Kroya;Temiyang;45265
9657;Jawa Barat;Kabupaten;Indramayu;Kroya;Temiyangsari;45265
9658;Jawa Barat;Kabupaten;Indramayu;Krangkeng;Dukuhjati;45284
9659;Jawa Barat;Kabupaten;Indramayu;Krangkeng;Kalianyar;45284
9660;Jawa Barat;Kabupaten;Indramayu;Krangkeng;Kapringan;45284
9661;Jawa Barat;Kabupaten;Indramayu;Krangkeng;Kedungwungu;45284
9662;Jawa Barat;Kabupaten;Indramayu;Krangkeng;Krangkeng;45284
9663;Jawa Barat;Kabupaten;Indramayu;Krangkeng;Luwunggesik;45284
9664;Jawa Barat;Kabupaten;Indramayu;Krangkeng;Purwajaya;45284
9665;Jawa Barat;Kabupaten;Indramayu;Krangkeng;Singakerta;45284
9666;Jawa Barat;Kabupaten;Indramayu;Krangkeng;Srengseng;45284
9667;Jawa Barat;Kabupaten;Indramayu;Krangkeng;Tanjakan;45284
9668;Jawa Barat;Kabupaten;Indramayu;Krangkeng;Tegalmulya;45284
9669;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Bojong;45553
9670;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Cibentang;45553
9671;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Cikaso;45553
9672;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Cikubangsari;45553
9673;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Cilaja;45553
9674;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Cilowa;45553
9675;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Gandasoli;45553
9676;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Gereba;45553
9677;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Kalapagunung;45553
9678;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Karamatmulya;45553
9679;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Karangmangu;45553
9680;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Kasturi;45521
9681;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Nanggerang;45553
9682;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Padarek;45553
9683;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Pajambon;45553
9684;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Ragawacana;45553
9685;Jawa Barat;Kabupaten;Kuningan;Kramat Mulya;Widarasari;45553
9686;Jawa Barat;Kabupaten;Karawang;Kotabaru;Cikampek Utara;41374
9687;Jawa Barat;Kabupaten;Karawang;Kotabaru;Jomin Barat;41374
9688;Jawa Barat;Kabupaten;Karawang;Kotabaru;Jomin Timur;41374
9689;Jawa Barat;Kabupaten;Karawang;Kotabaru;Pangulah Baru;41374
9690;Jawa Barat;Kabupaten;Karawang;Kotabaru;Pangulah Selatan;41374
