No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
10000;Jawa Barat;Kabupaten;Cirebon;Kapetakan;Pegagan Kidul;45152
10001;Jawa Barat;Kabupaten;Cirebon;Kapetakan;Pegagan Lor;45152
10002;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Bulak;45254
10003;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Curug;45254
10004;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Eretan Kulon;45254
10005;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Eretan Wetan;45254
10006;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Ilir;45254
10007;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Karanganyar;45213
10008;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Karangmulya;45254
10009;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Kertawinangun;45254
10010;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Parean Girang;45254
10011;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Pranti;45254
10012;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Soge;45254
10013;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Wirakanan;45254
10014;Jawa Barat;Kabupaten;Indramayu;Kandanghaur;Wirapanjunan;45254
10015;Jawa Barat;Kabupaten;Cirebon;Kaliwedi;Guwa Kidul;45165
10016;Jawa Barat;Kabupaten;Cirebon;Kaliwedi;Guwa Lor;45165
10017;Jawa Barat;Kabupaten;Cirebon;Kaliwedi;Kalideres;45165
10018;Jawa Barat;Kabupaten;Cirebon;Kaliwedi;Kaliwedi Kidul;45165
10019;Jawa Barat;Kabupaten;Cirebon;Kaliwedi;Kaliwedi Lor;45165
10020;Jawa Barat;Kabupaten;Cirebon;Kaliwedi;Prajawinangun Kulon;45165
10021;Jawa Barat;Kabupaten;Cirebon;Kaliwedi;Prajawinangun Wetan;45165
10022;Jawa Barat;Kabupaten;Cirebon;Kaliwedi;Ujungsemi;45165
10023;Jawa Barat;Kabupaten;Cirebon;Kaliwedi;Wargabinangun;45165
10024;Jawa Barat;Kabupaten;Pangandaran;Kalipucang;Bagolo;46397
10025;Jawa Barat;Kabupaten;Pangandaran;Kalipucang;Banjarharja;46397
10026;Jawa Barat;Kabupaten;Pangandaran;Kalipucang;Cibuluh;46397
10027;Jawa Barat;Kabupaten;Pangandaran;Kalipucang;Ciparakan;46397
10028;Jawa Barat;Kabupaten;Pangandaran;Kalipucang;Emplak;46397
10029;Jawa Barat;Kabupaten;Pangandaran;Kalipucang;Kalipucang;46397
10030;Jawa Barat;Kabupaten;Pangandaran;Kalipucang;Pamotan;46397
10031;Jawa Barat;Kabupaten;Pangandaran;Kalipucang;Putrapinggan;46397
10032;Jawa Barat;Kabupaten;Pangandaran;Kalipucang;Tunggilis;46397
10033;Jawa Barat;Kabupaten;Kuningan;Kalimanggis;Cipancur;45594
10034;Jawa Barat;Kabupaten;Kuningan;Kalimanggis;Kalimanggis Kulon;45594
10035;Jawa Barat;Kabupaten;Kuningan;Kalimanggis;Kalimanggis Wetan;45594
10036;Jawa Barat;Kabupaten;Kuningan;Kalimanggis;Kertawana;45594
10037;Jawa Barat;Kabupaten;Kuningan;Kalimanggis;Partawangunan;45594
10038;Jawa Barat;Kabupaten;Kuningan;Kalimanggis;Wanasaraya;45594
