No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
10500;Jawa Barat;Kabupaten;Cirebon;Gunung Jati (Cirebon Utara);Jatimerta;45151
10501;Jawa Barat;Kabupaten;Cirebon;Gunung Jati (Cirebon Utara);Kalisapu;45151
10502;Jawa Barat;Kabupaten;Cirebon;Gunung Jati (Cirebon Utara);Klayan;45151
10503;Jawa Barat;Kabupaten;Cirebon;Gunung Jati (Cirebon Utara);Mayung;45151
10504;Jawa Barat;Kabupaten;Cirebon;Gunung Jati (Cirebon Utara);Mertasinga;45151
10505;Jawa Barat;Kabupaten;Cirebon;Gunung Jati (Cirebon Utara);Pasindangan;45151
10506;Jawa Barat;Kabupaten;Cirebon;Gunung Jati (Cirebon Utara);Wanakaya;45151
10507;Jawa Barat;Kabupaten;Cirebon;Greged (Greget);Durajaya;45172
10508;Jawa Barat;Kabupaten;Cirebon;Greged (Greget);Greged (Greget);45172
10509;Jawa Barat;Kabupaten;Cirebon;Greged (Greget);Gumulunglebak;45181
10510;Jawa Barat;Kabupaten;Cirebon;Greged (Greget);Gumulungtonggoh;45181
10511;Jawa Barat;Kabupaten;Cirebon;Greged (Greget);Jatipancur;45172
10512;Jawa Barat;Kabupaten;Cirebon;Greged (Greget);Kamarang;45172
10513;Jawa Barat;Kabupaten;Cirebon;Greged (Greget);Kamaranglebak;45172
10514;Jawa Barat;Kabupaten;Cirebon;Greged (Greget);Lebakmekar;45181
10515;Jawa Barat;Kabupaten;Cirebon;Greged (Greget);Nanggela;45172
10516;Jawa Barat;Kabupaten;Cirebon;Greged (Greget);Sindangkempeng;45172
10517;Jawa Barat;Kabupaten;Cirebon;Gempol;Cikeusal;45161
10518;Jawa Barat;Kabupaten;Cirebon;Gempol;Cupang;45161
10519;Jawa Barat;Kabupaten;Cirebon;Gempol;Gempol;45161
10520;Jawa Barat;Kabupaten;Cirebon;Gempol;Kedungbunder;45161
10521;Jawa Barat;Kabupaten;Cirebon;Gempol;Kempek;45161
10522;Jawa Barat;Kabupaten;Cirebon;Gempol;Palimanan Barat;45161
10523;Jawa Barat;Kabupaten;Cirebon;Gempol;Walahar;45161
10524;Jawa Barat;Kabupaten;Cirebon;Gempol;Winong;45161
10525;Jawa Barat;Kabupaten;Cianjur;Gekbrong;Bangbayang;43261
10526;Jawa Barat;Kabupaten;Cianjur;Gekbrong;Cikahuripan;43261
10527;Jawa Barat;Kabupaten;Cianjur;Gekbrong;Cikancana;43261
10528;Jawa Barat;Kabupaten;Cianjur;Gekbrong;Cintaasih;43261
10529;Jawa Barat;Kabupaten;Cianjur;Gekbrong;Gekbrong;43261
10530;Jawa Barat;Kabupaten;Cianjur;Gekbrong;Kebonpeuteuy;43261
10531;Jawa Barat;Kabupaten;Cianjur;Gekbrong;Songgom;43261
