No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
11000;Jawa Barat;Kabupaten;Subang;Cipunagara;Kosambi;41257
11001;Jawa Barat;Kabupaten;Subang;Cipunagara;Manyingsal;41257
11002;Jawa Barat;Kabupaten;Subang;Cipunagara;Padamulya;41257
11003;Jawa Barat;Kabupaten;Subang;Cipunagara;Parigimulya;41257
11004;Jawa Barat;Kabupaten;Subang;Cipunagara;Sidajaya;41257
11005;Jawa Barat;Kabupaten;Subang;Cipunagara;Sidamulya;41257
11006;Jawa Barat;Kabupaten;Subang;Cipunagara;Simpar;41257
11007;Jawa Barat;Kabupaten;Subang;Cipunagara;Tanjung;41257
11008;Jawa Barat;Kabupaten;Subang;Cipunagara;Wanasari;41257
11009;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Baranangsiang;40564
11010;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Cibenda;40564
11011;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Cicangkang Hilir;40564
11012;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Cijambu;40564
11013;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Cijenuk;40564
11014;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Cintaasih;40564
11015;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Citalem;40564
11016;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Girimukti;40564
11017;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Karangsari;40564
11018;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Mekarsari;40564
11019;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Neglasari;40564
11020;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Sarinagen;40564
11021;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Sirnagalih;40564
11022;Jawa Barat;Kabupaten;Bandung Barat;Cipongkor;Sukamulya;40564
11023;Jawa Barat;Kabupaten;Kuningan;Cipicung;Cimaranten;45592
11024;Jawa Barat;Kabupaten;Kuningan;Cipicung;Cipicung;45592
11025;Jawa Barat;Kabupaten;Kuningan;Cipicung;Karoya;45592
11026;Jawa Barat;Kabupaten;Kuningan;Cipicung;Mekarsari;45576
11027;Jawa Barat;Kabupaten;Kuningan;Cipicung;Muncangela;45592
11028;Jawa Barat;Kabupaten;Kuningan;Cipicung;Pamulihan;45592
11029;Jawa Barat;Kabupaten;Kuningan;Cipicung;Salareuma;45592
11030;Jawa Barat;Kabupaten;Kuningan;Cipicung;Suganangan;45592
11031;Jawa Barat;Kabupaten;Kuningan;Cipicung;Sukamukti;45592
11032;Jawa Barat;Kabupaten;Kuningan;Cipicung;Susukan;45592
11033;Jawa Barat;Kabupaten;Subang;Cipeundeuy;Banggalamulya;41272
11034;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Bojongmekar;40558
11035;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Ciharashas;40558
11036;Jawa Barat;Kabupaten;Subang;Cipeundeuy;Cimayasari;41272
11037;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Cipeundeuy;40558
11038;Jawa Barat;Kabupaten;Subang;Cipeundeuy;Cipeundeuy;41272
11039;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Ciroyom;40558
11040;Jawa Barat;Kabupaten;Subang;Cipeundeuy;Jalupang;41272
11041;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Jatimekar;40558
11042;Jawa Barat;Kabupaten;Subang;Cipeundeuy;Lengkong;41272
11043;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Margalaksana;40558
11044;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Margaluyu;40558
11045;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Nanggeleng;40558
11046;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Nyenang;40558
11047;Jawa Barat;Kabupaten;Subang;Cipeundeuy;Sawangan;41272
11048;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Sirnagalih;40558
11049;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Sirnaraja;40558
11050;Jawa Barat;Kabupaten;Bandung Barat;Cipeundeuy;Sukahaji;40558
11051;Jawa Barat;Kabupaten;Subang;Cipeundeuy;Wantilan;41272
11052;Jawa Barat;Kota;Tasikmalaya;Cipedes;Cipedes;46133
11053;Jawa Barat;Kota;Tasikmalaya;Cipedes;Nagarasari;46132
11054;Jawa Barat;Kota;Tasikmalaya;Cipedes;Panglayungan;46134
11055;Jawa Barat;Kota;Tasikmalaya;Cipedes;Sukamanah;46131
11056;Jawa Barat;Kota;Depok;Cipayung;Bojong Pondok Terong;16436
11057;Jawa Barat;Kota;Depok;Cipayung;Cipayung;16437
11058;Jawa Barat;Kota;Depok;Cipayung;Cipayung Jaya;16437
11059;Jawa Barat;Kota;Depok;Cipayung;Pondokjaya;16438
11060;Jawa Barat;Kota;Depok;Cipayung;Ratu Jaya;16439
11061;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Bantarkalong;46187
11062;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Ciandum;46189
11063;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Ciheras;46189
11064;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Cikawungading;46189
11065;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Cipanas;46189
11066;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Cipatujah;46189
11067;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Darawati;46189
11068;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Kertasari;46189
11069;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Nagrog;46189
11070;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Nangelasari;46189
11071;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Padawaras;46189
11072;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Pameutingan;46189
11073;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Sindangkerta;46189
11074;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Sukahurip;46189
11075;Jawa Barat;Kabupaten;Tasikmalaya;Cipatujah;Tobongjaya;46189
11076;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Cipatat;40554
11077;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Ciptaharja;40554
11078;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Cirawamekar;40554
11079;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Citatah;40554
11080;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Gunungmasigit;40554
11081;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Kertamukti;40554
11082;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Mandalasari;40554
11083;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Mandalawangi;40554
11084;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Nyalindung;40554
11085;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Rajamandala Kulon;40554
11086;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Sarimukti;40554
11087;Jawa Barat;Kabupaten;Bandung Barat;Cipatat;Sumurbandung;40554
11088;Jawa Barat;Kabupaten;Bandung;Ciparay;Babakan;40381
11089;Jawa Barat;Kabupaten;Bandung;Ciparay;Bumiwangi;40381
11090;Jawa Barat;Kabupaten;Bandung;Ciparay;Ciheulang;40381
11091;Jawa Barat;Kabupaten;Bandung;Ciparay;Cikoneng;40381
11092;Jawa Barat;Kabupaten;Bandung;Ciparay;Ciparay;40381
11093;Jawa Barat;Kabupaten;Bandung;Ciparay;Gunungleutik;40381
11094;Jawa Barat;Kabupaten;Bandung;Ciparay;Manggungharja;40381
11095;Jawa Barat;Kabupaten;Bandung;Ciparay;Mekar Laksana;40381
11096;Jawa Barat;Kabupaten;Bandung;Ciparay;Mekarsari;40381
11097;Jawa Barat;Kabupaten;Bandung;Ciparay;Pakutandang;40381
11098;Jawa Barat;Kabupaten;Bandung;Ciparay;Sarimahi;40381
11099;Jawa Barat;Kabupaten;Bandung;Ciparay;Serangmekar;40381
11100;Jawa Barat;Kabupaten;Bandung;Ciparay;Sigaracipta;40381
11101;Jawa Barat;Kabupaten;Bandung;Ciparay;Sumbersari;40381
11102;Jawa Barat;Kabupaten;Cianjur;Cipanas;Batulawang;43253
11103;Jawa Barat;Kabupaten;Cianjur;Cipanas;Ciloto;43253
11104;Jawa Barat;Kabupaten;Cianjur;Cipanas;Cimacan;43253
11105;Jawa Barat;Kabupaten;Cianjur;Cipanas;Cipanas;43253
11106;Jawa Barat;Kabupaten;Cianjur;Cipanas;Palasari;43253
11107;Jawa Barat;Kabupaten;Cianjur;Cipanas;Sindangjaya;43253
11108;Jawa Barat;Kabupaten;Cianjur;Cipanas;Sindanglaya;43253
11109;Jawa Barat;Kabupaten;Ciamis;Cipaku;Bangbayang;46252
11110;Jawa Barat;Kabupaten;Ciamis;Cipaku;Buniseuri;46252
11111;Jawa Barat;Kabupaten;Ciamis;Cipaku;Ciakar;46252
11112;Jawa Barat;Kabupaten;Ciamis;Cipaku;Cieurih;46252
11113;Jawa Barat;Kabupaten;Ciamis;Cipaku;Cipaku;46252
