No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
12000;Jawa Barat;Kota;Sukabumi;Cibeureum;Limusnunggal;43165
12001;Jawa Barat;Kota;Tasikmalaya;Cibeureum;Margabakti;46196
12002;Jawa Barat;Kabupaten;Kuningan;Cibeureum;Randusari;45588
12003;Jawa Barat;Kota;Tasikmalaya;Cibeureum;Setiajaya;46196
12004;Jawa Barat;Kota;Tasikmalaya;Cibeureum;Setianagara;46196
12005;Jawa Barat;Kota;Tasikmalaya;Cibeureum;Setiaratu;46196
12006;Jawa Barat;Kota;Sukabumi;Cibeureum;Sindangpalay;43162
12007;Jawa Barat;Kabupaten;Kuningan;Cibeureum;Sukadana;45588
12008;Jawa Barat;Kabupaten;Kuningan;Cibeureum;Sukarapih;45588
12009;Jawa Barat;Kabupaten;Kuningan;Cibeureum;Sumurwiru;45588
12010;Jawa Barat;Kabupaten;Kuningan;Cibeureum;Tarikolot;45588
12011;Jawa Barat;Kota;Bandung;Cibeunying Kidul;Cicadas;40121
12012;Jawa Barat;Kota;Bandung;Cibeunying Kidul;Cikutra;40124
12013;Jawa Barat;Kota;Bandung;Cibeunying Kidul;Padasuka;40125
12014;Jawa Barat;Kota;Bandung;Cibeunying Kidul;Pasirlayung;40192
12015;Jawa Barat;Kota;Bandung;Cibeunying Kidul;Sukamaju;40121
12016;Jawa Barat;Kota;Bandung;Cibeunying Kidul;Sukapada;40125
12017;Jawa Barat;Kota;Bandung;Cibeunying Kaler;Cigadung;40191
12018;Jawa Barat;Kota;Bandung;Cibeunying Kaler;Cihaur Geulis;40122
12019;Jawa Barat;Kota;Bandung;Cibeunying Kaler;Neglasari;40124
12020;Jawa Barat;Kota;Bandung;Cibeunying Kaler;Sukaluyu;40123
12021;Jawa Barat;Kabupaten;Cianjur;Cibeber;Cibadak;43262
12022;Jawa Barat;Kabupaten;Cianjur;Cibeber;Cibaregbeg;43262
12023;Jawa Barat;Kabupaten;Cianjur;Cibeber;Cibokor;43262
12024;Jawa Barat;Kabupaten;Cianjur;Cibeber;Cihaur;43262
12025;Jawa Barat;Kabupaten;Cianjur;Cibeber;Cikondang;43262
12026;Jawa Barat;Kabupaten;Cianjur;Cibeber;Cimanggu;43262
12027;Jawa Barat;Kabupaten;Cianjur;Cibeber;Cipetir;43262
12028;Jawa Barat;Kabupaten;Cianjur;Cibeber;Cisalak;43262
12029;Jawa Barat;Kabupaten;Cianjur;Cibeber;Girimulya;43262
12030;Jawa Barat;Kabupaten;Cianjur;Cibeber;Kanoman;43262
12031;Jawa Barat;Kabupaten;Cianjur;Cibeber;Karangnunggal;43262
12032;Jawa Barat;Kabupaten;Cianjur;Cibeber;Mayak;43262
12033;Jawa Barat;Kabupaten;Cianjur;Cibeber;Peuteuycondong;43262
12034;Jawa Barat;Kabupaten;Cianjur;Cibeber;Salagedang;43262
12035;Jawa Barat;Kabupaten;Cianjur;Cibeber;Salamnunggal;43262
12036;Jawa Barat;Kabupaten;Cianjur;Cibeber;Sukamaju;43262
12037;Jawa Barat;Kabupaten;Cianjur;Cibeber;Sukamanah;43262
12038;Jawa Barat;Kabupaten;Cianjur;Cibeber;Sukaraharja;43262
12039;Jawa Barat;Kabupaten;Garut;Cibatu;Cibatu;44185
12040;Jawa Barat;Kabupaten;Purwakarta;Cibatu;Cibatu;41181
12041;Jawa Barat;Kabupaten;Purwakarta;Cibatu;Cibukamanah;41181
12042;Jawa Barat;Kabupaten;Garut;Cibatu;Cibunar;44185
12043;Jawa Barat;Kabupaten;Purwakarta;Cibatu;Cikadu;41181
12044;Jawa Barat;Kabupaten;Purwakarta;Cibatu;Cilandak;41181
12045;Jawa Barat;Kabupaten;Purwakarta;Cibatu;Cipancur;41181
12046;Jawa Barat;Kabupaten;Purwakarta;Cibatu;Ciparungsari;41181
12047;Jawa Barat;Kabupaten;Purwakarta;Cibatu;Cipinang;41181
12048;Jawa Barat;Kabupaten;Purwakarta;Cibatu;Cirangkong;41181
12049;Jawa Barat;Kabupaten;Garut;Cibatu;Girimukti;44185
12050;Jawa Barat;Kabupaten;Purwakarta;Cibatu;Karyamekar;41181
12051;Jawa Barat;Kabupaten;Garut;Cibatu;Karyamukti;44185
12052;Jawa Barat;Kabupaten;Garut;Cibatu;Keresek;44185
12053;Jawa Barat;Kabupaten;Garut;Cibatu;Kertajaya;44185
12054;Jawa Barat;Kabupaten;Garut;Cibatu;Mekarsari;44185
12055;Jawa Barat;Kabupaten;Garut;Cibatu;Padasuka;44185
12056;Jawa Barat;Kabupaten;Garut;Cibatu;Sindangsuka;44185
12057;Jawa Barat;Kabupaten;Garut;Cibatu;Sukalilah;44185
12058;Jawa Barat;Kabupaten;Garut;Cibatu;Wanakerta;44185
12059;Jawa Barat;Kabupaten;Purwakarta;Cibatu;Wanawali;41181
12060;Jawa Barat;Kabupaten;Bekasi;Cibarusah;Cibarusahjaya;17340
12061;Jawa Barat;Kabupaten;Bekasi;Cibarusah;Cibarusahkota;17340
12062;Jawa Barat;Kabupaten;Bekasi;Cibarusah;Ridogalih;17340
