No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
12500;Jawa Barat;Kabupaten;Garut;Blubur Limbangan;Simpen Kaler;44186
12501;Jawa Barat;Kabupaten;Garut;Blubur Limbangan;Simpen Kidul;44186
12502;Jawa Barat;Kabupaten;Garut;Blubur Limbangan;Surabaya;44186
12503;Jawa Barat;Kabupaten;Subang;Blanakan;Blanakan;41259
12504;Jawa Barat;Kabupaten;Subang;Blanakan;Cilamaya Girang;41259
12505;Jawa Barat;Kabupaten;Subang;Blanakan;Cilamaya Hilir;41259
12506;Jawa Barat;Kabupaten;Subang;Blanakan;Jayamukti;41259
12507;Jawa Barat;Kabupaten;Subang;Blanakan;Langensari;41259
12508;Jawa Barat;Kabupaten;Subang;Blanakan;Muara;41259
12509;Jawa Barat;Kabupaten;Subang;Blanakan;Rawamekar;41259
12510;Jawa Barat;Kabupaten;Subang;Blanakan;Rawameneng;41259
12511;Jawa Barat;Kabupaten;Subang;Blanakan;Tanjungtiga;41259
12512;Jawa Barat;Kabupaten;Subang;Binong;Binong;41253
12513;Jawa Barat;Kabupaten;Subang;Binong;Cicadas;41253
12514;Jawa Barat;Kabupaten;Subang;Binong;Citrajaya;41253
12515;Jawa Barat;Kabupaten;Subang;Binong;Karangsari;41253
12516;Jawa Barat;Kabupaten;Subang;Binong;Karangwangi;41253
12517;Jawa Barat;Kabupaten;Subang;Binong;Kediri;41253
12518;Jawa Barat;Kabupaten;Subang;Binong;Kihiyang;41253
12519;Jawa Barat;Kabupaten;Subang;Binong;Mulyasari;41253
12520;Jawa Barat;Kabupaten;Subang;Binong;Nanggerang;41253
12521;Jawa Barat;Kota;Bekasi;Bekasi Utara;Harapan Baru;17123
12522;Jawa Barat;Kota;Bekasi;Bekasi Utara;Harapan Jaya;17124
12523;Jawa Barat;Kota;Bekasi;Bekasi Utara;Kali Abang Tengah;17125
12524;Jawa Barat;Kota;Bekasi;Bekasi Utara;Marga Mulya;17142
12525;Jawa Barat;Kota;Bekasi;Bekasi Utara;Perwira;17122
12526;Jawa Barat;Kota;Bekasi;Bekasi Utara;Teluk Pucung;17121
