No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
13000;Jawa Tengah;Kabupaten;Klaten;Wonosari;Teloyo;57473
13001;Jawa Tengah;Kabupaten;Klaten;Wonosari;Wadung Getas;57473
13002;Jawa Tengah;Kabupaten;Demak;Wonosalam;Botorejo;59571
13003;Jawa Tengah;Kabupaten;Demak;Wonosalam;Bunderan;59571
13004;Jawa Tengah;Kabupaten;Demak;Wonosalam;Doreng;59571
13005;Jawa Tengah;Kabupaten;Demak;Wonosalam;Getas;59571
13006;Jawa Tengah;Kabupaten;Demak;Wonosalam;Jogoloyo;59571
13007;Jawa Tengah;Kabupaten;Demak;Wonosalam;Kalianyar;59571
13008;Jawa Tengah;Kabupaten;Demak;Wonosalam;Karangrejo;59571
13009;Jawa Tengah;Kabupaten;Demak;Wonosalam;Karangrowo;59571
13010;Jawa Tengah;Kabupaten;Demak;Wonosalam;Kendaldoyong;59571
13011;Jawa Tengah;Kabupaten;Demak;Wonosalam;Kerangkulon;59571
13012;Jawa Tengah;Kabupaten;Demak;Wonosalam;Kuncir;59571
13013;Jawa Tengah;Kabupaten;Demak;Wonosalam;Lempuyang;59571
13014;Jawa Tengah;Kabupaten;Demak;Wonosalam;Mojodemak;59571
13015;Jawa Tengah;Kabupaten;Demak;Wonosalam;Mranak;59571
13016;Jawa Tengah;Kabupaten;Demak;Wonosalam;Mrisen;59571
13017;Jawa Tengah;Kabupaten;Demak;Wonosalam;Pilangrejo;59571
13018;Jawa Tengah;Kabupaten;Demak;Wonosalam;Sido Mulyo;59571
13019;Jawa Tengah;Kabupaten;Demak;Wonosalam;Tlogodowo;59571
13020;Jawa Tengah;Kabupaten;Demak;Wonosalam;Tlogorejo;59571
13021;Jawa Tengah;Kabupaten;Demak;Wonosalam;Trengguli;59571
13022;Jawa Tengah;Kabupaten;Demak;Wonosalam;Wonosalam;59571
13023;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Galang Pengampon Gede;51181
13024;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Getas;51181
13025;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Gondang;51181
13026;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Jetak Kidul;51181
13027;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Jetak Lengkong;51181
13028;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Kwagean;51181
13029;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Legok Gunung;51181
13030;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Pegaden Tengah;51181
13031;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Rowokembu;51181
13032;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Sampih;51181
13033;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Sastrodirjan;51181
13034;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Surabayan;51181
13035;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Wonopringgo;51181
13036;Jawa Tengah;Kabupaten;Pekalongan;Wonopringgo;Wonorejo;51181
13037;Jawa Tengah;Kabupaten;Pekalongan;Wonokerto;Api-Api;51153
13038;Jawa Tengah;Kabupaten;Pekalongan;Wonokerto;Bebel;51153
13039;Jawa Tengah;Kabupaten;Pekalongan;Wonokerto;Pecakaran;51153
13040;Jawa Tengah;Kabupaten;Pekalongan;Wonokerto;Pesanggrahan;51153
13041;Jawa Tengah;Kabupaten;Pekalongan;Wonokerto;Rowoyoso;51153
13042;Jawa Tengah;Kabupaten;Pekalongan;Wonokerto;Semut;51153
13043;Jawa Tengah;Kabupaten;Pekalongan;Wonokerto;Sijambe;51153
13044;Jawa Tengah;Kabupaten;Pekalongan;Wonokerto;Tratebang;51153
13045;Jawa Tengah;Kabupaten;Pekalongan;Wonokerto;Werdi;51153
13046;Jawa Tengah;Kabupaten;Pekalongan;Wonokerto;Wonokerto Kulon;51153
13047;Jawa Tengah;Kabupaten;Pekalongan;Wonokerto;Wonokerto Wetan;51153
13048;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Bulusulur;57615
13049;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Giripurwo;57612
13050;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Giritirto;57611
13051;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Giriwono;57613
13052;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Manjung;57615
13053;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Pokohkidul;57615
13054;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Purworejo;57615
13055;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Purwosari;57615
13056;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Sendang;57615
13057;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Sonoharjo;57615
13058;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Wonoboyo;57615
13059;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Wonoharjo;57615
13060;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Wonokarto;57612
13061;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Wonokerto;57615
13062;Jawa Tengah;Kabupaten;Wonogiri;Wonogiri;Wuryorejo;57614
13063;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Cemoro;56266
13064;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Kebonsari;56266
13065;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Pateken;56266
13066;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Pesantren;56266
13067;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Pitrosari;56266
13068;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Purwosari;56266
13069;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Rejosari;56266
13070;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Semen;56266
13071;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Tawangsari;56266
13072;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Tening;56266
13073;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Wates;56266
13074;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Wonoboyo;56266
13075;Jawa Tengah;Kabupaten;Temanggung;Wonoboyo;Wonocoyo;56266
13076;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Dapurno;58192
13077;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Dokoro;58192
13078;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Gedangan;58192
13079;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Kalirejo;58192
13080;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Karangasem;58192
13081;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Kropak;58192
13082;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Kunden;58192
13083;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Mojorebo;58192
13084;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Sambirejo;58192
13085;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Tambahrejo;58192
13086;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Tambakselo;58192
13087;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Tanjungrejo;58192
13088;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Tegalrejo;58192
13089;Jawa Tengah;Kabupaten;Grobogan;Wirosari;Wirosari;58192
13090;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Bener;51152
13091;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Bondansari;51152
13092;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Delegtukang;51152
13093;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Gumawang;51152
13094;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Kadipaten;51152
13095;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Kampil;51152
13096;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Karangjati;51152
13097;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Kauman;51127
13098;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Kemplong;51152
13099;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Kepatihan;51152
13100;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Mayangan;51152
13101;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Pekuncen;51152
13102;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Petukangan;51152
13103;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Warukidul;51152
13104;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Warulor;51152
13105;Jawa Tengah;Kabupaten;Pekalongan;Wiradesa;Wiradesa;51152
13106;Jawa Tengah;Kabupaten;Pati;Winong;Blingijati;59181
13107;Jawa Tengah;Kabupaten;Pati;Winong;Bringinwareng;59181
13108;Jawa Tengah;Kabupaten;Pati;Winong;Bumiharjo;59181
13109;Jawa Tengah;Kabupaten;Pati;Winong;Danyangmulyo;59181
13110;Jawa Tengah;Kabupaten;Pati;Winong;Degan;59181
13111;Jawa Tengah;Kabupaten;Pati;Winong;Godo;59181
13112;Jawa Tengah;Kabupaten;Pati;Winong;Gunungpanti;59181
13113;Jawa Tengah;Kabupaten;Pati;Winong;Guyangan;59181
13114;Jawa Tengah;Kabupaten;Pati;Winong;Karangkonang;59181
13115;Jawa Tengah;Kabupaten;Pati;Winong;Karangsumber;59181
13116;Jawa Tengah;Kabupaten;Pati;Winong;Kebolampang;59181
