No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
13500;Jawa Tengah;Kabupaten;Blora;Tunjungan;Tawangrejo;58252
13501;Jawa Tengah;Kabupaten;Blora;Tunjungan;Tunjungan;58252
13502;Jawa Tengah;Kabupaten;Blora;Tunjungan;Tutup;58252
13503;Jawa Tengah;Kabupaten;Klaten;Tulung;Beji;57482
13504;Jawa Tengah;Kabupaten;Klaten;Tulung;Bono;57482
13505;Jawa Tengah;Kabupaten;Klaten;Tulung;Cokro;57482
13506;Jawa Tengah;Kabupaten;Klaten;Tulung;Dalangan;57482
13507;Jawa Tengah;Kabupaten;Klaten;Tulung;Daleman;57482
13508;Jawa Tengah;Kabupaten;Klaten;Tulung;Gedongjetis;57482
13509;Jawa Tengah;Kabupaten;Klaten;Tulung;Kemiri;57482
13510;Jawa Tengah;Kabupaten;Klaten;Tulung;Kiringan;57482
13511;Jawa Tengah;Kabupaten;Klaten;Tulung;Majegan;57482
13512;Jawa Tengah;Kabupaten;Klaten;Tulung;Malangan;57482
13513;Jawa Tengah;Kabupaten;Klaten;Tulung;Mundu;57482
13514;Jawa Tengah;Kabupaten;Klaten;Tulung;Pomah;57482
13515;Jawa Tengah;Kabupaten;Klaten;Tulung;Pucang Miliran;57482
13516;Jawa Tengah;Kabupaten;Klaten;Tulung;Sedayu;57482
13517;Jawa Tengah;Kabupaten;Klaten;Tulung;Sorogaten;57482
13518;Jawa Tengah;Kabupaten;Klaten;Tulung;Sudimoro;57482
13519;Jawa Tengah;Kabupaten;Klaten;Tulung;Tulung;57482
13520;Jawa Tengah;Kabupaten;Klaten;Tulung;Wunut;57482
13521;Jawa Tengah;Kabupaten;Batang;Tulis;Beji;51261
13522;Jawa Tengah;Kabupaten;Batang;Tulis;Kaliboyo;51261
13523;Jawa Tengah;Kabupaten;Batang;Tulis;Kedungsegog;51261
13524;Jawa Tengah;Kabupaten;Batang;Tulis;Kenconorejo;51261
13525;Jawa Tengah;Kabupaten;Batang;Tulis;Ponowareng;51261
13526;Jawa Tengah;Kabupaten;Batang;Tulis;Posong;51261
13527;Jawa Tengah;Kabupaten;Batang;Tulis;Sembojo;51261
13528;Jawa Tengah;Kabupaten;Batang;Tulis;Simbangdesa;51261
13529;Jawa Tengah;Kabupaten;Batang;Tulis;Simbangjati;51261
13530;Jawa Tengah;Kabupaten;Batang;Tulis;Tulis;51261
13531;Jawa Tengah;Kabupaten;Batang;Tulis;Wringingintung;51261
13532;Jawa Tengah;Kota;Semarang;Tugu;Jerakah;50151
13533;Jawa Tengah;Kota;Semarang;Tugu;Karanganyar;50152
13534;Jawa Tengah;Kota;Semarang;Tugu;Mangkang Kulon;50155
13535;Jawa Tengah;Kota;Semarang;Tugu;Mangkang Wetan;50156
13536;Jawa Tengah;Kota;Semarang;Tugu;Mangunharjo;50154
13537;Jawa Tengah;Kota;Semarang;Tugu;Randu Garut;50181
13538;Jawa Tengah;Kota;Semarang;Tugu;Tugurejo;50185
13539;Jawa Tengah;Kabupaten;Klaten;Trucuk;Bero;57467
13540;Jawa Tengah;Kabupaten;Klaten;Trucuk;Gaden;57467
13541;Jawa Tengah;Kabupaten;Klaten;Trucuk;Jatipuro;57467
13542;Jawa Tengah;Kabupaten;Klaten;Trucuk;Kalikebo;57467
13543;Jawa Tengah;Kabupaten;Klaten;Trucuk;Karangpakel;57467
13544;Jawa Tengah;Kabupaten;Klaten;Trucuk;Kradenan;57467
13545;Jawa Tengah;Kabupaten;Klaten;Trucuk;Mandong;57467
13546;Jawa Tengah;Kabupaten;Klaten;Trucuk;Mireng;57467
13547;Jawa Tengah;Kabupaten;Klaten;Trucuk;Palar;57467
13548;Jawa Tengah;Kabupaten;Klaten;Trucuk;Planggu;57467
13549;Jawa Tengah;Kabupaten;Klaten;Trucuk;Puluhan;57467
13550;Jawa Tengah;Kabupaten;Klaten;Trucuk;Pundungsari;57467
13551;Jawa Tengah;Kabupaten;Klaten;Trucuk;Sabrang Lor;57467
13552;Jawa Tengah;Kabupaten;Klaten;Trucuk;Sajen;57467
13553;Jawa Tengah;Kabupaten;Klaten;Trucuk;Sumber;57467
13554;Jawa Tengah;Kabupaten;Klaten;Trucuk;Trucuk;57467
13555;Jawa Tengah;Kabupaten;Klaten;Trucuk;Wanglu;57467
13556;Jawa Tengah;Kabupaten;Klaten;Trucuk;Wonosari (Wonososa);57473
13557;Jawa Tengah;Kabupaten;Temanggung;Tretep;Bendungan;56259
13558;Jawa Tengah;Kabupaten;Temanggung;Tretep;Bojong;56259
13559;Jawa Tengah;Kabupaten;Temanggung;Tretep;Bonjor;56259
13560;Jawa Tengah;Kabupaten;Temanggung;Tretep;Campurejo;56259
13561;Jawa Tengah;Kabupaten;Temanggung;Tretep;Donorojo;56259
13562;Jawa Tengah;Kabupaten;Temanggung;Tretep;Nglarangan;56259
13563;Jawa Tengah;Kabupaten;Temanggung;Tretep;Sigedong;56259
13564;Jawa Tengah;Kabupaten;Temanggung;Tretep;Simpar;56259
13565;Jawa Tengah;Kabupaten;Temanggung;Tretep;Tempelsari;56259
13566;Jawa Tengah;Kabupaten;Temanggung;Tretep;Tlogo;56259
13567;Jawa Tengah;Kabupaten;Temanggung;Tretep;Tretep;56259
13568;Jawa Tengah;Kabupaten;Pati;Trangkil;Asempapan;59153
13569;Jawa Tengah;Kabupaten;Pati;Trangkil;Guyangan;59153
13570;Jawa Tengah;Kabupaten;Pati;Trangkil;Kadilangu;59153
13571;Jawa Tengah;Kabupaten;Pati;Trangkil;Kajar;59153
13572;Jawa Tengah;Kabupaten;Pati;Trangkil;Karanglegi;59153
13573;Jawa Tengah;Kabupaten;Pati;Trangkil;Karangwage;59153
13574;Jawa Tengah;Kabupaten;Pati;Trangkil;Kertomulyo;59153
13575;Jawa Tengah;Kabupaten;Pati;Trangkil;Ketanen;59153
13576;Jawa Tengah;Kabupaten;Pati;Trangkil;Krandan;59153
13577;Jawa Tengah;Kabupaten;Pati;Trangkil;Mojoagung;59153
13578;Jawa Tengah;Kabupaten;Pati;Trangkil;Pasucen;59153
13579;Jawa Tengah;Kabupaten;Pati;Trangkil;Rejoagung;59153
13580;Jawa Tengah;Kabupaten;Pati;Trangkil;Sambilawang;59153
13581;Jawa Tengah;Kabupaten;Pati;Trangkil;Tegalharjo;59153
13582;Jawa Tengah;Kabupaten;Pati;Trangkil;Tlutup;59153
13583;Jawa Tengah;Kabupaten;Pati;Trangkil;Trangkil;59153
13584;Jawa Tengah;Kabupaten;Grobogan;Toroh;Bandungharjo;58171
13585;Jawa Tengah;Kabupaten;Grobogan;Toroh;Boloh;58171
13586;Jawa Tengah;Kabupaten;Grobogan;Toroh;Depok;58171
13587;Jawa Tengah;Kabupaten;Grobogan;Toroh;Dimoro;58171
13588;Jawa Tengah;Kabupaten;Grobogan;Toroh;Genengadal;58171
13589;Jawa Tengah;Kabupaten;Grobogan;Toroh;Genengsari;58171
13590;Jawa Tengah;Kabupaten;Grobogan;Toroh;Katong;58171
13591;Jawa Tengah;Kabupaten;Grobogan;Toroh;Kenteng;58171
13592;Jawa Tengah;Kabupaten;Grobogan;Toroh;Krangganharjo;58171
13593;Jawa Tengah;Kabupaten;Grobogan;Toroh;Ngrandah;58171
13594;Jawa Tengah;Kabupaten;Grobogan;Toroh;Pilangpayung;58171
13595;Jawa Tengah;Kabupaten;Grobogan;Toroh;Plosoharjo;58171
13596;Jawa Tengah;Kabupaten;Grobogan;Toroh;Sindurejo;58171
13597;Jawa Tengah;Kabupaten;Grobogan;Toroh;Sugihan;58171
13598;Jawa Tengah;Kabupaten;Grobogan;Toroh;Tambirejo;58171
13599;Jawa Tengah;Kabupaten;Grobogan;Toroh;Tunggak;58171
13600;Jawa Tengah;Kabupaten;Brebes;Tonjong;Galuh Timur;52271
13601;Jawa Tengah;Kabupaten;Brebes;Tonjong;Kalijurang;52271
13602;Jawa Tengah;Kabupaten;Brebes;Tonjong;Karangjongkeng;52271
13603;Jawa Tengah;Kabupaten;Brebes;Tonjong;Kutamendala;52271
13604;Jawa Tengah;Kabupaten;Brebes;Tonjong;Kutayu;52271
13605;Jawa Tengah;Kabupaten;Brebes;Tonjong;Linggapura;52271
13606;Jawa Tengah;Kabupaten;Brebes;Tonjong;Negarayu;52271
13607;Jawa Tengah;Kabupaten;Brebes;Tonjong;Pepedan;52271
13608;Jawa Tengah;Kabupaten;Brebes;Tonjong;Purbayasa;52271
13609;Jawa Tengah;Kabupaten;Brebes;Tonjong;Purwodadi;52271
13610;Jawa Tengah;Kabupaten;Brebes;Tonjong;Rajawetan;52271
13611;Jawa Tengah;Kabupaten;Brebes;Tonjong;Tanggeran;52271
13612;Jawa Tengah;Kabupaten;Brebes;Tonjong;Tonjong;52271
13613;Jawa Tengah;Kabupaten;Brebes;Tonjong;Watujaya;52271
13614;Jawa Tengah;Kabupaten;Blora;Todanan;Bedingin;58256
13615;Jawa Tengah;Kabupaten;Blora;Todanan;Bicak;58256
13616;Jawa Tengah;Kabupaten;Blora;Todanan;Candi;58256
13617;Jawa Tengah;Kabupaten;Blora;Todanan;Cokrowati;58256
