No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
14000;Jawa Tengah;Kabupaten;Grobogan;Tanggungharjo;Padang;58166
14001;Jawa Tengah;Kabupaten;Grobogan;Tanggungharjo;Ringinpitu;58166
14002;Jawa Tengah;Kabupaten;Grobogan;Tanggungharjo;Sugihmanik;58166
14003;Jawa Tengah;Kabupaten;Grobogan;Tanggungharjo;Tanggungharjo;58166
14004;Jawa Tengah;Kabupaten;Sragen;Tangen;Denanyar;57261
14005;Jawa Tengah;Kabupaten;Sragen;Tangen;Dukuh;57261
14006;Jawa Tengah;Kabupaten;Sragen;Tangen;Galeh;57261
14007;Jawa Tengah;Kabupaten;Sragen;Tangen;Jekawal;57261
14008;Jawa Tengah;Kabupaten;Sragen;Tangen;Katelan;57261
14009;Jawa Tengah;Kabupaten;Sragen;Tangen;Ngrombo;57261
14010;Jawa Tengah;Kabupaten;Sragen;Tangen;Sigit;57261
14011;Jawa Tengah;Kabupaten;Pati;Tambakromo;Angkatan Kidul;59174
14012;Jawa Tengah;Kabupaten;Pati;Tambakromo;Angkatan Lor;59174
14013;Jawa Tengah;Kabupaten;Pati;Tambakromo;Karangawen;59174
14014;Jawa Tengah;Kabupaten;Pati;Tambakromo;Karangmulyo;59174
14015;Jawa Tengah;Kabupaten;Pati;Tambakromo;Karangwono;59174
14016;Jawa Tengah;Kabupaten;Pati;Tambakromo;Keben;59174
14017;Jawa Tengah;Kabupaten;Pati;Tambakromo;Kedalingan;59174
14018;Jawa Tengah;Kabupaten;Pati;Tambakromo;Larangan;59174
14019;Jawa Tengah;Kabupaten;Pati;Tambakromo;Maitan;59174
14020;Jawa Tengah;Kabupaten;Pati;Tambakromo;Mangunrekso;59174
14021;Jawa Tengah;Kabupaten;Pati;Tambakromo;Mojomulyo;59174
14022;Jawa Tengah;Kabupaten;Pati;Tambakromo;Pakis;59174
14023;Jawa Tengah;Kabupaten;Pati;Tambakromo;Sinomwidodo;59174
14024;Jawa Tengah;Kabupaten;Pati;Tambakromo;Sitirejo;59174
14025;Jawa Tengah;Kabupaten;Pati;Tambakromo;Tambahagung;59174
14026;Jawa Tengah;Kabupaten;Pati;Tambakromo;Tambaharjo;59174
14027;Jawa Tengah;Kabupaten;Pati;Tambakromo;Tambakromo;59174
14028;Jawa Tengah;Kabupaten;Pati;Tambakromo;Wukirsari;59174
14029;Jawa Tengah;Kabupaten;Banyumas;Tambak;Buniayu;53196
14030;Jawa Tengah;Kabupaten;Banyumas;Tambak;Gebangsari;53196
14031;Jawa Tengah;Kabupaten;Banyumas;Tambak;Gumelar Kidul;53196
14032;Jawa Tengah;Kabupaten;Banyumas;Tambak;Gumelar Lor;53196
14033;Jawa Tengah;Kabupaten;Banyumas;Tambak;Kamulyan;53196
14034;Jawa Tengah;Kabupaten;Banyumas;Tambak;Karangpetir;53196
14035;Jawa Tengah;Kabupaten;Banyumas;Tambak;Karangpucung;53196
14036;Jawa Tengah;Kabupaten;Banyumas;Tambak;Pesantren;53196
14037;Jawa Tengah;Kabupaten;Banyumas;Tambak;Plangkapan;53196
14038;Jawa Tengah;Kabupaten;Banyumas;Tambak;Prembun;53196
14039;Jawa Tengah;Kabupaten;Banyumas;Tambak;Purwodadi;53196
14040;Jawa Tengah;Kabupaten;Banyumas;Tambak;Watuagung;53196
14041;Jawa Tengah;Kabupaten;Pemalang;Taman;Asemdoyong;52361
14042;Jawa Tengah;Kabupaten;Pemalang;Taman;Banjaran;52361
14043;Jawa Tengah;Kabupaten;Pemalang;Taman;Banjardawa;52361
14044;Jawa Tengah;Kabupaten;Pemalang;Taman;Beji;52361
14045;Jawa Tengah;Kabupaten;Pemalang;Taman;Cibelok;52361
14046;Jawa Tengah;Kabupaten;Pemalang;Taman;Gondang;52361
14047;Jawa Tengah;Kabupaten;Pemalang;Taman;Jebed Selatan;52361
14048;Jawa Tengah;Kabupaten;Pemalang;Taman;Jebed Utara;52361
14049;Jawa Tengah;Kabupaten;Pemalang;Taman;Jrakah;52361
14050;Jawa Tengah;Kabupaten;Pemalang;Taman;Kabunan;52361
14051;Jawa Tengah;Kabupaten;Pemalang;Taman;Kaligelang;52361
14052;Jawa Tengah;Kabupaten;Pemalang;Taman;Kedungbanjar;52361
14053;Jawa Tengah;Kabupaten;Pemalang;Taman;Kejambon;52361
14054;Jawa Tengah;Kabupaten;Pemalang;Taman;Pedurungan;52361
14055;Jawa Tengah;Kabupaten;Pemalang;Taman;Pener;52361
14056;Jawa Tengah;Kabupaten;Pemalang;Taman;Penggarit;52361
14057;Jawa Tengah;Kabupaten;Pemalang;Taman;Sitemu;52361
14058;Jawa Tengah;Kabupaten;Pemalang;Taman;Sokawangi;52361
14059;Jawa Tengah;Kabupaten;Pemalang;Taman;Taman;52361
14060;Jawa Tengah;Kabupaten;Pemalang;Taman;Wanarejan Selatan;52361
14061;Jawa Tengah;Kabupaten;Pemalang;Taman;Wanarejan Utara;52361
14062;Jawa Tengah;Kabupaten;Pekalongan;Talun;Banjarsari;51192
14063;Jawa Tengah;Kabupaten;Pekalongan;Talun;Batursari;51192
14064;Jawa Tengah;Kabupaten;Pekalongan;Talun;Donowangun;51192
14065;Jawa Tengah;Kabupaten;Pekalongan;Talun;Jolotigo;51192
14066;Jawa Tengah;Kabupaten;Pekalongan;Talun;Kalirejo;51192
14067;Jawa Tengah;Kabupaten;Pekalongan;Talun;Karangasem;51192
14068;Jawa Tengah;Kabupaten;Pekalongan;Talun;Krompeng;51192
14069;Jawa Tengah;Kabupaten;Pekalongan;Talun;Mesoyi;51192
14070;Jawa Tengah;Kabupaten;Pekalongan;Talun;Sengare;51192
14071;Jawa Tengah;Kabupaten;Pekalongan;Talun;Talun;51192
14072;Jawa Tengah;Kabupaten;Tegal;Talang;Bengle;52193
14073;Jawa Tengah;Kabupaten;Tegal;Talang;Cangkring;52193
14074;Jawa Tengah;Kabupaten;Tegal;Talang;Dawuhan;52193
14075;Jawa Tengah;Kabupaten;Tegal;Talang;Dukuhmalang;52193
14076;Jawa Tengah;Kabupaten;Tegal;Talang;Gembong Kulon;52193
14077;Jawa Tengah;Kabupaten;Tegal;Talang;Getaskerep;52193
14078;Jawa Tengah;Kabupaten;Tegal;Talang;Kajen;52193
14079;Jawa Tengah;Kabupaten;Tegal;Talang;Kaladawa;52193
14080;Jawa Tengah;Kabupaten;Tegal;Talang;Kaligayam;52193
14081;Jawa Tengah;Kabupaten;Tegal;Talang;Kebasen;52193
14082;Jawa Tengah;Kabupaten;Tegal;Talang;Langgen;52193
14083;Jawa Tengah;Kabupaten;Tegal;Talang;Pacul;52193
14084;Jawa Tengah;Kabupaten;Tegal;Talang;Pasangan;52193
14085;Jawa Tengah;Kabupaten;Tegal;Talang;Pegirikan;52193
14086;Jawa Tengah;Kabupaten;Tegal;Talang;Pekiringan;52193
14087;Jawa Tengah;Kabupaten;Tegal;Talang;Pesayangan;52193
14088;Jawa Tengah;Kabupaten;Tegal;Talang;Talang;52193
14089;Jawa Tengah;Kabupaten;Tegal;Talang;Tegalwangi;52193
14090;Jawa Tengah;Kabupaten;Tegal;Talang;Wangandawa;52193
14091;Jawa Tengah;Kabupaten;Jepara;Tahunan;Demangan;59422
14092;Jawa Tengah;Kabupaten;Jepara;Tahunan;Kecapi;59429
14093;Jawa Tengah;Kabupaten;Jepara;Tahunan;Krapyak;59421
14094;Jawa Tengah;Kabupaten;Jepara;Tahunan;Langon;59425
14095;Jawa Tengah;Kabupaten;Jepara;Tahunan;Mangunan;59422
14096;Jawa Tengah;Kabupaten;Jepara;Tahunan;Mantingan;59421
14097;Jawa Tengah;Kabupaten;Jepara;Tahunan;Ngabul;59428
14098;Jawa Tengah;Kabupaten;Jepara;Tahunan;Petekeyan;59423
14099;Jawa Tengah;Kabupaten;Jepara;Tahunan;Platar;59423
14100;Jawa Tengah;Kabupaten;Jepara;Tahunan;Semat;59424
14101;Jawa Tengah;Kabupaten;Jepara;Tahunan;Senenan;59426
14102;Jawa Tengah;Kabupaten;Jepara;Tahunan;Sukodono;59425
14103;Jawa Tengah;Kabupaten;Jepara;Tahunan;Tahunan;59451
14104;Jawa Tengah;Kabupaten;Jepara;Tahunan;Tegalsambi;59427
14105;Jawa Tengah;Kabupaten;Jepara;Tahunan;Telukawur;59427
14106;Jawa Tengah;Kabupaten;Semarang;Susukan;Badran;50777
14107;Jawa Tengah;Kabupaten;Semarang;Susukan;Bakalrejo;50777
