No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
14500;Jawa Tengah;Kabupaten;Pekalongan;Siwalan;Boyo Teluk;51137
14501;Jawa Tengah;Kabupaten;Pekalongan;Siwalan;Depok;51137
14502;Jawa Tengah;Kabupaten;Pekalongan;Siwalan;Mejasem;51137
14503;Jawa Tengah;Kabupaten;Pekalongan;Siwalan;Pait;51137
14504;Jawa Tengah;Kabupaten;Pekalongan;Siwalan;Rembun;51137
14505;Jawa Tengah;Kabupaten;Pekalongan;Siwalan;Siwalan;51137
14506;Jawa Tengah;Kabupaten;Pekalongan;Siwalan;Tengeng Wetan;51137
14507;Jawa Tengah;Kabupaten;Pekalongan;Siwalan;Tengengkulon;51137
14508;Jawa Tengah;Kabupaten;Pekalongan;Siwalan;Tunjungsari;51137
14509;Jawa Tengah;Kabupaten;Pekalongan;Siwalan;Wonosari;51137
14510;Jawa Tengah;Kabupaten;Pekalongan;Siwalan;Yosorejo;51137
14511;Jawa Tengah;Kabupaten;Brebes;Sirampog;Batursari;52272
14512;Jawa Tengah;Kabupaten;Brebes;Sirampog;Benda;52272
14513;Jawa Tengah;Kabupaten;Brebes;Sirampog;Buniwah;52272
14514;Jawa Tengah;Kabupaten;Brebes;Sirampog;Dawuhan;52272
14515;Jawa Tengah;Kabupaten;Brebes;Sirampog;Igirklanceng;52272
14516;Jawa Tengah;Kabupaten;Brebes;Sirampog;Kaligiri;52272
14517;Jawa Tengah;Kabupaten;Brebes;Sirampog;Kaliloka;52272
14518;Jawa Tengah;Kabupaten;Brebes;Sirampog;Manggis;52272
14519;Jawa Tengah;Kabupaten;Brebes;Sirampog;Mendala;52272
14520;Jawa Tengah;Kabupaten;Brebes;Sirampog;Mlayang;52272
14521;Jawa Tengah;Kabupaten;Brebes;Sirampog;Plompong;52272
14522;Jawa Tengah;Kabupaten;Brebes;Sirampog;Sridadi;52272
14523;Jawa Tengah;Kabupaten;Brebes;Sirampog;Wanareja;52272
14524;Jawa Tengah;Kabupaten;Kendal;Singorojo;Banyuringin;51382
14525;Jawa Tengah;Kabupaten;Kendal;Singorojo;Cacaban;51382
14526;Jawa Tengah;Kabupaten;Kendal;Singorojo;Cening;51382
14527;Jawa Tengah;Kabupaten;Kendal;Singorojo;Getas;51382
14528;Jawa Tengah;Kabupaten;Kendal;Singorojo;Kaliputih;51382
14529;Jawa Tengah;Kabupaten;Kendal;Singorojo;Kalirejo;51382
14530;Jawa Tengah;Kabupaten;Kendal;Singorojo;Kedungsari;51382
14531;Jawa Tengah;Kabupaten;Kendal;Singorojo;Kertosari;51382
14532;Jawa Tengah;Kabupaten;Kendal;Singorojo;Merbuh;51382
14533;Jawa Tengah;Kabupaten;Kendal;Singorojo;Ngareanak;51382
14534;Jawa Tengah;Kabupaten;Kendal;Singorojo;Singorojo;51382
14535;Jawa Tengah;Kabupaten;Kendal;Singorojo;Sukodadi;51382
14536;Jawa Tengah;Kabupaten;Kendal;Singorojo;Trayu;51382
14537;Jawa Tengah;Kabupaten;Boyolali;Simo;Bendungan;57377
14538;Jawa Tengah;Kabupaten;Boyolali;Simo;Blagung;57377
14539;Jawa Tengah;Kabupaten;Boyolali;Simo;Gunung;57377
14540;Jawa Tengah;Kabupaten;Boyolali;Simo;Kedung Lengkong;57377
14541;Jawa Tengah;Kabupaten;Boyolali;Simo;Pelem;57377
14542;Jawa Tengah;Kabupaten;Boyolali;Simo;Pentur;57377
14543;Jawa Tengah;Kabupaten;Boyolali;Simo;Simo;57377
14544;Jawa Tengah;Kabupaten;Boyolali;Simo;Sumber;57377
14545;Jawa Tengah;Kabupaten;Boyolali;Simo;Talakbroto;57377
14546;Jawa Tengah;Kabupaten;Boyolali;Simo;Temon;57377
14547;Jawa Tengah;Kabupaten;Boyolali;Simo;Teter;57377
14548;Jawa Tengah;Kabupaten;Boyolali;Simo;Walen;57377
14549;Jawa Tengah;Kabupaten;Boyolali;Simo;Wates;57377
14550;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Bandingan;53481
14551;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Bojanegara;53481
14552;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Gembongan;53481
14553;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Kalibenda;53481
14554;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Karangmangu;53481
14555;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Kemiri;53481
14556;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Panawaren;53481
14557;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Prigi;53481
14558;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Pringamba;53481
14559;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Randegan;53481
14560;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Sawal;53481
14561;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Sigaluh;53481
14562;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Singomerto (Singamerta);53481
14563;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Tunggara;53481
14564;Jawa Tengah;Kabupaten;Banjarnegara;Sigaluh;Wanacipta;53481
14565;Jawa Tengah;Kota;Salatiga;Sidorejo;Blotongan;50715
14566;Jawa Tengah;Kota;Salatiga;Sidorejo;Bugel;50713
14567;Jawa Tengah;Kota;Salatiga;Sidorejo;Kauman Kidul;50712
14568;Jawa Tengah;Kota;Salatiga;Sidorejo;Pulutan;50716
14569;Jawa Tengah;Kota;Salatiga;Sidorejo;Salatiga;50711
