No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
15000;Jawa Tengah;Kabupaten;Kebumen;Sadang;Kedunggong;54353
15001;Jawa Tengah;Kabupaten;Kebumen;Sadang;Pucangan;54353
15002;Jawa Tengah;Kabupaten;Kebumen;Sadang;Sadangkulon;54353
15003;Jawa Tengah;Kabupaten;Kebumen;Sadang;Sadangwetan;54353
15004;Jawa Tengah;Kabupaten;Kebumen;Sadang;Seboro;54353
15005;Jawa Tengah;Kabupaten;Kebumen;Sadang;Wonosari;54353
15006;Jawa Tengah;Kabupaten;Kendal;Rowosari;Bulak;51354
15007;Jawa Tengah;Kabupaten;Kendal;Rowosari;Gebanganom;51354
15008;Jawa Tengah;Kabupaten;Kendal;Rowosari;Gempolsewu;51354
15009;Jawa Tengah;Kabupaten;Kendal;Rowosari;Jatipurwo;51354
15010;Jawa Tengah;Kabupaten;Kendal;Rowosari;Karangsari;51319
15011;Jawa Tengah;Kabupaten;Kendal;Rowosari;Kebonsari;51354
15012;Jawa Tengah;Kabupaten;Kendal;Rowosari;Parakan;51354
15013;Jawa Tengah;Kabupaten;Kendal;Rowosari;Pojoksari;51354
15014;Jawa Tengah;Kabupaten;Kendal;Rowosari;Randusari;51354
15015;Jawa Tengah;Kabupaten;Kendal;Rowosari;Rowosari;51354
15016;Jawa Tengah;Kabupaten;Kendal;Rowosari;Sendang Sikucing;51354
15017;Jawa Tengah;Kabupaten;Kendal;Rowosari;Sendangdawuhan;51354
15018;Jawa Tengah;Kabupaten;Kendal;Rowosari;Tambaksari;51354
15019;Jawa Tengah;Kabupaten;Kendal;Rowosari;Tanjunganom;51354
15020;Jawa Tengah;Kabupaten;Kendal;Rowosari;Tanjungsari;51354
15021;Jawa Tengah;Kabupaten;Kendal;Rowosari;Wonotenggang;51354
15022;Jawa Tengah;Kabupaten;Kebumen;Rowokele;Bumiagung;54472
15023;Jawa Tengah;Kabupaten;Kebumen;Rowokele;Giyanti;54472
15024;Jawa Tengah;Kabupaten;Kebumen;Rowokele;Jatiluhur;54472
15025;Jawa Tengah;Kabupaten;Kebumen;Rowokele;Kalisari;54472
15026;Jawa Tengah;Kabupaten;Kebumen;Rowokele;Kretek;54472
15027;Jawa Tengah;Kabupaten;Kebumen;Rowokele;Pringtutul;54472
15028;Jawa Tengah;Kabupaten;Kebumen;Rowokele;Redisari;54472
15029;Jawa Tengah;Kabupaten;Kebumen;Rowokele;Rowokele;54472
15030;Jawa Tengah;Kabupaten;Kebumen;Rowokele;Sukomulyo;54472
15031;Jawa Tengah;Kabupaten;Kebumen;Rowokele;Wagirpandan;54472
15032;Jawa Tengah;Kabupaten;Kebumen;Rowokele;Wonoharjo;54472
15033;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Caruban;51356
15034;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Kedungasri;51356
15035;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Kedunggading;51356
15036;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Mojo;51356
15037;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Ngawensari;51356
15038;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Ngerjo;51356
15039;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Pagerdawung;51356
15040;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Purworejo;51356
15041;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Ringinarum;51356
15042;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Rowobranten;51356
15043;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Tejorejo;51356
15044;Jawa Tengah;Kabupaten;Kendal;Ringinarum;Wungurejo;51356
15045;Jawa Tengah;Kabupaten;Purbalingga;Rembang;Bantarbarang;53356
15046;Jawa Tengah;Kabupaten;Purbalingga;Rembang;Bodas Karangjati;53356
15047;Jawa Tengah;Kabupaten;Rembang;Rembang;Gedangan;59219
15048;Jawa Tengah;Kabupaten;Rembang;Rembang;Gegunung Kulon;59213
15049;Jawa Tengah;Kabupaten;Rembang;Rembang;Gegunung Wetan;59213
15050;Jawa Tengah;Kabupaten;Purbalingga;Rembang;Gunungwuled;53356
15051;Jawa Tengah;Kabupaten;Rembang;Rembang;Kabongan Kidul;59218
15052;Jawa Tengah;Kabupaten;Rembang;Rembang;Kabongan Lor;59219
15053;Jawa Tengah;Kabupaten;Purbalingga;Rembang;Karangbawang;53356
15054;Jawa Tengah;Kabupaten;Rembang;Rembang;Kasreman;59219
15055;Jawa Tengah;Kabupaten;Rembang;Rembang;Kedungrejo;59219
15056;Jawa Tengah;Kabupaten;Rembang;Rembang;Ketanggi;59219
15057;Jawa Tengah;Kabupaten;Rembang;Rembang;Kumendung;59219
15058;Jawa Tengah;Kabupaten;Rembang;Rembang;Kutoharjo;59211
15059;Jawa Tengah;Kabupaten;Rembang;Rembang;Leteh;59217
15060;Jawa Tengah;Kabupaten;Purbalingga;Rembang;Losari;53356
15061;Jawa Tengah;Kabupaten;Rembang;Rembang;Magersari;59214
15062;Jawa Tengah;Kabupaten;Purbalingga;Rembang;Makam;53356
15063;Jawa Tengah;Kabupaten;Rembang;Rembang;Mondoteko;59219
15064;Jawa Tengah;Kabupaten;Rembang;Rembang;Ngadem;59219
15065;Jawa Tengah;Kabupaten;Rembang;Rembang;Ngotet;59219
15066;Jawa Tengah;Kabupaten;Rembang;Rembang;Pacar;59213
15067;Jawa Tengah;Kabupaten;Rembang;Rembang;Padaran;59219
15068;Jawa Tengah;Kabupaten;Rembang;Rembang;Pandean;59211
15069;Jawa Tengah;Kabupaten;Purbalingga;Rembang;Panusupan;53356
15070;Jawa Tengah;Kabupaten;Rembang;Rembang;Pasarbanggi;59219
15071;Jawa Tengah;Kabupaten;Rembang;Rembang;Pulo;59219
15072;Jawa Tengah;Kabupaten;Rembang;Rembang;Punjulharjo;59219
15073;Jawa Tengah;Kabupaten;Rembang;Rembang;Sawahan;59215
15074;Jawa Tengah;Kabupaten;Rembang;Rembang;Sidowayah;59218
15075;Jawa Tengah;Kabupaten;Rembang;Rembang;Sridadi;59219
15076;Jawa Tengah;Kabupaten;Rembang;Rembang;Sukoharjo;59219
15077;Jawa Tengah;Kabupaten;Purbalingga;Rembang;Sumampir;53356
15078;Jawa Tengah;Kabupaten;Rembang;Rembang;Sumberjo;59219
15079;Jawa Tengah;Kabupaten;Purbalingga;Rembang;Tanalum;53356
15080;Jawa Tengah;Kabupaten;Rembang;Rembang;Tanjungsari;59213
15081;Jawa Tengah;Kabupaten;Rembang;Rembang;Tasikagung;59212
15082;Jawa Tengah;Kabupaten;Rembang;Rembang;Tireman;59219
