No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
15500;Jawa Tengah;Kabupaten;Kebumen;Poncowarno;Kedungdowo;54393
15501;Jawa Tengah;Kabupaten;Kebumen;Poncowarno;Lerepkebumen;54393
15502;Jawa Tengah;Kabupaten;Kebumen;Poncowarno;Poncowarno;54393
15503;Jawa Tengah;Kabupaten;Kebumen;Poncowarno;Soka;54393
15504;Jawa Tengah;Kabupaten;Kebumen;Poncowarno;Tegalrejo;54393
15505;Jawa Tengah;Kabupaten;Kebumen;Poncowarno;Tirtomoyo;54393
15506;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Bakalan;57555
15507;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Bugel;57555
15508;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Bulu;57555
15509;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Genengsari;57555
15510;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Godog;57555
15511;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Jatisobo;57555
15512;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Kajuapak;57555
15513;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Karangwuni;57555
15514;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Kemasan;57555
15515;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Kenokorejo;57555
15516;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Mranggen;57513
15517;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Ngombakan;57555
15518;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Polokarto;57555
15519;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Pranan;57555
15520;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Rejosari;57555
15521;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Tepisari;57555
15522;Jawa Tengah;Kabupaten;Sukoharjo;Polokarto;Wonorejo;57555
15523;Jawa Tengah;Kabupaten;Klaten;Polanharjo;Borongan;57474
15524;Jawa Tengah;Kabupaten;Klaten;Polanharjo;Glagah Wangi;57474
15525;Jawa Tengah;Kabupaten;Klaten;Polanharjo;Janti;57474
15526;Jawa Tengah;Kabupaten;Klaten;Polanharjo;Jimus;57474
15527;Jawa Tengah;Kabupaten;Klaten;Polanharjo;Kapungan;57474
15528;Jawa Tengah;Kabupaten;Klaten;Polanharjo;Karanglo;57474
15529;Jawa Tengah;Kabupaten;Klaten;Polanharjo;Kauman;57474
15530;Jawa Tengah;Kabupaten;Klaten;Polanharjo;Kebonharjo;57474
15531;Jawa Tengah;Kabupaten;Klaten;Polanharjo;Keprabon;57474
