No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
16000;Jawa Tengah;Kabupaten;Tegal;Pangkah;Rancawiru;52471
16001;Jawa Tengah;Kabupaten;Tegal;Pangkah;Talok;52471
16002;Jawa Tengah;Kabupaten;Banjarnegara;Pandanarum;Beji;53458
16003;Jawa Tengah;Kabupaten;Banjarnegara;Pandanarum;Lawen;53458
16004;Jawa Tengah;Kabupaten;Banjarnegara;Pandanarum;Pandanarum;53458
16005;Jawa Tengah;Kabupaten;Banjarnegara;Pandanarum;Pasegeran;53458
16006;Jawa Tengah;Kabupaten;Banjarnegara;Pandanarum;Pingit Lor;53458
16007;Jawa Tengah;Kabupaten;Banjarnegara;Pandanarum;Pringamba;53458
16008;Jawa Tengah;Kabupaten;Banjarnegara;Pandanarum;Sinduaji;53458
16009;Jawa Tengah;Kabupaten;Banjarnegara;Pandanarum;Sirongge;53458
16010;Jawa Tengah;Kabupaten;Rembang;Pancur;Banyuurip;59262
16011;Jawa Tengah;Kabupaten;Rembang;Pancur;Criwik;59262
16012;Jawa Tengah;Kabupaten;Rembang;Pancur;Doropayung;59262
16013;Jawa Tengah;Kabupaten;Rembang;Pancur;Gemblengmulyo;59262
16014;Jawa Tengah;Kabupaten;Rembang;Pancur;Japeledok;59262
16015;Jawa Tengah;Kabupaten;Rembang;Pancur;Jeruk;59262
16016;Jawa Tengah;Kabupaten;Rembang;Pancur;Johogunung;59262
16017;Jawa Tengah;Kabupaten;Rembang;Pancur;Kalitengah;59262
16018;Jawa Tengah;Kabupaten;Rembang;Pancur;Karaskepoh;59262
16019;Jawa Tengah;Kabupaten;Rembang;Pancur;Kedung;59262
16020;Jawa Tengah;Kabupaten;Rembang;Pancur;Langkir;59262
16021;Jawa Tengah;Kabupaten;Rembang;Pancur;Ngroto;59262
16022;Jawa Tengah;Kabupaten;Rembang;Pancur;Ngulangan;59262
16023;Jawa Tengah;Kabupaten;Rembang;Pancur;Pancur;59262
