No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
16500;Jawa Tengah;Kabupaten;Magelang;Muntilan;Gunungpring;56415
16501;Jawa Tengah;Kabupaten;Magelang;Muntilan;Keji;56415
16502;Jawa Tengah;Kabupaten;Magelang;Muntilan;Menayu;56415
16503;Jawa Tengah;Kabupaten;Magelang;Muntilan;Muntilan;56411
16504;Jawa Tengah;Kabupaten;Magelang;Muntilan;Ngawen;56415
16505;Jawa Tengah;Kabupaten;Magelang;Muntilan;Pucungrejo;56414
16506;Jawa Tengah;Kabupaten;Magelang;Muntilan;Sedayu;56412
16507;Jawa Tengah;Kabupaten;Magelang;Muntilan;Sokorini;56415
16508;Jawa Tengah;Kabupaten;Magelang;Muntilan;Sriwedari;56415
16509;Jawa Tengah;Kabupaten;Magelang;Muntilan;Tamanagung;56413
16510;Jawa Tengah;Kabupaten;Magelang;Muntilan;Tanjung;56415
16511;Jawa Tengah;Kabupaten;Magelang;Mungkid;Ambartawang;56512
16512;Jawa Tengah;Kabupaten;Magelang;Mungkid;Blondo;56512
16513;Jawa Tengah;Kabupaten;Magelang;Mungkid;Bojong;56512
16514;Jawa Tengah;Kabupaten;Magelang;Mungkid;Bumirejo;56512
16515;Jawa Tengah;Kabupaten;Magelang;Mungkid;Gondang;56512
16516;Jawa Tengah;Kabupaten;Magelang;Mungkid;Mendut;56512
16517;Jawa Tengah;Kabupaten;Magelang;Mungkid;Mungkid;56512
16518;Jawa Tengah;Kabupaten;Magelang;Mungkid;Ngrajek;56512
16519;Jawa Tengah;Kabupaten;Magelang;Mungkid;Pabelan;56512
16520;Jawa Tengah;Kabupaten;Magelang;Mungkid;Pagersari;56512
16521;Jawa Tengah;Kabupaten;Magelang;Mungkid;Paremono;56512
16522;Jawa Tengah;Kabupaten;Magelang;Mungkid;Progowati;56512
16523;Jawa Tengah;Kabupaten;Magelang;Mungkid;Rambeanak;56512
16524;Jawa Tengah;Kabupaten;Magelang;Mungkid;Sawitan;56511
16525;Jawa Tengah;Kabupaten;Magelang;Mungkid;Senden;56512
16526;Jawa Tengah;Kabupaten;Magelang;Mungkid;Treko;56512
16527;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Binangun;53352
16528;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Bojong;53352
16529;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Campakoah;53352
16530;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Cipaku;53352
16531;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Karang Nangka;53352
16532;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Karangturi;53352
16533;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Kradenan;53352
16534;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Lambur;53352
16535;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Mangunegara;53352
16536;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Mrebet;53352
16537;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Onje;53352
16538;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Pager Andong;53352
16539;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Pengalusan;53352
16540;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Sangkanayu;53352
16541;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Selaganggeng;53352
16542;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Serayu Karanganyar;53352
16543;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Serayu Larangan;53352
16544;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Sindang;53352
16545;Jawa Tengah;Kabupaten;Purbalingga;Mrebet;Tangkisan;53352
16546;Jawa Tengah;Kabupaten;Demak;Mranggen;Bandungrejo;59567
16547;Jawa Tengah;Kabupaten;Demak;Mranggen;Banyumeneng;59567
16548;Jawa Tengah;Kabupaten;Demak;Mranggen;Batursari;59567
16549;Jawa Tengah;Kabupaten;Demak;Mranggen;Brumbung;59567
16550;Jawa Tengah;Kabupaten;Demak;Mranggen;Candisari;59567
16551;Jawa Tengah;Kabupaten;Demak;Mranggen;Jamus;59567
16552;Jawa Tengah;Kabupaten;Demak;Mranggen;Kalitengah;59567
16553;Jawa Tengah;Kabupaten;Demak;Mranggen;Kangkung;59567
16554;Jawa Tengah;Kabupaten;Demak;Mranggen;Karangsono;59567
16555;Jawa Tengah;Kabupaten;Demak;Mranggen;Kebonbatur;59567
16556;Jawa Tengah;Kabupaten;Demak;Mranggen;Kembangarum;59567
16557;Jawa Tengah;Kabupaten;Demak;Mranggen;Menur;59567
16558;Jawa Tengah;Kabupaten;Demak;Mranggen;Mranggen;59567
16559;Jawa Tengah;Kabupaten;Demak;Mranggen;Ngemplak;59567
16560;Jawa Tengah;Kabupaten;Demak;Mranggen;Sumberejo;59567
16561;Jawa Tengah;Kabupaten;Demak;Mranggen;Tamansari;59567
16562;Jawa Tengah;Kabupaten;Demak;Mranggen;Tegalarum;59567
16563;Jawa Tengah;Kabupaten;Demak;Mranggen;Waru;59567
16564;Jawa Tengah;Kabupaten;Demak;Mranggen;Wringin Jajar;59567
16565;Jawa Tengah;Kabupaten;Sragen;Mondokan;Gemantar;57271
16566;Jawa Tengah;Kabupaten;Sragen;Mondokan;Jambangan;57271
16567;Jawa Tengah;Kabupaten;Sragen;Mondokan;Jekani;57271
16568;Jawa Tengah;Kabupaten;Sragen;Mondokan;Kedawung;57271
16569;Jawa Tengah;Kabupaten;Sragen;Mondokan;Pare;57271
16570;Jawa Tengah;Kabupaten;Sragen;Mondokan;Sono;57271
16571;Jawa Tengah;Kabupaten;Sragen;Mondokan;Sumberejo;57271
16572;Jawa Tengah;Kabupaten;Sragen;Mondokan;Tempelrejo;57271
16573;Jawa Tengah;Kabupaten;Sragen;Mondokan;Trombol;57271
16574;Jawa Tengah;Kabupaten;Wonosobo;Mojotengah;Andongsili;56351
