No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
17000;Jawa Tengah;Kabupaten;Batang;Limpung;Limpung;51271
17001;Jawa Tengah;Kabupaten;Batang;Limpung;Ngaliyan;51271
17002;Jawa Tengah;Kabupaten;Batang;Limpung;Plumbon;51271
17003;Jawa Tengah;Kabupaten;Batang;Limpung;Pungangan;51271
17004;Jawa Tengah;Kabupaten;Batang;Limpung;Rowosari;51271
17005;Jawa Tengah;Kabupaten;Batang;Limpung;Sempu;51271
17006;Jawa Tengah;Kabupaten;Batang;Limpung;Sidomulyo;51271
17007;Jawa Tengah;Kabupaten;Batang;Limpung;Sukorejo;51271
17008;Jawa Tengah;Kabupaten;Batang;Limpung;Tembok;51271
17009;Jawa Tengah;Kabupaten;Kendal;Limbangan;Gondang;51383
17010;Jawa Tengah;Kabupaten;Kendal;Limbangan;Gonoharjo;51383
17011;Jawa Tengah;Kabupaten;Kendal;Limbangan;Jawisari;51383
17012;Jawa Tengah;Kabupaten;Kendal;Limbangan;Kedungboto;51383
17013;Jawa Tengah;Kabupaten;Kendal;Limbangan;Limbangan;51383
17014;Jawa Tengah;Kabupaten;Kendal;Limbangan;Margosari;51383
17015;Jawa Tengah;Kabupaten;Kendal;Limbangan;Ngesrepbalong;51383
17016;Jawa Tengah;Kabupaten;Kendal;Limbangan;Pagertoyo;51383
17017;Jawa Tengah;Kabupaten;Kendal;Limbangan;Pagerwojo;51383
17018;Jawa Tengah;Kabupaten;Kendal;Limbangan;Pakis;51383
17019;Jawa Tengah;Kabupaten;Kendal;Limbangan;Peron;51383
17020;Jawa Tengah;Kabupaten;Kendal;Limbangan;Sriwulan;51383
17021;Jawa Tengah;Kabupaten;Kendal;Limbangan;Sumber Rahayu;51383
17022;Jawa Tengah;Kabupaten;Kendal;Limbangan;Tabet;51383
17023;Jawa Tengah;Kabupaten;Kendal;Limbangan;Tamanrejo;51383
17024;Jawa Tengah;Kabupaten;Kendal;Limbangan;Tambahsari;51383
17025;Jawa Tengah;Kabupaten;Wonosobo;Leksono;Besani;56362
17026;Jawa Tengah;Kabupaten;Wonosobo;Leksono;Durensawit;56362
17027;Jawa Tengah;Kabupaten;Wonosobo;Leksono;Jlamprang;56362
17028;Jawa Tengah;Kabupaten;Wonosobo;Leksono;Jonggolsari;56362
17029;Jawa Tengah;Kabupaten;Wonosobo;Leksono;Kalimendong;56362
