No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
17500;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Bejiarum;56371
17501;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Bojasari;56371
17502;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Candimulyo;56371
17503;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Candiyasan;56371
17504;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Damarkasian;56371
17505;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Kapencar;56371
17506;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Karangluhur;56371
17507;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Kertek;56371
17508;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Ngadikusuman;56371
17509;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Pagerejo;56371
17510;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Purbosono;56371
17511;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Purwojati;56371
17512;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Reco;56371
17513;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Sindupaten;56371
17514;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Sudungdewo;56371
17515;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Sumberdalem;56371
17516;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Surengede;56371
17517;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Tlogodalem;56371
17518;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Tlogomulyo;56371
17519;Jawa Tengah;Kabupaten;Wonosobo;Kertek;Wringinanom;56371
17520;Jawa Tengah;Kabupaten;Purbalingga;Kertanegara;Adiarsa;53354
17521;Jawa Tengah;Kabupaten;Purbalingga;Kertanegara;Condong;53354
17522;Jawa Tengah;Kabupaten;Purbalingga;Kertanegara;Darma;53354
17523;Jawa Tengah;Kabupaten;Purbalingga;Kertanegara;Karang Tengah;53354
17524;Jawa Tengah;Kabupaten;Purbalingga;Kertanegara;Karangasem;53354
17525;Jawa Tengah;Kabupaten;Purbalingga;Kertanegara;Karangpucung;53354
17526;Jawa Tengah;Kabupaten;Purbalingga;Kertanegara;Kasih;53354
17527;Jawa Tengah;Kabupaten;Purbalingga;Kertanegara;Kertanegara;53354
17528;Jawa Tengah;Kabupaten;Purbalingga;Kertanegara;Krangean;53354
17529;Jawa Tengah;Kabupaten;Purbalingga;Kertanegara;Langkap;53354
17530;Jawa Tengah;Kabupaten;Purbalingga;Kertanegara;Margasana (Mergasana);53354
17531;Jawa Tengah;Kabupaten;Brebes;Kersana;Ciampel;52264
17532;Jawa Tengah;Kabupaten;Brebes;Kersana;Cigedog;52264
17533;Jawa Tengah;Kabupaten;Brebes;Kersana;Cikandang;52264
17534;Jawa Tengah;Kabupaten;Brebes;Kersana;Jagapura;52264
17535;Jawa Tengah;Kabupaten;Brebes;Kersana;Kemukten;52264
17536;Jawa Tengah;Kabupaten;Brebes;Kersana;Kersana;52264
17537;Jawa Tengah;Kabupaten;Brebes;Kersana;Kradenan;52264
17538;Jawa Tengah;Kabupaten;Brebes;Kersana;Kramatsampang;52264
17539;Jawa Tengah;Kabupaten;Brebes;Kersana;Kubangpari;52264
17540;Jawa Tengah;Kabupaten;Brebes;Kersana;Limbangan;52264
17541;Jawa Tengah;Kabupaten;Brebes;Kersana;Pende;52264
17542;Jawa Tengah;Kabupaten;Brebes;Kersana;Sindangjaya;52264
17543;Jawa Tengah;Kabupaten;Brebes;Kersana;Sutamaja;52264
17544;Jawa Tengah;Kabupaten;Karanganyar;Kerjo;Botok;57753
17545;Jawa Tengah;Kabupaten;Karanganyar;Kerjo;Ganten;57753
17546;Jawa Tengah;Kabupaten;Karanganyar;Kerjo;Gempolan;57753
17547;Jawa Tengah;Kabupaten;Karanganyar;Kerjo;Karangrejo;57711
17548;Jawa Tengah;Kabupaten;Karanganyar;Kerjo;Kuto;57753
17549;Jawa Tengah;Kabupaten;Karanganyar;Kerjo;Kwadungan;57753
17550;Jawa Tengah;Kabupaten;Karanganyar;Kerjo;Plosorejo;57753
17551;Jawa Tengah;Kabupaten;Karanganyar;Kerjo;Sumberejo;57753
17552;Jawa Tengah;Kabupaten;Karanganyar;Kerjo;Tamansari;57753
17553;Jawa Tengah;Kabupaten;Karanganyar;Kerjo;Tawangsari;57753
17554;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Bener;56374
17555;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Beran;56374
17556;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Burat;56374
17557;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Gadingrejo;56374
17558;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Gadingsukuh;56374
17559;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Gondowulan;56374
17560;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Jangkrikan;56374
17561;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Kagungan;56374
17562;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Kalipuru;56374
17563;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Kaliwuluh;56374
17564;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Kapulogo;56374
17565;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Kepil;56374
17566;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Ngalian;56374
17567;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Pulosaren;56374
17568;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Randusari;56374
17569;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Rejosari;56374
17570;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Ropoh;56374
17571;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Tanjunganom;56374
17572;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Tegalgot;56374
17573;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Teges Wetan;56374
17574;Jawa Tengah;Kabupaten;Wonosobo;Kepil;Warangan;56374
17575;Jawa Tengah;Kabupaten;Kendal;Kendal;Balok;51312
17576;Jawa Tengah;Kabupaten;Kendal;Kendal;Bandengan;51312
17577;Jawa Tengah;Kabupaten;Kendal;Kendal;Banyutowo;51319
17578;Jawa Tengah;Kabupaten;Kendal;Kendal;Bugangin;51314
17579;Jawa Tengah;Kabupaten;Kendal;Kendal;Candiroto;51317
17580;Jawa Tengah;Kabupaten;Kendal;Kendal;Jetis;51315
17581;Jawa Tengah;Kabupaten;Kendal;Kendal;Jotang;51316
17582;Jawa Tengah;Kabupaten;Kendal;Kendal;Kalibuntu Wetan;51318
17583;Jawa Tengah;Kabupaten;Kendal;Kendal;Karang Sari;51319
17584;Jawa Tengah;Kabupaten;Kendal;Kendal;Kebondalem;51318
17585;Jawa Tengah;Kabupaten;Kendal;Kendal;Ketapang;51319
17586;Jawa Tengah;Kabupaten;Kendal;Kendal;Langenharjo;51314
17587;Jawa Tengah;Kabupaten;Kendal;Kendal;Ngilir;51311
17588;Jawa Tengah;Kabupaten;Kendal;Kendal;Pakauman;51319
17589;Jawa Tengah;Kabupaten;Kendal;Kendal;Patukangan;51311
17590;Jawa Tengah;Kabupaten;Kendal;Kendal;Pegulon;51313
17591;Jawa Tengah;Kabupaten;Kendal;Kendal;Sijeruk;51315
17592;Jawa Tengah;Kabupaten;Kendal;Kendal;Sukodono;51317
17593;Jawa Tengah;Kabupaten;Kendal;Kendal;Trompo;51317
17594;Jawa Tengah;Kabupaten;Kendal;Kendal;Tunggulrejo;51316
17595;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Bawu;57383
17596;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Genengsari;57383
17597;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Guwo;57383
17598;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Kauman;57383
17599;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Kedungmulyo;57383
17600;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Kedungrejo;57383
17601;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Kemusu;57383
17602;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Kendel;57383
17603;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Klewor;57383
17604;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Lemahireng;57383
17605;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Sarimulyo;57383
17606;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Watugede;57383
17607;Jawa Tengah;Kabupaten;Boyolali;Kemusu;Wonoharjo (Wanoharjo);57383
17608;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Alasmalang;53194
17609;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Grujugan;53194
17610;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Karanggintung;53194
17611;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Karangjati;53194
17612;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Karangsalam;53194
17613;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Kebarongan;53194
17614;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Kecila;53194
17615;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Kedungpring;53194
17616;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Nusamangir;53194
17617;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Pageralang;53194
17618;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Petarangan;53194
17619;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Sibalung;53194
17620;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Sibrama;53194
17621;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Sidamulya;53194
17622;Jawa Tengah;Kabupaten;Banyumas;Kemranjen;Sirau;53194
17623;Jawa Tengah;Kabupaten;Purworejo;Kemiri;Bedono Karangduwur;54262
17624;Jawa Tengah;Kabupaten;Purworejo;Kemiri;Bedono Kluwung;54262
17625;Jawa Tengah;Kabupaten;Purworejo;Kemiri;Bedono Pageron;54262
17626;Jawa Tengah;Kabupaten;Purworejo;Kemiri;Dilem;54262
17627;Jawa Tengah;Kabupaten;Purworejo;Kemiri;Gedong;54262
