No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
18000;Jawa Tengah;Kabupaten;Sukoharjo;Kartasura;Wirogunan;57166
18001;Jawa Tengah;Kabupaten;Jepara;Karimunjawa;Karimunjawa;59455
18002;Jawa Tengah;Kabupaten;Jepara;Karimunjawa;Kemojan (Kemujan);59455
18003;Jawa Tengah;Kabupaten;Jepara;Karimunjawa;Nyamuk;59455
18004;Jawa Tengah;Kabupaten;Jepara;Karimunjawa;Parang;59455
18005;Jawa Tengah;Kabupaten;Wonogiri;Karangtengah;Jeblogan;57677
18006;Jawa Tengah;Kabupaten;Wonogiri;Karangtengah;Karangtengah;57677
18007;Jawa Tengah;Kabupaten;Wonogiri;Karangtengah;Ngambarsari;57677
18008;Jawa Tengah;Kabupaten;Wonogiri;Karangtengah;Purwoharjo;57677
18009;Jawa Tengah;Kabupaten;Wonogiri;Karangtengah;Temboro;57677
18010;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Banioro;54353
18011;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Kaligending;54353
18012;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Kalisana;54353
18013;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Karangsambung;54353
18014;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Kedungwaru;54353
18015;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Langse;54353
18016;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Pencil;54353
18017;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Plumbon;54353
18018;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Pujotirto;54353
18019;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Seling;54353
18020;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Tlepok;54353
18021;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Totogan;54353
18022;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Wadasmalang;54353
18023;Jawa Tengah;Kabupaten;Kebumen;Karangsambung;Widoro;54353
18024;Jawa Tengah;Kabupaten;Purbalingga;Karangreja;Gondang;53357
18025;Jawa Tengah;Kabupaten;Purbalingga;Karangreja;Karangreja;53357
18026;Jawa Tengah;Kabupaten;Purbalingga;Karangreja;Kutabawa;53357
18027;Jawa Tengah;Kabupaten;Purbalingga;Karangreja;Serang;53357
18028;Jawa Tengah;Kabupaten;Purbalingga;Karangreja;Siwarak;53357
18029;Jawa Tengah;Kabupaten;Purbalingga;Karangreja;Tlahab Kidul;53357
18030;Jawa Tengah;Kabupaten;Purbalingga;Karangreja;Tlahab Lor;53357
18031;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Cekel;58163
18032;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Dempel;58163
18033;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Gunung Tumpeng;58163
18034;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Jetis;58163
18035;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Karanganyar;58163
18036;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Karangsono;58163
18037;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Ketro;58163
18038;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Mangin;58163
18039;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Mojoagung;58163
18040;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Nampu;58163
18041;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Pangkalan;58163
18042;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Parakan;58163
18043;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Putatnganten;58163
18044;Jawa Tengah;Kabupaten;Grobogan;Karangrayung;Rawoh;58163
