No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
18500;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Grecol;53371
18501;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Jompo;53371
18502;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Kalikabong;53321
18503;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Kalimanah Kulon;53371
18504;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Kalimanah Wetan;53371
18505;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Karangmanyar;53371
18506;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Karangpetir;53371
18507;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Karangsari;53371
18508;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Kedungwuluh;53371
18509;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Klapasawit;53371
18510;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Manduraga;53371
18511;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Mewek;53371
18512;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Rabak;53371
18513;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Selabaya;53371
18514;Jawa Tengah;Kabupaten;Purbalingga;Kalimanah;Sidakangen;53371
18515;Jawa Tengah;Kabupaten;Klaten;Kalikotes;Gemblegan;57451
18516;Jawa Tengah;Kabupaten;Klaten;Kalikotes;Jimbung;57451
18517;Jawa Tengah;Kabupaten;Klaten;Kalikotes;Jogosetran;57451
18518;Jawa Tengah;Kabupaten;Klaten;Kalikotes;Kalikotes;57451
18519;Jawa Tengah;Kabupaten;Klaten;Kalikotes;Krajan;57451
18520;Jawa Tengah;Kabupaten;Klaten;Kalikotes;Ngemplak;57451
18521;Jawa Tengah;Kabupaten;Klaten;Kalikotes;Tambongwetan;57451
18522;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Bowongso;56372
18523;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Butuh;56372
18524;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Butuh Kidul;56372
18525;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Kalikajar;56372
18526;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Kalikuning;56372
18527;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Karangduwur;56372
18528;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Kedalon;56372
18529;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Kembaran;56372
18530;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Kwadungan;56372
18531;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Lamuk;56372
18532;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Maduretno;56372
18533;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Mangunrejo;56372
18534;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Mungkung;56372
18535;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Perboto;56372
18536;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Purwojiwo;56372
18537;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Rejosari;56372
18538;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Simbang;56372
18539;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Tegalombo;56372
18540;Jawa Tengah;Kabupaten;Wonosobo;Kalikajar;Wonosari;56372
18541;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Banaran;57275
18542;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Bukuran;57275
18543;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Donoyudan;57275
18544;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Jetis Karangpung;57275
18545;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Kalimacan;57275
18546;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Karangjati;57275
18547;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Keden;57275
18548;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Krikilan;57275
18549;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Ngebung;57275
18550;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Samberembe;57275
18551;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Saren;57275
18552;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Tegalombo;57275
18553;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Trobayan;57275
18554;Jawa Tengah;Kabupaten;Sragen;Kalijambe;Wonorejo;57275
18555;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Arenan;53391
18556;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Brecek;53391
18557;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Cilapar;53391
18558;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Kaligondang;53391
18559;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Kalikajar;53391
18560;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Kembaran Wetan;53391
18561;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Lamongan;53391
18562;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Pagerandong;53391
18563;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Penaruban;53331
18564;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Penolih;53391
18565;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Selakambang;53391
18566;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Selanegara;53391
18567;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Sempor Lor;53391
18568;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Sidanegara;53391
18569;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Sidareja;53391
18570;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Sinduraja;53391
18571;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Slinga;53391
18572;Jawa Tengah;Kabupaten;Purbalingga;Kaligondang;Tejasari;53391
18573;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Donorejo;54175
18574;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Gunungwangi;54175
18575;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Hardimulyo;54175
18576;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Hulosobo;54175
18577;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Jatirejo;54175
18578;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Jelok;54175
18579;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Kaligono;54175
18580;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Kaliharjo;54175
18581;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Kedunggubah;54175
18582;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Ngadirejo;54175
18583;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Ngaran;54175
18584;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Pandanrejo;54175
18585;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Pucungroto;54175
18586;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Purbowono;54175
18587;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Somongari;54175
18588;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Somowono;54175
18589;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Sudorogo;54175
18590;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Tawangsari;54175
18591;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Tlogo Rejo;54175
18592;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Tlogobulu;54175
18593;Jawa Tengah;Kabupaten;Purworejo;Kaligesing;Tlogoguwo;54175
18594;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Asinan;53458
18595;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Bedana;53458
18596;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Gununglangit;53458
18597;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Kalibening;53458
18598;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Kalibombong;53458
18599;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Kalisat Kidul;53458
18600;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Karang Anyar;53458
18601;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Kasinoman;53458
18602;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Kertasari;53458
18603;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Majatengah;53458
18604;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Plorengan;53458
18605;Jawa Tengah;Kabupaten;Banjarnegara;Kalibening;Sembawa;53458
