No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
19000;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Argatawang;52473
19001;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Capar;52473
19002;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Cerih;52473
19003;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Dukuhbangsa;52473
19004;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Gantungan;52473
19005;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Jatinegara;52473
19006;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Kedungwungu;52473
19007;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Lebakwangi;52473
19008;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Lembahsari;52473
19009;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Luwijawa;52473
19010;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Mokaha;52473
19011;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Padasari;52473
19012;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Penyalahan;52473
19013;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Setail;52473
19014;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Sumbarang;52473
19015;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Tamansari;52473
19016;Jawa Tengah;Kabupaten;Tegal;Jatinegara;Wotgalih;52473
19017;Jawa Tengah;Kabupaten;Banyumas;Jatilawang;Adisara;53174
19018;Jawa Tengah;Kabupaten;Banyumas;Jatilawang;Bantar;53174
19019;Jawa Tengah;Kabupaten;Banyumas;Jatilawang;Gentawangi;53174
19020;Jawa Tengah;Kabupaten;Banyumas;Jatilawang;Gunung Wetan;53174
19021;Jawa Tengah;Kabupaten;Banyumas;Jatilawang;Karanganyar;53174
19022;Jawa Tengah;Kabupaten;Banyumas;Jatilawang;Karanglewas;53174
19023;Jawa Tengah;Kabupaten;Banyumas;Jatilawang;Kedungwringin;53174
19024;Jawa Tengah;Kabupaten;Banyumas;Jatilawang;Margasana;53174
19025;Jawa Tengah;Kabupaten;Banyumas;Jatilawang;Pekuncen;53174
19026;Jawa Tengah;Kabupaten;Banyumas;Jatilawang;Tinggarjaya;53174
19027;Jawa Tengah;Kabupaten;Banyumas;Jatilawang;Tunjung (Tanjung);53174
19028;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Bojong;52261
19029;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Buaran;52261
19030;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Janegara;52261
19031;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Jatibarang Kidul;52261
19032;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Jatibarang Lor;52261
19033;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Kalialang;52261
19034;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Kalipucang;52261
19035;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Karanglo;52261
19036;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Kebogadung;52261
19037;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Kebonagung;52261
19038;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Kedungtukang;52261
19039;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Kemiriamba;52261
19040;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Kendawa;52261
19041;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Kertasinduyasa;52261
19042;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Klampis;52261
19043;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Klikiran;52261
19044;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Kramat;52261
19045;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Pamengger;52261
19046;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Pedeslohor;52261
19047;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Rengasbandung;52261
19048;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Tegalwulung;52261
19049;Jawa Tengah;Kabupaten;Brebes;Jatibarang;Tembelang;52261
19050;Jawa Tengah;Kabupaten;Blora;Jati;Bangkleyan;58384
