No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
19500;Jawa Tengah;Kabupaten;Kendal;Gemuh;Cepokomulyo;51356
19501;Jawa Tengah;Kabupaten;Kendal;Gemuh;Galih;51356
19502;Jawa Tengah;Kabupaten;Kendal;Gemuh;Gebang;51356
19503;Jawa Tengah;Kabupaten;Kendal;Gemuh;Gemuhblanten;51356
19504;Jawa Tengah;Kabupaten;Kendal;Gemuh;Jenarsari;51356
19505;Jawa Tengah;Kabupaten;Kendal;Gemuh;Johorejo;51356
19506;Jawa Tengah;Kabupaten;Kendal;Gemuh;Krompaan;51356
19507;Jawa Tengah;Kabupaten;Kendal;Gemuh;Lumansari;51356
19508;Jawa Tengah;Kabupaten;Kendal;Gemuh;Pamriyan;51356
19509;Jawa Tengah;Kabupaten;Kendal;Gemuh;Poncorejo;51356
19510;Jawa Tengah;Kabupaten;Kendal;Gemuh;Pucangrejo;51356
19511;Jawa Tengah;Kabupaten;Kendal;Gemuh;Sedayu;51356
19512;Jawa Tengah;Kabupaten;Kendal;Gemuh;Sojomerto;51356
19513;Jawa Tengah;Kabupaten;Kendal;Gemuh;Tamangede;51356
19514;Jawa Tengah;Kabupaten;Kendal;Gemuh;Tlahab;51356
19515;Jawa Tengah;Kabupaten;Kendal;Gemuh;Triharjo;51356
19516;Jawa Tengah;Kabupaten;Sragen;Gemolong;Brangkal;57274
19517;Jawa Tengah;Kabupaten;Sragen;Gemolong;Gemolong;57274
19518;Jawa Tengah;Kabupaten;Sragen;Gemolong;Geneng Duwur;57274
19519;Jawa Tengah;Kabupaten;Sragen;Gemolong;Jatibatur;57274
19520;Jawa Tengah;Kabupaten;Sragen;Gemolong;Jenalas;57274
19521;Jawa Tengah;Kabupaten;Sragen;Gemolong;Kalangan;57274
19522;Jawa Tengah;Kabupaten;Sragen;Gemolong;Kaloran;57274
19523;Jawa Tengah;Kabupaten;Sragen;Gemolong;Kragilan;57274
19524;Jawa Tengah;Kabupaten;Sragen;Gemolong;Kwangen;57274
19525;Jawa Tengah;Kabupaten;Sragen;Gemolong;Nganti;57274
19526;Jawa Tengah;Kabupaten;Sragen;Gemolong;Ngembat Padas;57274
19527;Jawa Tengah;Kabupaten;Sragen;Gemolong;Peleman;57274
19528;Jawa Tengah;Kabupaten;Sragen;Gemolong;Purworejo;57274
19529;Jawa Tengah;Kabupaten;Sragen;Gemolong;Tegaldowo;57274
19530;Jawa Tengah;Kabupaten;Pati;Gembong;Bageng;59162
19531;Jawa Tengah;Kabupaten;Pati;Gembong;Bermi;59162
19532;Jawa Tengah;Kabupaten;Pati;Gembong;Gembong;59162
19533;Jawa Tengah;Kabupaten;Pati;Gembong;Kedungbulus;59162
19534;Jawa Tengah;Kabupaten;Pati;Gembong;Ketanggan;59162
19535;Jawa Tengah;Kabupaten;Pati;Gembong;Klakah Kasian;59162
19536;Jawa Tengah;Kabupaten;Pati;Gembong;Plukaran;59162
19537;Jawa Tengah;Kabupaten;Pati;Gembong;Pohgading;59162
19538;Jawa Tengah;Kabupaten;Pati;Gembong;Semirejo;59162
19539;Jawa Tengah;Kabupaten;Pati;Gembong;Sitiluhur;59162
19540;Jawa Tengah;Kabupaten;Pati;Gembong;Wonosekar;59162
19541;Jawa Tengah;Kabupaten;Temanggung;Gemawang;Banaran;56283
19542;Jawa Tengah;Kabupaten;Temanggung;Gemawang;Gemawang;56283
19543;Jawa Tengah;Kabupaten;Temanggung;Gemawang;Jambon;56283
19544;Jawa Tengah;Kabupaten;Temanggung;Gemawang;Kalibanger;56283
19545;Jawa Tengah;Kabupaten;Temanggung;Gemawang;Karangseneng;56283
19546;Jawa Tengah;Kabupaten;Temanggung;Gemawang;Kemiriombo;56283
19547;Jawa Tengah;Kabupaten;Temanggung;Gemawang;Krempong;56283
19548;Jawa Tengah;Kabupaten;Temanggung;Gemawang;Muncar;56283
19549;Jawa Tengah;Kabupaten;Temanggung;Gemawang;Ngadisepi;56283
19550;Jawa Tengah;Kabupaten;Temanggung;Gemawang;Sucen;56283
19551;Jawa Tengah;Kabupaten;Kudus;Gebog;Besito;59333
19552;Jawa Tengah;Kabupaten;Kudus;Gebog;Getasrabi;59333
19553;Jawa Tengah;Kabupaten;Kudus;Gebog;Gondosari;59333
19554;Jawa Tengah;Kabupaten;Kudus;Gebog;Gribig;59333
19555;Jawa Tengah;Kabupaten;Kudus;Gebog;Jurang;59333
19556;Jawa Tengah;Kabupaten;Kudus;Gebog;Karangmalang;59333
19557;Jawa Tengah;Kabupaten;Kudus;Gebog;Kedungsari;59333
19558;Jawa Tengah;Kabupaten;Kudus;Gebog;Klumpit;59333
19559;Jawa Tengah;Kabupaten;Kudus;Gebog;Menawan;59333
19560;Jawa Tengah;Kabupaten;Kudus;Gebog;Padurenan;59333
19561;Jawa Tengah;Kabupaten;Kudus;Gebog;Rahtawu;59333
19562;Jawa Tengah;Kabupaten;Purworejo;Gebang;Bendosari;54191
19563;Jawa Tengah;Kabupaten;Purworejo;Gebang;Bulus;54191
19564;Jawa Tengah;Kabupaten;Purworejo;Gebang;Gebang;54191
19565;Jawa Tengah;Kabupaten;Purworejo;Gebang;Gintungan;54191
19566;Jawa Tengah;Kabupaten;Purworejo;Gebang;Kalitengkek;54191
19567;Jawa Tengah;Kabupaten;Purworejo;Gebang;Kemiri;54262
19568;Jawa Tengah;Kabupaten;Purworejo;Gebang;Kragilan;54191
19569;Jawa Tengah;Kabupaten;Purworejo;Gebang;Kroyo;54191
19570;Jawa Tengah;Kabupaten;Purworejo;Gebang;Lugosobo;54191
19571;Jawa Tengah;Kabupaten;Purworejo;Gebang;Mlaran;54191
19572;Jawa Tengah;Kabupaten;Purworejo;Gebang;Ngaglik;54191
19573;Jawa Tengah;Kabupaten;Purworejo;Gebang;Ngemplak;54191
19574;Jawa Tengah;Kabupaten;Purworejo;Gebang;Pakem;54191
19575;Jawa Tengah;Kabupaten;Purworejo;Gebang;Pelutan;54191
19576;Jawa Tengah;Kabupaten;Purworejo;Gebang;Penungkulan;54191
19577;Jawa Tengah;Kabupaten;Purworejo;Gebang;Prumben;54191
19578;Jawa Tengah;Kabupaten;Purworejo;Gebang;Redin;54191
19579;Jawa Tengah;Kabupaten;Purworejo;Gebang;Rendeng;54191
19580;Jawa Tengah;Kabupaten;Purworejo;Gebang;Salam;54191
19581;Jawa Tengah;Kabupaten;Purworejo;Gebang;Seren;54191
19582;Jawa Tengah;Kabupaten;Purworejo;Gebang;Sidoleren;54191
19583;Jawa Tengah;Kabupaten;Purworejo;Gebang;Tlogosono;54191
19584;Jawa Tengah;Kabupaten;Purworejo;Gebang;Winong Kidul;54191
19585;Jawa Tengah;Kabupaten;Purworejo;Gebang;Winong Lor;54191
19586;Jawa Tengah;Kabupaten;Purworejo;Gebang;Wonotopo;54191
19587;Jawa Tengah;Kota;Semarang;Gayamsari;Gayamsari;50248
19588;Jawa Tengah;Kota;Semarang;Gayamsari;Kaligawe;50164
19589;Jawa Tengah;Kota;Semarang;Gayamsari;Pandean Lamper;50249
19590;Jawa Tengah;Kota;Semarang;Gayamsari;Sambirejo;50166
19591;Jawa Tengah;Kota;Semarang;Gayamsari;Sawahbesar;50163
19592;Jawa Tengah;Kota;Semarang;Gayamsari;Siwalan;50162
19593;Jawa Tengah;Kota;Semarang;Gayamsari;Tambakrejo;50174
19594;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Blimbing;57557
19595;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Geneng;57557
19596;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Jati;57557
19597;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Kagokan;57557
19598;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Klaseman;57557
19599;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Krajan;57557
19600;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Luwang;57557
19601;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Mayang;57557
19602;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Sanggung;57557
19603;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Sraten;57557
19604;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Tempel;57557
19605;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Trangsan;57557
19606;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Trosemi;57557
19607;Jawa Tengah;Kabupaten;Sukoharjo;Gatak;Wironanggan;57557
19608;Jawa Tengah;Kabupaten;Wonosobo;Garung;Garung;56353
19609;Jawa Tengah;Kabupaten;Wonosobo;Garung;Gemblengan;56353
19610;Jawa Tengah;Kabupaten;Wonosobo;Garung;Jengkol;56353
19611;Jawa Tengah;Kabupaten;Wonosobo;Garung;Kayugiyang;56353
19612;Jawa Tengah;Kabupaten;Wonosobo;Garung;Kuripan;56353
19613;Jawa Tengah;Kabupaten;Wonosobo;Garung;Larangan Lor;56353
19614;Jawa Tengah;Kabupaten;Wonosobo;Garung;Lengkong;56353
19615;Jawa Tengah;Kabupaten;Wonosobo;Garung;Maron;56353
19616;Jawa Tengah;Kabupaten;Wonosobo;Garung;Menjer;56353
19617;Jawa Tengah;Kabupaten;Wonosobo;Garung;Mlandi;56353
19618;Jawa Tengah;Kabupaten;Wonosobo;Garung;Sendangsari;56353
19619;Jawa Tengah;Kabupaten;Wonosobo;Garung;Sitiharjo;56353
19620;Jawa Tengah;Kabupaten;Wonosobo;Garung;Siwuran;56353
19621;Jawa Tengah;Kabupaten;Wonosobo;Garung;Tegalsari;56353
19622;Jawa Tengah;Kabupaten;Wonosobo;Garung;Tlogo;56353
19623;Jawa Tengah;Kabupaten;Klaten;Gantiwarno;Baturan;57455
19624;Jawa Tengah;Kabupaten;Klaten;Gantiwarno;Ceporan;57455
19625;Jawa Tengah;Kabupaten;Klaten;Gantiwarno;Gentan;57455
19626;Jawa Tengah;Kabupaten;Klaten;Gantiwarno;Gesikan;57455
19627;Jawa Tengah;Kabupaten;Klaten;Gantiwarno;Jabung;57455
19628;Jawa Tengah;Kabupaten;Klaten;Gantiwarno;Jogoprayan;57455
