No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
20000;Jawa Tengah;Kabupaten;Blora;Cepu;Jipang;58315
20001;Jawa Tengah;Kabupaten;Blora;Cepu;Kapuan;58315
20002;Jawa Tengah;Kabupaten;Blora;Cepu;Karangboyo;58315
20003;Jawa Tengah;Kabupaten;Blora;Cepu;Kentong;58315
20004;Jawa Tengah;Kabupaten;Blora;Cepu;Mernung;58315
20005;Jawa Tengah;Kabupaten;Blora;Cepu;Mulyorejo;58315
20006;Jawa Tengah;Kabupaten;Blora;Cepu;Ngelo;58313
20007;Jawa Tengah;Kabupaten;Blora;Cepu;Nglanjuk;58315
20008;Jawa Tengah;Kabupaten;Blora;Cepu;Ngloram;58315
20009;Jawa Tengah;Kabupaten;Blora;Cepu;Ngroto;58314
20010;Jawa Tengah;Kabupaten;Blora;Cepu;Sumberpitu;58315
20011;Jawa Tengah;Kabupaten;Blora;Cepu;Tambakromo;58315
20012;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Bakulan;57362
20013;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Cabean Kunti;57362
20014;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Candigatak;57362
20015;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Cepogo;57362
20016;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Gedangan;57362
20017;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Genting;57362
20018;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Gubug;57362
20019;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Jelok;57362
20020;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Jombong;57362
20021;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Kembang Kuning;57362
20022;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Mliwis;57362
20023;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Paras;57362
20024;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Sukabumi;57362
20025;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Sumbung;57362
20026;Jawa Tengah;Kabupaten;Boyolali;Cepogo;Wonodoyo;57362
20027;Jawa Tengah;Kabupaten;Kendal;Cepiring;Botomulyo;51352
20028;Jawa Tengah;Kabupaten;Kendal;Cepiring;Cepiring;51352
