No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
20500;Jawa Tengah;Kabupaten;Tegal;Bojong;Gunungjati;52465
20501;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Jajar Wayang;51156
20502;Jawa Tengah;Kabupaten;Tegal;Bojong;Kajenengan;52465
20503;Jawa Tengah;Kabupaten;Tegal;Bojong;Kalijambu;52465
20504;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Kalipancur;51156
20505;Jawa Tengah;Kabupaten;Tegal;Bojong;Karangmulyo;52465
20506;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Karangsari;51156
20507;Jawa Tengah;Kabupaten;Tegal;Bojong;Kedawung;52465
20508;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Kemasan;51156
20509;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Ketitang Kidul;51156
20510;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Ketitanglor;51156
20511;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Legok Clile;51156
20512;Jawa Tengah;Kabupaten;Tegal;Bojong;Lengkong;52465
20513;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Menjangan;51156
20514;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Pantianom;51156
20515;Jawa Tengah;Kabupaten;Tegal;Bojong;Pucang Luwuk;52465
20516;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Randu Muktiwaren;51156
20517;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Rejosari;51156
20518;Jawa Tengah;Kabupaten;Tegal;Bojong;Rembul;52465
20519;Jawa Tengah;Kabupaten;Tegal;Bojong;Sangkanayu;52465
20520;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Sembung Jambu;51156
20521;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Sumur Jomblangbogo;51156
20522;Jawa Tengah;Kabupaten;Tegal;Bojong;Suniarsih;52465
20523;Jawa Tengah;Kabupaten;Tegal;Bojong;Tuwel;52465
20524;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Wangandowo;51156
20525;Jawa Tengah;Kabupaten;Pekalongan;Bojong;Wiroditan;51156
20526;Jawa Tengah;Kabupaten;Kendal;Boja;Banjarejo;51381
20527;Jawa Tengah;Kabupaten;Kendal;Boja;Bebengan;51381
20528;Jawa Tengah;Kabupaten;Kendal;Boja;Blimbing;51381
20529;Jawa Tengah;Kabupaten;Kendal;Boja;Boja;51381
20530;Jawa Tengah;Kabupaten;Kendal;Boja;Campurejo;51381
20531;Jawa Tengah;Kabupaten;Kendal;Boja;Kaligading;51381
