No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
21000;Jawa Tengah;Kabupaten;Semarang;Banyubiru;Ngrapah;50664
21001;Jawa Tengah;Kabupaten;Semarang;Banyubiru;Rowoboni;50664
21002;Jawa Tengah;Kabupaten;Semarang;Banyubiru;Sepakung;50664
21003;Jawa Tengah;Kabupaten;Semarang;Banyubiru;Tegaron;50664
21004;Jawa Tengah;Kabupaten;Semarang;Banyubiru;Wirogomo;50664
21005;Jawa Tengah;Kabupaten;Cilacap;Bantarsari;Bantarsari;53281
21006;Jawa Tengah;Kabupaten;Cilacap;Bantarsari;Binangun;53281
21007;Jawa Tengah;Kabupaten;Cilacap;Bantarsari;Bulaksari;53281
21008;Jawa Tengah;Kabupaten;Cilacap;Bantarsari;Cikedondong;53281
21009;Jawa Tengah;Kabupaten;Cilacap;Bantarsari;Citembong;53281
21010;Jawa Tengah;Kabupaten;Cilacap;Bantarsari;Kamulyan;53281
21011;Jawa Tengah;Kabupaten;Cilacap;Bantarsari;Kedungwadas;53281
21012;Jawa Tengah;Kabupaten;Cilacap;Bantarsari;Rawajaya;53281
21013;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Bangbayang;52274
21014;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Banjarsari;52274
21015;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Bantarkawung;52274
21016;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Bantarwaru;52274
21017;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Cibentang;52274
21018;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Cinanas;52274
21019;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Ciomas;52274
21020;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Jipang;52274
21021;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Karangpari;52274
21022;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Kebandungan;52274
21023;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Legok;52274
21024;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Pangebatan;52274
21025;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Pengarasan;52274
21026;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Sindangwangi;52274
21027;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Tambakserang;52274
21028;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Telaga;52274
21029;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Terlaya;52274
21030;Jawa Tengah;Kabupaten;Brebes;Bantarkawung;Waru;52274
21031;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Banjarsari;52352
21032;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Bantarbolang;52352
21033;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Glandang;52352
21034;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Karanganyar;52352
21035;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Kebon Gede;52352
21036;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Kuta;52352
21037;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Lenggerong;52352
21038;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Pabuaran;52352
21039;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Paguyangan;52352
21040;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Pedagung;52352
21041;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Pegiringan;52352
21042;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Purana;52352
21043;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Sambeng;52352
21044;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Sarwodadi;52352
21045;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Sumurkidang;52352
21046;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Suru;52352
21047;Jawa Tengah;Kabupaten;Pemalang;Bantarbolang;Wanarata;52352
21048;Jawa Tengah;Kabupaten;Temanggung;Bansari;Balesari;56265
21049;Jawa Tengah;Kabupaten;Temanggung;Bansari;Bansari;56265
21050;Jawa Tengah;Kabupaten;Temanggung;Bansari;Campuranom;56265
21051;Jawa Tengah;Kabupaten;Temanggung;Bansari;Candisari;56265
21052;Jawa Tengah;Kabupaten;Temanggung;Bansari;Gentingsari;56265
21053;Jawa Tengah;Kabupaten;Temanggung;Bansari;Gunungsari;56265
21054;Jawa Tengah;Kabupaten;Temanggung;Bansari;Mojosari;56265
21055;Jawa Tengah;Kabupaten;Temanggung;Bansari;Mranggen Kidul;56265
21056;Jawa Tengah;Kabupaten;Temanggung;Bansari;Mranggen Tengah;56265
21057;Jawa Tengah;Kabupaten;Temanggung;Bansari;Purborejo;56265
21058;Jawa Tengah;Kabupaten;Temanggung;Bansari;Rejosari;56265
21059;Jawa Tengah;Kabupaten;Temanggung;Bansari;Tanurejo;56265
21060;Jawa Tengah;Kabupaten;Temanggung;Bansari;Tlogowero;56265
21061;Jawa Tengah;Kota;Surakarta;Banjarsari;Banyuanyar;57137
21062;Jawa Tengah;Kota;Surakarta;Banjarsari;Gilingan;57134
21063;Jawa Tengah;Kota;Surakarta;Banjarsari;Kadipiro;57136
21064;Jawa Tengah;Kota;Surakarta;Banjarsari;Keprabon;57131
21065;Jawa Tengah;Kota;Surakarta;Banjarsari;Kestalan;57133
21066;Jawa Tengah;Kota;Surakarta;Banjarsari;Ketelan;57132
21067;Jawa Tengah;Kota;Surakarta;Banjarsari;Manahan;57139
21068;Jawa Tengah;Kota;Surakarta;Banjarsari;Mangkubumen;57139
21069;Jawa Tengah;Kota;Surakarta;Banjarsari;Nusukan;57135
21070;Jawa Tengah;Kota;Surakarta;Banjarsari;Punggawan;57132
21071;Jawa Tengah;Kota;Surakarta;Banjarsari;Setabelan;57139
21072;Jawa Tengah;Kota;Surakarta;Banjarsari;Sumber;57138
21073;Jawa Tengah;Kota;Surakarta;Banjarsari;Timuran;57131
21074;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Ampelsari;53418
21075;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Argasoka;53418
21076;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Cendana;53418
21077;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Karangtengah;53416
21078;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Krandegan;53414
21079;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Kuta Banjarnegara;53418
21080;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Parakancanggah;53412
21081;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Semampir;53418
21082;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Semarang;53411
21083;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Sokanandi;53413
21084;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Sokayasa;53418
21085;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Tlagawera;53418
21086;Jawa Tengah;Kabupaten;Banjarnegara;Banjarnegara;Wangon;53417
21087;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Banjarkulon;53452
21088;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Banjarmangu;53452
21089;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Beji;53452
21090;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Gripit;53452
21091;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Jenggawur;53452
21092;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Kalilunjar;53452
21093;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Kendaga;53452
21094;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Kesenet;53452
21095;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Majatengah;53452
21096;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Paseh;53452
21097;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Pekandangan;53452
21098;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Prendengan;53452
21099;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Rejasari;53452
21100;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Sigeblog;53452
21101;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Sijenggung;53452
21102;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Sijeruk;53452
21103;Jawa Tengah;Kabupaten;Banjarnegara;Banjarmangu;Sipedang;53452
21104;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Bandungsari;52265
21105;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Banjar Lor;52265
21106;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Banjarharjo;52265
21107;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Blandongan;52265
21108;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Ciawi;52265
21109;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Cibendung;52265
21110;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Cibuniwangi;52265
21111;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Cigadung;52265
21112;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Cihaur;52265
21113;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Cikakak;52265
21114;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Cikuya;52265
21115;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Cimunding;52265
21116;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Cipajang;52265
21117;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Dukuhjeruk;52265
21118;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Karangmaja;52265
21119;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Kertasari;52265
21120;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Kubangjero;52265
21121;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Malahayu;52265
21122;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Parireja;52265
21123;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Penanggapan;52265
21124;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Pende;52265
21125;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Sindangheula;52265
21126;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Sukareja;52265
21127;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Tegalreja;52265
21128;Jawa Tengah;Kabupaten;Brebes;Banjarharjo;Tiwulandu;52265
21129;Jawa Tengah;Kabupaten;Blora;Banjarejo;Bacem;58253
21130;Jawa Tengah;Kabupaten;Blora;Banjarejo;Balongrejo;58253
21131;Jawa Tengah;Kabupaten;Blora;Banjarejo;Balongsari;58253
21132;Jawa Tengah;Kabupaten;Blora;Banjarejo;Banjarejo;58253
21133;Jawa Tengah;Kabupaten;Blora;Banjarejo;Buluroto;58253
21134;Jawa Tengah;Kabupaten;Blora;Banjarejo;Gedongsari;58253
21135;Jawa Tengah;Kabupaten;Blora;Banjarejo;Jatiklampok;58253
21136;Jawa Tengah;Kabupaten;Blora;Banjarejo;Jatisari;58253
21137;Jawa Tengah;Kabupaten;Blora;Banjarejo;Karangtalun;58253
21138;Jawa Tengah;Kabupaten;Blora;Banjarejo;Kebonrejo;58253
21139;Jawa Tengah;Kabupaten;Blora;Banjarejo;Kembang;58253
21140;Jawa Tengah;Kabupaten;Blora;Banjarejo;Klopoduwur;58253
21141;Jawa Tengah;Kabupaten;Blora;Banjarejo;Mojowetan;58253
21142;Jawa Tengah;Kabupaten;Blora;Banjarejo;Plosorejo;58253
21143;Jawa Tengah;Kabupaten;Blora;Banjarejo;Sembongin;58253
21144;Jawa Tengah;Kabupaten;Blora;Banjarejo;Sendanggayam;58253
21145;Jawa Tengah;Kabupaten;Blora;Banjarejo;Sendangwungu;58253
21146;Jawa Tengah;Kabupaten;Blora;Banjarejo;Sidomulyo;58253
21147;Jawa Tengah;Kabupaten;Blora;Banjarejo;Sumberagung;58253
21148;Jawa Tengah;Kabupaten;Blora;Banjarejo;Wonosemi;58253
21149;Jawa Tengah;Kabupaten;Jepara;Bangsri;Bangsri;59453
21150;Jawa Tengah;Kabupaten;Jepara;Bangsri;Banjar Agung;59453
21151;Jawa Tengah;Kabupaten;Jepara;Bangsri;Banjaran;59453
21152;Jawa Tengah;Kabupaten;Jepara;Bangsri;Bondo;59453
21153;Jawa Tengah;Kabupaten;Jepara;Bangsri;Guyangan;59453
21154;Jawa Tengah;Kabupaten;Jepara;Bangsri;Jerukwangi;59453
21155;Jawa Tengah;Kabupaten;Jepara;Bangsri;Kedungleper;59453
21156;Jawa Tengah;Kabupaten;Jepara;Bangsri;Kepuk;59453
21157;Jawa Tengah;Kabupaten;Jepara;Bangsri;Papasan;59453
21158;Jawa Tengah;Kabupaten;Jepara;Bangsri;Srikandang;59453
21159;Jawa Tengah;Kabupaten;Jepara;Bangsri;Tengguli;59453
21160;Jawa Tengah;Kabupaten;Jepara;Bangsri;Wedelan;59453
21161;Jawa Tengah;Kabupaten;Semarang;Bandungan;Bandungan;50614
21162;Jawa Tengah;Kabupaten;Semarang;Bandungan;Banyukuning;50663
21163;Jawa Tengah;Kabupaten;Semarang;Bandungan;Candi;50614
21164;Jawa Tengah;Kabupaten;Semarang;Bandungan;Duren;50614
21165;Jawa Tengah;Kabupaten;Semarang;Bandungan;Jetis;50614
21166;Jawa Tengah;Kabupaten;Semarang;Bandungan;Jimbaran;50661
21167;Jawa Tengah;Kabupaten;Semarang;Bandungan;Kenteng;50614
21168;Jawa Tengah;Kabupaten;Semarang;Bandungan;Mlilir;50614
21169;Jawa Tengah;Kabupaten;Semarang;Bandungan;Pakopen;50661
21170;Jawa Tengah;Kabupaten;Semarang;Bandungan;Sidomukti;50661
21171;Jawa Tengah;Kabupaten;Magelang;Bandongan;Bandongan;56151
21172;Jawa Tengah;Kabupaten;Magelang;Bandongan;Banyuwangi;56151
21173;Jawa Tengah;Kabupaten;Magelang;Bandongan;Gandusari;56151
21174;Jawa Tengah;Kabupaten;Magelang;Bandongan;Kalegen;56151
21175;Jawa Tengah;Kabupaten;Magelang;Bandongan;Kebonagung;56151
21176;Jawa Tengah;Kabupaten;Magelang;Bandongan;Kedungsari;56151
21177;Jawa Tengah;Kabupaten;Magelang;Bandongan;Ngepanrejo;56151
21178;Jawa Tengah;Kabupaten;Magelang;Bandongan;Rejosari;56151
21179;Jawa Tengah;Kabupaten;Magelang;Bandongan;Salamkanci;56151
21180;Jawa Tengah;Kabupaten;Magelang;Bandongan;Sidorejo;56151
21181;Jawa Tengah;Kabupaten;Magelang;Bandongan;Sukodadi;56151
21182;Jawa Tengah;Kabupaten;Magelang;Bandongan;Sukosari;56151
