No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
21500;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Bancaran;69112
21501;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Demangan;69115
21502;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Gebang;69114
21503;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Kemayoran;69116
21504;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Keraton;69119
21505;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Kramat (Keramat);69119
21506;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Mertajasah (Martajasah);69119
21507;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Mlajah;69116
21508;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Pangeranan;69115
21509;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Pejagan (Pajagan);69112
21510;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Sabiyan;69113
21511;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Sembilangan;69118
21512;Jawa Timur;Kabupaten;Bangkalan;Bangkalan;Ujung Piring;69118
21513;Jawa Timur;Kabupaten;Bangkalan;Blega;Alasraja;69174
21514;Jawa Timur;Kabupaten;Bangkalan;Blega;Bates;69174
21515;Jawa Timur;Kabupaten;Bangkalan;Blega;Blega;69174
21516;Jawa Timur;Kabupaten;Bangkalan;Blega;Blegaoloh;69174
21517;Jawa Timur;Kabupaten;Bangkalan;Blega;Gigir;69174
21518;Jawa Timur;Kabupaten;Bangkalan;Blega;Kajan;69174
21519;Jawa Timur;Kabupaten;Bangkalan;Blega;Kampao;69174
21520;Jawa Timur;Kabupaten;Bangkalan;Blega;Karang Gayam;69174
21521;Jawa Timur;Kabupaten;Bangkalan;Blega;Karang Panasan;69174
21522;Jawa Timur;Kabupaten;Bangkalan;Blega;Karangnangka;69174
21523;Jawa Timur;Kabupaten;Bangkalan;Blega;Karpote;69174
21524;Jawa Timur;Kabupaten;Bangkalan;Blega;Kojolan (Ko'olan);69174
21525;Jawa Timur;Kabupaten;Bangkalan;Blega;Lomaer;69174
21526;Jawa Timur;Kabupaten;Bangkalan;Blega;Lombang Daya;69174
21527;Jawa Timur;Kabupaten;Bangkalan;Blega;Lombang Laok;69174
21528;Jawa Timur;Kabupaten;Bangkalan;Blega;Nyor Manis (Nyormanes);69174
21529;Jawa Timur;Kabupaten;Bangkalan;Blega;Pangeran Gedungan (Gadungan);69174
21530;Jawa Timur;Kabupaten;Bangkalan;Blega;Panjalinan;69174
21531;Jawa Timur;Kabupaten;Bangkalan;Blega;Rosep;69174
21532;Jawa Timur;Kabupaten;Bangkalan;Burneh;Alas Kembang;69121
21533;Jawa Timur;Kabupaten;Bangkalan;Burneh;Arok;69121
