No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
22000;Jawa Timur;Kota;Batu;Junrejo;Mojorejo;65322
22001;Jawa Timur;Kota;Batu;Junrejo;Pendem;65324
22002;Jawa Timur;Kota;Batu;Junrejo;Tlekung;65327
22003;Jawa Timur;Kota;Batu;Junrejo;Torongrejo;65325
22004;Jawa Timur;Kota;Blitar;Kepanjen Kidul;Bendo;66116
22005;Jawa Timur;Kota;Blitar;Kepanjen Kidul;Kauman;66117
22006;Jawa Timur;Kota;Blitar;Kepanjen Kidul;Kepanjen Kidul;66117
22007;Jawa Timur;Kota;Blitar;Kepanjen Kidul;Kepanjen Lor;66117
22008;Jawa Timur;Kota;Blitar;Kepanjen Kidul;Ngadirejo;66114
22009;Jawa Timur;Kota;Blitar;Kepanjen Kidul;Sentul;66113
22010;Jawa Timur;Kota;Blitar;Kepanjen Kidul;Tanggung;66115
22011;Jawa Timur;Kota;Blitar;Sanan Wetan;Bendogerit;66133
22012;Jawa Timur;Kota;Blitar;Sanan Wetan;Gedog;66137
22013;Jawa Timur;Kota;Blitar;Sanan Wetan;Karang Tengah;66137
22014;Jawa Timur;Kota;Blitar;Sanan Wetan;Klampok;66136
22015;Jawa Timur;Kota;Blitar;Sanan Wetan;Plosokerep;66134
22016;Jawa Timur;Kota;Blitar;Sanan Wetan;Rembang;66135
22017;Jawa Timur;Kota;Blitar;Sanan Wetan;Sanan Wetan;66137
22018;Jawa Timur;Kota;Blitar;Sukorejo;Blitar;66126
22019;Jawa Timur;Kota;Blitar;Sukorejo;Karang Sari;66125
22020;Jawa Timur;Kota;Blitar;Sukorejo;Pakunden;66122
22021;Jawa Timur;Kota;Blitar;Sukorejo;Sukorejo;66121
22022;Jawa Timur;Kota;Blitar;Sukorejo;Tanjung Sari;66126
22023;Jawa Timur;Kota;Blitar;Sukorejo;Tlumpu;66124
22024;Jawa Timur;Kota;Blitar;Sukorejo;Turi;66126
22025;Jawa Timur;Kabupaten;Blitar;Bakung;Bakung;66163
22026;Jawa Timur;Kabupaten;Blitar;Bakung;Bululawang;66163
22027;Jawa Timur;Kabupaten;Blitar;Bakung;Kedungbanteng;66163
22028;Jawa Timur;Kabupaten;Blitar;Bakung;Lorejo;66163
22029;Jawa Timur;Kabupaten;Blitar;Bakung;Ngrejo;66163
22030;Jawa Timur;Kabupaten;Blitar;Bakung;Plandirejo;66163
22031;Jawa Timur;Kabupaten;Blitar;Bakung;Pulerejo;66163
22032;Jawa Timur;Kabupaten;Blitar;Bakung;Sidomulyo;66163
22033;Jawa Timur;Kabupaten;Blitar;Bakung;Sumberdadi;66163
22034;Jawa Timur;Kabupaten;Blitar;Bakung;Tumpakkepuh;66163
22035;Jawa Timur;Kabupaten;Blitar;Bakung;Tumpakoyot;66163
22036;Jawa Timur;Kabupaten;Blitar;Binangun;Binangun;66193
22037;Jawa Timur;Kabupaten;Blitar;Binangun;Birowo;66193
22038;Jawa Timur;Kabupaten;Blitar;Binangun;Kedungwungu;66193
22039;Jawa Timur;Kabupaten;Blitar;Binangun;Ngadri;66193
22040;Jawa Timur;Kabupaten;Blitar;Binangun;Ngembul;66193
22041;Jawa Timur;Kabupaten;Blitar;Binangun;Rejoso;66193
22042;Jawa Timur;Kabupaten;Blitar;Binangun;Salamrejo;66193
22043;Jawa Timur;Kabupaten;Blitar;Binangun;Sambigede;66193
22044;Jawa Timur;Kabupaten;Blitar;Binangun;Sukorame;66193
22045;Jawa Timur;Kabupaten;Blitar;Binangun;Sumber Kembar;66193
22046;Jawa Timur;Kabupaten;Blitar;Binangun;Tawang Rejo;66193
22047;Jawa Timur;Kabupaten;Blitar;Binangun;Umbul Damar;66193
22048;Jawa Timur;Kabupaten;Blitar;Doko;Doko;66186
22049;Jawa Timur;Kabupaten;Blitar;Doko;Genengan;66186
22050;Jawa Timur;Kabupaten;Blitar;Doko;Jambepawon;66186
22051;Jawa Timur;Kabupaten;Blitar;Doko;Kalimanis;66186
22052;Jawa Timur;Kabupaten;Blitar;Doko;Plumbangan;66186
22053;Jawa Timur;Kabupaten;Blitar;Doko;Resapombo;66186
22054;Jawa Timur;Kabupaten;Blitar;Doko;Sidorejo;66186
22055;Jawa Timur;Kabupaten;Blitar;Doko;Slorok;66186
22056;Jawa Timur;Kabupaten;Blitar;Doko;Sumber Urip;66186
22057;Jawa Timur;Kabupaten;Blitar;Doko;Suru;66186
22058;Jawa Timur;Kabupaten;Blitar;Gandusari;Butun;66187
22059;Jawa Timur;Kabupaten;Blitar;Gandusari;Gadungan;66187
22060;Jawa Timur;Kabupaten;Blitar;Gandusari;Gandusari;66187
22061;Jawa Timur;Kabupaten;Blitar;Gandusari;Gondang;66187
22062;Jawa Timur;Kabupaten;Blitar;Gandusari;Kotes;66187
22063;Jawa Timur;Kabupaten;Blitar;Gandusari;Krisik;66187
22064;Jawa Timur;Kabupaten;Blitar;Gandusari;Ngaringan;66187
22065;Jawa Timur;Kabupaten;Blitar;Gandusari;Semen;66187
22066;Jawa Timur;Kabupaten;Blitar;Gandusari;Slumbung;66187
