No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
22500;Jawa Timur;Kabupaten;Bojonegoro;Kepoh Baru;Sumbergede;62194
22501;Jawa Timur;Kabupaten;Bojonegoro;Kepoh Baru;Sumberoto;62194
22502;Jawa Timur;Kabupaten;Bojonegoro;Kepoh Baru;Tlogorejo;62194
22503;Jawa Timur;Kabupaten;Bojonegoro;Kepoh Baru;Turigede;62194
22504;Jawa Timur;Kabupaten;Bojonegoro;Kepoh Baru;Woro;62194
22505;Jawa Timur;Kabupaten;Bojonegoro;Malo;Banaran;62153
22506;Jawa Timur;Kabupaten;Bojonegoro;Malo;Dukuh Lor;62153
22507;Jawa Timur;Kabupaten;Bojonegoro;Malo;Kacangan;62153
22508;Jawa Timur;Kabupaten;Bojonegoro;Malo;Kedungrejo;62153
22509;Jawa Timur;Kabupaten;Bojonegoro;Malo;Kemiri;62153
22510;Jawa Timur;Kabupaten;Bojonegoro;Malo;Ketileng;62153
22511;Jawa Timur;Kabupaten;Bojonegoro;Malo;Kliteh;62153
22512;Jawa Timur;Kabupaten;Bojonegoro;Malo;Malo;62153
22513;Jawa Timur;Kabupaten;Bojonegoro;Malo;Ngujung;62153
22514;Jawa Timur;Kabupaten;Bojonegoro;Malo;Petak;62153
22515;Jawa Timur;Kabupaten;Bojonegoro;Malo;Rendeng;62153
22516;Jawa Timur;Kabupaten;Bojonegoro;Malo;Semlaran;62153
22517;Jawa Timur;Kabupaten;Bojonegoro;Malo;Sudah;62153
22518;Jawa Timur;Kabupaten;Bojonegoro;Malo;Sukorejo;62153
22519;Jawa Timur;Kabupaten;Bojonegoro;Malo;Sumberejo;62153
22520;Jawa Timur;Kabupaten;Bojonegoro;Malo;Tambakromo;62153
22521;Jawa Timur;Kabupaten;Bojonegoro;Malo;Tanggir;62153
22522;Jawa Timur;Kabupaten;Bojonegoro;Malo;Tinawun;62153
22523;Jawa Timur;Kabupaten;Bojonegoro;Malo;Trembes;62153
22524;Jawa Timur;Kabupaten;Bojonegoro;Malo;Tulungagung;62153
22525;Jawa Timur;Kabupaten;Bojonegoro;Margomulyo;Geneng;62168
22526;Jawa Timur;Kabupaten;Bojonegoro;Margomulyo;Kalangan;62168
22527;Jawa Timur;Kabupaten;Bojonegoro;Margomulyo;Margomulyo;62168
22528;Jawa Timur;Kabupaten;Bojonegoro;Margomulyo;Meduri;62168
22529;Jawa Timur;Kabupaten;Bojonegoro;Margomulyo;Ngelo;62168
22530;Jawa Timur;Kabupaten;Bojonegoro;Margomulyo;Sumberejo;62168
22531;Jawa Timur;Kabupaten;Bojonegoro;Ngambon;Bondol;62167
22532;Jawa Timur;Kabupaten;Bojonegoro;Ngambon;Karangmangu;62167
22533;Jawa Timur;Kabupaten;Bojonegoro;Ngambon;Ngambon;62167
22534;Jawa Timur;Kabupaten;Bojonegoro;Ngambon;Nglampin;62167
22535;Jawa Timur;Kabupaten;Bojonegoro;Ngambon;Sengon;62167
22536;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Bandungrejo;62154
22537;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Bareng;62154
22538;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Butoh;62154
22539;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Dukohkidul;62154
22540;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Jampet;62154
22541;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Jelu;62154
22542;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Kolong;62154
22543;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Mediyunan;62154
22544;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Ngadiluwih;62154
22545;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Ngantru;62154
22546;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Ngasem;62154
22547;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Sambong;62154
22548;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Sendangharjo;62154
22549;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Setren;62154
22550;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Tengger;62154
22551;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Trenggulunan;62154
22552;Jawa Timur;Kabupaten;Bojonegoro;Ngasem;Wadang;62154
22553;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Bancer;62165
22554;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Blimbing Gede;62165
22555;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Jumok;62165
22556;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Kalirejo;62165
22557;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Klempun;62165
22558;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Luwihaji;62165
22559;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Mojorejo;62165
22560;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Nganti;62165
22561;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Ngraho;62165
22562;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Pandan;62165
22563;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Payaman;62165
22564;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Sugih Waras;62165
22565;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Sumberagung;62165
22566;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Sumberarum;62165
22567;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Tanggungan;62165
22568;Jawa Timur;Kabupaten;Bojonegoro;Ngraho;Tapelan;62165
22569;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Banjarjo;62162
22570;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Cendono;62162
22571;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Dengok;62162
22572;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Kebunagung;62162
22573;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Kendung;62162
22574;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Kuncen;62162
22575;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Ngasinan;62162
22576;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Ngeper;62162
22577;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Ngradin;62162
22578;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Nguken;62162
22579;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Padangan;62162
22580;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Prangi;62162
22581;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Purworejo;62162
22582;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Sidorejo;62162
22583;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Sonorejo;62162
22584;Jawa Timur;Kabupaten;Bojonegoro;Padangan;Tebon;62162
22585;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Donan;62161
22586;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Gapluk;62161
22587;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Kaliombo;62161
22588;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Kuniran;62161
22589;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Ngrejeng;62161
22590;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Pelem;62161
22591;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Pojok;62161
22592;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Punggur;62161
22593;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Purwosari;62161
22594;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Sedahkidul;62161
22595;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Tinumpuk;62161
22596;Jawa Timur;Kabupaten;Bojonegoro;Purwosari;Tlatah;62161
22597;Jawa Timur;Kabupaten;Bojonegoro;Sekar;Bareng;62167
22598;Jawa Timur;Kabupaten;Bojonegoro;Sekar;Bobol;62167
22599;Jawa Timur;Kabupaten;Bojonegoro;Sekar;Deling;62167
22600;Jawa Timur;Kabupaten;Bojonegoro;Sekar;Klino;62167
22601;Jawa Timur;Kabupaten;Bojonegoro;Sekar;Miyono;62167
22602;Jawa Timur;Kabupaten;Bojonegoro;Sekar;Sekar;62167
22603;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Alasgung;62183
22604;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Balongrejo;62183
22605;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Bareng;62183
22606;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Bulu;62183
22607;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Drenges;62183
22608;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Genjor;62183
22609;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Glagah Wangi;62183
22610;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Glagahan;62183
22611;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Jatitengah;62183
22612;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Kedungdowo;62183
22613;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Nglajang;62183
22614;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Panemon;62183
22615;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Panunggalan;62183
22616;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Siwalan;62183
22617;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Sugihwaras;62183
22618;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Trate;62183
22619;Jawa Timur;Kabupaten;Bojonegoro;Sugihwaras;Wedoro;62183
22620;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Duyungan;62183
22621;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Jumput;62183
22622;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Kalicilik;62183
22623;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Klepek;62183
22624;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Pacing;62183
22625;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Purwoasri;62183
22626;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Semawot;62183
22627;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Semen Kidul;62183
22628;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Sidodadi;62183
22629;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Sidorejo;62183
22630;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Sitiaji;62183
22631;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Sukosewu;62183
22632;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Sumberejo Kidul;62183
22633;Jawa Timur;Kabupaten;Bojonegoro;Sukosewu;Tegalkodo;62183
22634;Jawa Timur;Kabupaten;Bojonegoro;Sumberrejo;Banjarjo;62191
22635;Jawa Timur;Kabupaten;Bojonegoro;Sumberrejo;Bogangin;62191
22636;Jawa Timur;Kabupaten;Bojonegoro;Sumberrejo;Butoh;62191
22637;Jawa Timur;Kabupaten;Bojonegoro;Sumberrejo;Deru;62191
