No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
23000;Jawa Timur;Kabupaten;Gresik;Cerme;Gedangkulut;61171
23001;Jawa Timur;Kabupaten;Gresik;Cerme;Guranganyar;61171
23002;Jawa Timur;Kabupaten;Gresik;Cerme;Ikerikergeger;61171
23003;Jawa Timur;Kabupaten;Gresik;Cerme;Jono;61171
23004;Jawa Timur;Kabupaten;Gresik;Cerme;Kambingan;61171
23005;Jawa Timur;Kabupaten;Gresik;Cerme;Kandangan;61171
23006;Jawa Timur;Kabupaten;Gresik;Cerme;Lengkong;61171
23007;Jawa Timur;Kabupaten;Gresik;Cerme;Morowudi;61171
23008;Jawa Timur;Kabupaten;Gresik;Cerme;Ngabetan;61171
23009;Jawa Timur;Kabupaten;Gresik;Cerme;Ngembung;61171
23010;Jawa Timur;Kabupaten;Gresik;Cerme;Padeg;61171
23011;Jawa Timur;Kabupaten;Gresik;Cerme;Pandu;61171
23012;Jawa Timur;Kabupaten;Gresik;Cerme;Semampir;61171
23013;Jawa Timur;Kabupaten;Gresik;Cerme;Sukoanyar;61171
23014;Jawa Timur;Kabupaten;Gresik;Cerme;Tambakberas;61171
23015;Jawa Timur;Kabupaten;Gresik;Cerme;Wedani;61171
23016;Jawa Timur;Kabupaten;Gresik;Driyorejo;Bambe;61177
23017;Jawa Timur;Kabupaten;Gresik;Driyorejo;Banjaran;61177
23018;Jawa Timur;Kabupaten;Gresik;Driyorejo;Cangkir;61177
23019;Jawa Timur;Kabupaten;Gresik;Driyorejo;Driyorejo;61177
23020;Jawa Timur;Kabupaten;Gresik;Driyorejo;Gadung;61177
23021;Jawa Timur;Kabupaten;Gresik;Driyorejo;Karangandong;61177
23022;Jawa Timur;Kabupaten;Gresik;Driyorejo;Kesambenwetan;61177
23023;Jawa Timur;Kabupaten;Gresik;Driyorejo;Krikilan;61177
23024;Jawa Timur;Kabupaten;Gresik;Driyorejo;Mojosarirejo;61177
23025;Jawa Timur;Kabupaten;Gresik;Driyorejo;Mulung;61177
23026;Jawa Timur;Kabupaten;Gresik;Driyorejo;Petiken;61177
23027;Jawa Timur;Kabupaten;Gresik;Driyorejo;Randegansari;61177
23028;Jawa Timur;Kabupaten;Gresik;Driyorejo;Sumput;61177
23029;Jawa Timur;Kabupaten;Gresik;Driyorejo;Tanjungan;61177
23030;Jawa Timur;Kabupaten;Gresik;Driyorejo;Tenaru;61177
23031;Jawa Timur;Kabupaten;Gresik;Driyorejo;Wedoroanom;61177
23032;Jawa Timur;Kabupaten;Gresik;Duduk Sampeyan;Ambeng Ambeng Watangrejo;61162
23033;Jawa Timur;Kabupaten;Gresik;Duduk Sampeyan;Bendungan;61162
23034;Jawa Timur;Kabupaten;Gresik;Duduk Sampeyan;Duduk Sampeyan;61162
23035;Jawa Timur;Kabupaten;Gresik;Duduk Sampeyan;Glanggang;61162
23036;Jawa Timur;Kabupaten;Gresik;Duduk Sampeyan;Gredek;61162
23037;Jawa Timur;Kabupaten;Gresik;Duduk Sampeyan;Kandangan;61162
23038;Jawa Timur;Kabupaten;Gresik;Duduk Sampeyan;Kawistowindu;61162
23039;Jawa Timur;Kabupaten;Gresik;Duduk Sampeyan;Kemudi;61162
23040;Jawa Timur;Kabupaten;Gresik;Duduk Sampeyan;Kramat Kulon;61162
23041;Jawa Timur;Kabupaten;Gresik;Duduk Sampeyan;Palebon;61162
23042;Jawa Timur;Kabupaten;Gresik;Duduk Sampeyan;Pandanan;61162
