No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
23500;Jawa Timur;Kabupaten;Jember;Tempurejo;Andongrejo;68173
23501;Jawa Timur;Kabupaten;Jember;Tempurejo;Curahnongko;68173
23502;Jawa Timur;Kabupaten;Jember;Tempurejo;Curahtakir;68173
23503;Jawa Timur;Kabupaten;Jember;Tempurejo;Pondokrejo;68173
23504;Jawa Timur;Kabupaten;Jember;Tempurejo;Sanenrejo;68173
23505;Jawa Timur;Kabupaten;Jember;Tempurejo;Sidodadi;68173
23506;Jawa Timur;Kabupaten;Jember;Tempurejo;Tempurejo;68173
23507;Jawa Timur;Kabupaten;Jember;Tempurejo;Wonoasri;68173
23508;Jawa Timur;Kabupaten;Jember;Umbulsari;Gadingrejo;68166
23509;Jawa Timur;Kabupaten;Jember;Umbulsari;Gunungsari;68166
23510;Jawa Timur;Kabupaten;Jember;Umbulsari;Mundurejo;68166
23511;Jawa Timur;Kabupaten;Jember;Umbulsari;Paleran;68166
23512;Jawa Timur;Kabupaten;Jember;Umbulsari;Sidorejo;68166
23513;Jawa Timur;Kabupaten;Jember;Umbulsari;Sukoreno;68166
23514;Jawa Timur;Kabupaten;Jember;Umbulsari;Tanjungsari;68166
23515;Jawa Timur;Kabupaten;Jember;Umbulsari;Tegal Wangi;68166
23516;Jawa Timur;Kabupaten;Jember;Umbulsari;Umbulrejo;68166
23517;Jawa Timur;Kabupaten;Jember;Umbulsari;Umbulsari;68166
23518;Jawa Timur;Kabupaten;Jember;Wuluhan;Ampel;68162
23519;Jawa Timur;Kabupaten;Jember;Wuluhan;Dukuh Dempok;68162
23520;Jawa Timur;Kabupaten;Jember;Wuluhan;Glundengan;68162
23521;Jawa Timur;Kabupaten;Jember;Wuluhan;Kesilir;68162
23522;Jawa Timur;Kabupaten;Jember;Wuluhan;Lojejer;68162
23523;Jawa Timur;Kabupaten;Jember;Wuluhan;Tamansari;68162
23524;Jawa Timur;Kabupaten;Jember;Wuluhan;Tanjung Rejo;68162
23525;Jawa Timur;Kabupaten;Jombang;Bandar Kedung Mulyo;Bandar Kedung Mulyo;61462
23526;Jawa Timur;Kabupaten;Jombang;Bandar Kedung Mulyo;Banjar Sari;61462
23527;Jawa Timur;Kabupaten;Jombang;Bandar Kedung Mulyo;Barong Sawahan;61462
23528;Jawa Timur;Kabupaten;Jombang;Bandar Kedung Mulyo;Brangkal;61462
23529;Jawa Timur;Kabupaten;Jombang;Bandar Kedung Mulyo;Brodot;61462
23530;Jawa Timur;Kabupaten;Jombang;Bandar Kedung Mulyo;Gondang Manis;61462
23531;Jawa Timur;Kabupaten;Jombang;Bandar Kedung Mulyo;Karang Dagangan;61462
23532;Jawa Timur;Kabupaten;Jombang;Bandar Kedung Mulyo;Kayen;61462
23533;Jawa Timur;Kabupaten;Jombang;Bandar Kedung Mulyo;Mojokambang;61462
23534;Jawa Timur;Kabupaten;Jombang;Bandar Kedung Mulyo;Pucang Simo;61462
23535;Jawa Timur;Kabupaten;Jombang;Bandar Kedung Mulyo;Tinggar;61462
23536;Jawa Timur;Kabupaten;Jombang;Bareng;Banjaragung;61474
23537;Jawa Timur;Kabupaten;Jombang;Bareng;Bareng;61474
23538;Jawa Timur;Kabupaten;Jombang;Bareng;Jenisgelaran;61474
23539;Jawa Timur;Kabupaten;Jombang;Bareng;Karangan;61474
23540;Jawa Timur;Kabupaten;Jombang;Bareng;Kebondalem;61474
23541;Jawa Timur;Kabupaten;Jombang;Bareng;Mojotengah;61474
23542;Jawa Timur;Kabupaten;Jombang;Bareng;Mundusewu;61474
23543;Jawa Timur;Kabupaten;Jombang;Bareng;Ngampungan;61474
23544;Jawa Timur;Kabupaten;Jombang;Bareng;Nglebak;61474
23545;Jawa Timur;Kabupaten;Jombang;Bareng;Ngrimbi;61474
23546;Jawa Timur;Kabupaten;Jombang;Bareng;Pakel;61474
23547;Jawa Timur;Kabupaten;Jombang;Bareng;Pulosari;61474
23548;Jawa Timur;Kabupaten;Jombang;Bareng;Tebel;61474
23549;Jawa Timur;Kabupaten;Jombang;Diwek;Balong Besuk;61471
23550;Jawa Timur;Kabupaten;Jombang;Diwek;Bandung;61471
23551;Jawa Timur;Kabupaten;Jombang;Diwek;Bendet;61471
23552;Jawa Timur;Kabupaten;Jombang;Diwek;Brambang;61471
23553;Jawa Timur;Kabupaten;Jombang;Diwek;Bulurejo;61471
23554;Jawa Timur;Kabupaten;Jombang;Diwek;Ceweng;61471
23555;Jawa Timur;Kabupaten;Jombang;Diwek;Cukir;61471
23556;Jawa Timur;Kabupaten;Jombang;Diwek;Diwek;61471
23557;Jawa Timur;Kabupaten;Jombang;Diwek;Grogol;61471
23558;Jawa Timur;Kabupaten;Jombang;Diwek;Jatipelem;61471
23559;Jawa Timur;Kabupaten;Jombang;Diwek;Jatirejo;61471
23560;Jawa Timur;Kabupaten;Jombang;Diwek;Kayangan;61471
23561;Jawa Timur;Kabupaten;Jombang;Diwek;Kedawong;61471
23562;Jawa Timur;Kabupaten;Jombang;Diwek;Keras;61471
23563;Jawa Timur;Kabupaten;Jombang;Diwek;Kwaron;61471
23564;Jawa Timur;Kabupaten;Jombang;Diwek;Ngudirejo;61471
23565;Jawa Timur;Kabupaten;Jombang;Diwek;Pandanwangi;61471
23566;Jawa Timur;Kabupaten;Jombang;Diwek;Pundong;61471
23567;Jawa Timur;Kabupaten;Jombang;Diwek;Puton;61471
23568;Jawa Timur;Kabupaten;Jombang;Diwek;Watugaluh;61471
23569;Jawa Timur;Kabupaten;Jombang;Gudo;Blimbing;61463
23570;Jawa Timur;Kabupaten;Jombang;Gudo;Bugasur Kedaleman;61463
23571;Jawa Timur;Kabupaten;Jombang;Gudo;Gempol Legundi;61463
23572;Jawa Timur;Kabupaten;Jombang;Gudo;Godong;61463
23573;Jawa Timur;Kabupaten;Jombang;Gudo;Gudo;61463
23574;Jawa Timur;Kabupaten;Jombang;Gudo;Japanan;61463
23575;Jawa Timur;Kabupaten;Jombang;Gudo;Kedungturi;61463
23576;Jawa Timur;Kabupaten;Jombang;Gudo;Krembangan;61463
23577;Jawa Timur;Kabupaten;Jombang;Gudo;Mejoyolosari;61463
23578;Jawa Timur;Kabupaten;Jombang;Gudo;Mentaos;61463
23579;Jawa Timur;Kabupaten;Jombang;Gudo;Pesanggrahan;61463
23580;Jawa Timur;Kabupaten;Jombang;Gudo;Plumbon Gambang;61463
23581;Jawa Timur;Kabupaten;Jombang;Gudo;Pucangro;61463
23582;Jawa Timur;Kabupaten;Jombang;Gudo;Sepanyul;61463
23583;Jawa Timur;Kabupaten;Jombang;Gudo;Sukoiber;61463
23584;Jawa Timur;Kabupaten;Jombang;Gudo;Sukopinggir;61463
23585;Jawa Timur;Kabupaten;Jombang;Gudo;Tanggungan;61463
23586;Jawa Timur;Kabupaten;Jombang;Gudo;Wangkalkepuh;61463
23587;Jawa Timur;Kabupaten;Jombang;Jogoroto;Alang Alang Caruban;61485
23588;Jawa Timur;Kabupaten;Jombang;Jogoroto;Janti;61485
23589;Jawa Timur;Kabupaten;Jombang;Jogoroto;Jarak Kulon;61485
23590;Jawa Timur;Kabupaten;Jombang;Jogoroto;Jogoroto;61485
23591;Jawa Timur;Kabupaten;Jombang;Jogoroto;Mayangan;61485
23592;Jawa Timur;Kabupaten;Jombang;Jogoroto;Ngumpul;61485
23593;Jawa Timur;Kabupaten;Jombang;Jogoroto;Sambirejo;61485
23594;Jawa Timur;Kabupaten;Jombang;Jogoroto;Sawiji;61485
23595;Jawa Timur;Kabupaten;Jombang;Jogoroto;Sukosari;61485
23596;Jawa Timur;Kabupaten;Jombang;Jogoroto;Sumber Mulyo;61485
23597;Jawa Timur;Kabupaten;Jombang;Jogoroto;Tambar;61485
23598;Jawa Timur;Kabupaten;Jombang;Jombang;Banjar Dowo;61419
23599;Jawa Timur;Kabupaten;Jombang;Jombang;Candi Mulyo;61419
23600;Jawa Timur;Kabupaten;Jombang;Jombang;Dapur Kejambon;61419
23601;Jawa Timur;Kabupaten;Jombang;Jombang;Denanyar;61416
23602;Jawa Timur;Kabupaten;Jombang;Jombang;Jabon;61418
23603;Jawa Timur;Kabupaten;Jombang;Jombang;Jelakombo;61412
23604;Jawa Timur;Kabupaten;Jombang;Jombang;Jombang;61415
23605;Jawa Timur;Kabupaten;Jombang;Jombang;Jombatan;61419
23606;Jawa Timur;Kabupaten;Jombang;Jombang;Kaliwungu;61419
23607;Jawa Timur;Kabupaten;Jombang;Jombang;Kepanjen;61411
23608;Jawa Timur;Kabupaten;Jombang;Jombang;Kepatihan;61417
23609;Jawa Timur;Kabupaten;Jombang;Jombang;Mojongapit;61413
23610;Jawa Timur;Kabupaten;Jombang;Jombang;Plandi;61412
23611;Jawa Timur;Kabupaten;Jombang;Jombang;Plosogeneng;61416
23612;Jawa Timur;Kabupaten;Jombang;Jombang;Pulo Lor;61417
23613;Jawa Timur;Kabupaten;Jombang;Jombang;Sambong Dukuh;61419
23614;Jawa Timur;Kabupaten;Jombang;Jombang;Sengon;61418
23615;Jawa Timur;Kabupaten;Jombang;Jombang;Sumberjo;61419
23616;Jawa Timur;Kabupaten;Jombang;Jombang;Tambak Rejo;61419
23617;Jawa Timur;Kabupaten;Jombang;Jombang;Tunggorono;61419
23618;Jawa Timur;Kabupaten;Jombang;Kabuh;Banjar Dowo;61455
23619;Jawa Timur;Kabupaten;Jombang;Kabuh;Genengan Jasem;61455
23620;Jawa Timur;Kabupaten;Jombang;Kabuh;Kabuh;61455
23621;Jawa Timur;Kabupaten;Jombang;Kabuh;Karang Pakis;61455
23622;Jawa Timur;Kabupaten;Jombang;Kabuh;Kauman;61455
23623;Jawa Timur;Kabupaten;Jombang;Kabuh;Kedung Jati;61455
23624;Jawa Timur;Kabupaten;Jombang;Kabuh;Manduro;61455
23625;Jawa Timur;Kabupaten;Jombang;Kabuh;Mangunan;61455
23626;Jawa Timur;Kabupaten;Jombang;Kabuh;Marmoyo;61455
23627;Jawa Timur;Kabupaten;Jombang;Kabuh;Munung Kerep;61455
23628;Jawa Timur;Kabupaten;Jombang;Kabuh;Pengampon;61455
23629;Jawa Timur;Kabupaten;Jombang;Kabuh;Sukodadi;61455
23630;Jawa Timur;Kabupaten;Jombang;Kabuh;Sumber Gondang;61455
23631;Jawa Timur;Kabupaten;Jombang;Kabuh;Sumberaji;61455
23632;Jawa Timur;Kabupaten;Jombang;Kabuh;Sumberringin;61455
23633;Jawa Timur;Kabupaten;Jombang;Kabuh;Tanjung Wadung;61455
23634;Jawa Timur;Kabupaten;Jombang;Kesamben;Blimbing;61484
23635;Jawa Timur;Kabupaten;Jombang;Kesamben;Carang Rejo;61484
23636;Jawa Timur;Kabupaten;Jombang;Kesamben;Gumulan;61484
23637;Jawa Timur;Kabupaten;Jombang;Kesamben;Jati Duwur;61484
23638;Jawa Timur;Kabupaten;Jombang;Kesamben;Jombatan;61484
