No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
25500;Jawa Timur;Kabupaten;Malang;Gedangan;Tumpakrejo;65178
25501;Jawa Timur;Kabupaten;Malang;Gondanglegi;Bulupitu;65174
25502;Jawa Timur;Kabupaten;Malang;Gondanglegi;Ganjaran;65174
25503;Jawa Timur;Kabupaten;Malang;Gondanglegi;Gondanglegi Kulon;65174
25504;Jawa Timur;Kabupaten;Malang;Gondanglegi;Gondanglegi Wetan;65174
25505;Jawa Timur;Kabupaten;Malang;Gondanglegi;Ketawang;65174
25506;Jawa Timur;Kabupaten;Malang;Gondanglegi;Panggungharjo;65174
25507;Jawa Timur;Kabupaten;Malang;Gondanglegi;Putat Kidul;65174
25508;Jawa Timur;Kabupaten;Malang;Gondanglegi;Putat Lor;65174
25509;Jawa Timur;Kabupaten;Malang;Gondanglegi;Putukrejo;65174
25510;Jawa Timur;Kabupaten;Malang;Gondanglegi;Sepanjang;65174
25511;Jawa Timur;Kabupaten;Malang;Gondanglegi;Sukorejo;65174
25512;Jawa Timur;Kabupaten;Malang;Gondanglegi;Sukosari;65174
25513;Jawa Timur;Kabupaten;Malang;Gondanglegi;Sumberjaya;65174
25514;Jawa Timur;Kabupaten;Malang;Gondanglegi;Urek Urek;65174
25515;Jawa Timur;Kabupaten;Malang;Jabung;Argosari;65155
25516;Jawa Timur;Kabupaten;Malang;Jabung;Gading Kembar;65155
25517;Jawa Timur;Kabupaten;Malang;Jabung;Gunung Jati;65155
25518;Jawa Timur;Kabupaten;Malang;Jabung;Jabung;65155
25519;Jawa Timur;Kabupaten;Malang;Jabung;Kemantren;65155
25520;Jawa Timur;Kabupaten;Malang;Jabung;Kemiri;65155
25521;Jawa Timur;Kabupaten;Malang;Jabung;Kenongo;65155
25522;Jawa Timur;Kabupaten;Malang;Jabung;Ngadirejo;65155
25523;Jawa Timur;Kabupaten;Malang;Jabung;Pandansari Lor;65155
25524;Jawa Timur;Kabupaten;Malang;Jabung;Sidomulyo;65155
25525;Jawa Timur;Kabupaten;Malang;Jabung;Sidorejo;65155
25526;Jawa Timur;Kabupaten;Malang;Jabung;Slamparejo;65155
25527;Jawa Timur;Kabupaten;Malang;Jabung;Sukolilo;65155
25528;Jawa Timur;Kabupaten;Malang;Jabung;Sukopuro;65155
25529;Jawa Timur;Kabupaten;Malang;Jabung;Taji;65155
25530;Jawa Timur;Kabupaten;Malang;Kalipare;Arjosari;65166
25531;Jawa Timur;Kabupaten;Malang;Kalipare;Arjowilangun;65166
25532;Jawa Timur;Kabupaten;Malang;Kalipare;Kaliasri;65166
25533;Jawa Timur;Kabupaten;Malang;Kalipare;Kalipare;65166
25534;Jawa Timur;Kabupaten;Malang;Kalipare;Kalirejo;65166
25535;Jawa Timur;Kabupaten;Malang;Kalipare;Putukrejo;65166
25536;Jawa Timur;Kabupaten;Malang;Kalipare;Sukowilangun;65166
25537;Jawa Timur;Kabupaten;Malang;Kalipare;Sumberpetung;65166
25538;Jawa Timur;Kabupaten;Malang;Kalipare;Tumpakrejo;65166
25539;Jawa Timur;Kabupaten;Malang;Karangploso;Ampeldento;65152
25540;Jawa Timur;Kabupaten;Malang;Karangploso;Bocek;65152
25541;Jawa Timur;Kabupaten;Malang;Karangploso;Donowarih;65152
25542;Jawa Timur;Kabupaten;Malang;Karangploso;Girimoyo;65152
25543;Jawa Timur;Kabupaten;Malang;Karangploso;Kepuharjo;65152
25544;Jawa Timur;Kabupaten;Malang;Karangploso;Ngenep;65152
25545;Jawa Timur;Kabupaten;Malang;Karangploso;Ngijo;65152
25546;Jawa Timur;Kabupaten;Malang;Karangploso;Tawangargo;65152
25547;Jawa Timur;Kabupaten;Malang;Karangploso;Tegalgondo;65152
25548;Jawa Timur;Kabupaten;Malang;Kasembon;Bayem;65393
25549;Jawa Timur;Kabupaten;Malang;Kasembon;Kasembon;65393
25550;Jawa Timur;Kabupaten;Malang;Kasembon;Pait;65393
25551;Jawa Timur;Kabupaten;Malang;Kasembon;Pondok Agung;65393
25552;Jawa Timur;Kabupaten;Malang;Kasembon;Sukosari;65393
25553;Jawa Timur;Kabupaten;Malang;Kasembon;Wonoagung;65393
25554;Jawa Timur;Kabupaten;Malang;Kepanjen;Ardirejo;65163
25555;Jawa Timur;Kabupaten;Malang;Kepanjen;Cepokomulyo;65163
25556;Jawa Timur;Kabupaten;Malang;Kepanjen;Curung Rejo;65163
25557;Jawa Timur;Kabupaten;Malang;Kepanjen;Dilem;65163
25558;Jawa Timur;Kabupaten;Malang;Kepanjen;Jatirejoyoso;65163
25559;Jawa Timur;Kabupaten;Malang;Kepanjen;Jenggolo;65163
25560;Jawa Timur;Kabupaten;Malang;Kepanjen;Kedungpedaringan;65163
25561;Jawa Timur;Kabupaten;Malang;Kepanjen;Kemiri;65163
25562;Jawa Timur;Kabupaten;Malang;Kepanjen;Kepanjen;65163
25563;Jawa Timur;Kabupaten;Malang;Kepanjen;Mangunrejo;65163
25564;Jawa Timur;Kabupaten;Malang;Kepanjen;Mojosari;65163
25565;Jawa Timur;Kabupaten;Malang;Kepanjen;Ngadilangkung;65163
25566;Jawa Timur;Kabupaten;Malang;Kepanjen;Panggungrejo;65163
25567;Jawa Timur;Kabupaten;Malang;Kepanjen;Penarukan;65163
25568;Jawa Timur;Kabupaten;Malang;Kepanjen;Sengguruh;65163
25569;Jawa Timur;Kabupaten;Malang;Kepanjen;Sukoraharjo;65163
25570;Jawa Timur;Kabupaten;Malang;Kepanjen;Talangagung;65163
25571;Jawa Timur;Kabupaten;Malang;Kepanjen;Tegalsari;65163
25572;Jawa Timur;Kabupaten;Malang;Kromengan;Jambuwer;65165
25573;Jawa Timur;Kabupaten;Malang;Kromengan;Jatikerto;65165
25574;Jawa Timur;Kabupaten;Malang;Kromengan;Karangrejo;65165
25575;Jawa Timur;Kabupaten;Malang;Kromengan;Kromengan;65165
25576;Jawa Timur;Kabupaten;Malang;Kromengan;Ngadirejo;65165
25577;Jawa Timur;Kabupaten;Malang;Kromengan;Peniwen;65165
25578;Jawa Timur;Kabupaten;Malang;Kromengan;Slorok;65165
25579;Jawa Timur;Kabupaten;Malang;Lawang;Bedali;65215
25580;Jawa Timur;Kabupaten;Malang;Lawang;Kalirejo;65216
25581;Jawa Timur;Kabupaten;Malang;Lawang;Ketindan;65214
25582;Jawa Timur;Kabupaten;Malang;Lawang;Lawang;65211
25583;Jawa Timur;Kabupaten;Malang;Lawang;Mulyoarjo;65216
25584;Jawa Timur;Kabupaten;Malang;Lawang;Sidodadi;65216
25585;Jawa Timur;Kabupaten;Malang;Lawang;Sidoluhur;65216
25586;Jawa Timur;Kabupaten;Malang;Lawang;Srigading;65216
25587;Jawa Timur;Kabupaten;Malang;Lawang;Sumber Ngepoh;65216
25588;Jawa Timur;Kabupaten;Malang;Lawang;Sumber Porong;65216
25589;Jawa Timur;Kabupaten;Malang;Lawang;Turirejo;65213
25590;Jawa Timur;Kabupaten;Malang;Lawang;Wonorejo;65216
25591;Jawa Timur;Kabupaten;Malang;Ngajung (Ngajum);Babadan;65164
25592;Jawa Timur;Kabupaten;Malang;Ngajung (Ngajum);Balesari;65164
25593;Jawa Timur;Kabupaten;Malang;Ngajung (Ngajum);Banjarsari;65164
25594;Jawa Timur;Kabupaten;Malang;Ngajung (Ngajum);Kesamben;65164
25595;Jawa Timur;Kabupaten;Malang;Ngajung (Ngajum);Kranggan;65164
25596;Jawa Timur;Kabupaten;Malang;Ngajung (Ngajum);Maguan;65164
25597;Jawa Timur;Kabupaten;Malang;Ngajung (Ngajum);Ngajum;65164
25598;Jawa Timur;Kabupaten;Malang;Ngajung (Ngajum);Ngasem;65164
25599;Jawa Timur;Kabupaten;Malang;Ngajung (Ngajum);Palaan;65164
25600;Jawa Timur;Kabupaten;Malang;Ngantang;Banjarejo;65392
25601;Jawa Timur;Kabupaten;Malang;Ngantang;Banturejo;65392
25602;Jawa Timur;Kabupaten;Malang;Ngantang;Jombok;65392
25603;Jawa Timur;Kabupaten;Malang;Ngantang;Kaumrejo;65392
25604;Jawa Timur;Kabupaten;Malang;Ngantang;Mulyorejo;65392
25605;Jawa Timur;Kabupaten;Malang;Ngantang;Ngantru;65392
25606;Jawa Timur;Kabupaten;Malang;Ngantang;Pagersari;65392
25607;Jawa Timur;Kabupaten;Malang;Ngantang;Pandansari;65392
25608;Jawa Timur;Kabupaten;Malang;Ngantang;Purworejo;65392
25609;Jawa Timur;Kabupaten;Malang;Ngantang;Sidodadi;65392
25610;Jawa Timur;Kabupaten;Malang;Ngantang;Sumberagung;65392
25611;Jawa Timur;Kabupaten;Malang;Ngantang;Tulungrejo;65392
25612;Jawa Timur;Kabupaten;Malang;Ngantang;Waturejo;65392
25613;Jawa Timur;Kabupaten;Malang;Pagak;Gampingan;65168
