No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
26000;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Belahantengah;61382
26001;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Jotangan;61382
26002;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Kauman;61382
26003;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Kebondalem;61382
26004;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Kedunggempol;61382
26005;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Leminggir;61382
26006;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Menanggal;61382
26007;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Modopuro;61382
26008;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Mojosari;61382
26009;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Mojosulur;61382
26010;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Ngimbangan;61382
26011;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Pekukuhan;61382
26012;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Randubango;61382
26013;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Sarirejo;61382
26014;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Sawahan;61382
26015;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Seduri;61382
26016;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Sumbertanggul;61382
26017;Jawa Timur;Kabupaten;Mojokerto;Mojosari;Wonokusumo;61382
26018;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Bandarasri;61385
26019;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Candiharjo;61385
26020;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Jasem;61385
26021;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Kembangsri;61385
26022;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Kesemen;61385
26023;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Kunjorowesi;61385
26024;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Kutogirang;61385
26025;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Lolawang;61385
26026;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Manduro Manggung Gajah;61385
26027;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Ngoro;61385
26028;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Purwojati;61385
26029;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Sedati;61385
26030;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Srigading;61385
26031;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Sukoanyar;61385
26032;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Tambakrejo;61385
26033;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Tanjangrono;61385
26034;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Watesnegoro;61385
26035;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Wonosari;61385
26036;Jawa Timur;Kabupaten;Mojokerto;Ngoro;Wotanmasjedong;61385
26037;Jawa Timur;Kabupaten;Mojokerto;Pacet;Bendunganjati;61374
26038;Jawa Timur;Kabupaten;Mojokerto;Pacet;Candiwatu;61374
26039;Jawa Timur;Kabupaten;Mojokerto;Pacet;Cembor;61374
26040;Jawa Timur;Kabupaten;Mojokerto;Pacet;Cepokolimo;61374
26041;Jawa Timur;Kabupaten;Mojokerto;Pacet;Claket;61374
26042;Jawa Timur;Kabupaten;Mojokerto;Pacet;Kembangbelor;61374
26043;Jawa Timur;Kabupaten;Mojokerto;Pacet;Kemiri;61374
26044;Jawa Timur;Kabupaten;Mojokerto;Pacet;Kesimantengah;61374
