No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
27000;Jawa Timur;Kota;Pasuruan;Bugul Kidul;Kepel;67129
27001;Jawa Timur;Kota;Pasuruan;Bugul Kidul;Krampyangan;67127
27002;Jawa Timur;Kota;Pasuruan;Bugul Kidul;Tapaan;67129
27003;Jawa Timur;Kota;Pasuruan;Gadingrejo;Bukir;67138
27004;Jawa Timur;Kota;Pasuruan;Gadingrejo;Gadingrejo;67134
27005;Jawa Timur;Kota;Pasuruan;Gadingrejo;Gentong;67139
27006;Jawa Timur;Kota;Pasuruan;Gadingrejo;Karangketug;67135
27007;Jawa Timur;Kota;Pasuruan;Gadingrejo;Krapyakrejo;67137
27008;Jawa Timur;Kota;Pasuruan;Gadingrejo;Petahunan;67136
27009;Jawa Timur;Kota;Pasuruan;Gadingrejo;Randusari;67136
27010;Jawa Timur;Kota;Pasuruan;Gadingrejo;Sebani;67139
27011;Jawa Timur;Kota;Pasuruan;Panggungrejo;Bangilan;67111
27012;Jawa Timur;Kota;Pasuruan;Panggungrejo;Bugul Lor;67129
27013;Jawa Timur;Kota;Pasuruan;Panggungrejo;Kandang Sapi;67125
27014;Jawa Timur;Kota;Pasuruan;Panggungrejo;Karanganyar;67131
27015;Jawa Timur;Kota;Pasuruan;Panggungrejo;Kebonsari;67114
27016;Jawa Timur;Kota;Pasuruan;Panggungrejo;Mandaranrejo;67123
27017;Jawa Timur;Kota;Pasuruan;Panggungrejo;Mayangan;67112
27018;Jawa Timur;Kota;Pasuruan;Panggungrejo;Ngemplakrejo;67113
27019;Jawa Timur;Kota;Pasuruan;Panggungrejo;Panggungrejo;67124
27020;Jawa Timur;Kota;Pasuruan;Panggungrejo;Pekuncen;67126
27021;Jawa Timur;Kota;Pasuruan;Panggungrejo;Petamanan;67126
27022;Jawa Timur;Kota;Pasuruan;Panggungrejo;Tambaan;67133
27023;Jawa Timur;Kota;Pasuruan;Panggungrejo;Trajeng;67132
27024;Jawa Timur;Kota;Pasuruan;Purworejo;Kebonagung;67116
27025;Jawa Timur;Kota;Pasuruan;Purworejo;Pohjentrek;67171
