No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
27500;Jawa Timur;Kabupaten;Ponorogo;Jetis;Tegalsari;63473
27501;Jawa Timur;Kabupaten;Ponorogo;Jetis;Turi;63473
27502;Jawa Timur;Kabupaten;Ponorogo;Jetis;Winong;63473
27503;Jawa Timur;Kabupaten;Ponorogo;Jetis;Wonoketro;63473
27504;Jawa Timur;Kabupaten;Ponorogo;Kauman;Bringin;63451
27505;Jawa Timur;Kabupaten;Ponorogo;Kauman;Carat;63451
27506;Jawa Timur;Kabupaten;Ponorogo;Kauman;Ciluk;63451
27507;Jawa Timur;Kabupaten;Ponorogo;Kauman;Gabel;63451
27508;Jawa Timur;Kabupaten;Ponorogo;Kauman;Kauman;63451
27509;Jawa Timur;Kabupaten;Ponorogo;Kauman;Maron;63451
27510;Jawa Timur;Kabupaten;Ponorogo;Kauman;Nglarangan (Nlarangan);63451
27511;Jawa Timur;Kabupaten;Ponorogo;Kauman;Ngrandu;63451
27512;Jawa Timur;Kabupaten;Ponorogo;Kauman;Nongkodono;63451
27513;Jawa Timur;Kabupaten;Ponorogo;Kauman;Pengkol;63451
27514;Jawa Timur;Kabupaten;Ponorogo;Kauman;Plosojenar;63451
27515;Jawa Timur;Kabupaten;Ponorogo;Kauman;Semanding;63451
27516;Jawa Timur;Kabupaten;Ponorogo;Kauman;Somoroto;63451
27517;Jawa Timur;Kabupaten;Ponorogo;Kauman;Sukosari;63451
27518;Jawa Timur;Kabupaten;Ponorogo;Kauman;Tegalombo;63451
27519;Jawa Timur;Kabupaten;Ponorogo;Kauman;Tosanan;63451
27520;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Bajang;63472
27521;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Candi;63472
27522;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Gandu;63472
27523;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Gontor;63472
27524;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Jabung;63472
27525;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Joresan;63472
27526;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Kaponan;63472
27527;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Mlarak;63472
27528;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Nglumpang;63472
27529;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Ngrukem (Ngerukem);63472
27530;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Serangan;63472
27531;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Siwalan;63472
27532;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Suren;63472
27533;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Totokan;63472
27534;Jawa Timur;Kabupaten;Ponorogo;Mlarak;Tugu (Tugurejo);63472
27535;Jawa Timur;Kabupaten;Ponorogo;Ngebel;Gondowido;63493
27536;Jawa Timur;Kabupaten;Ponorogo;Ngebel;Ngebel;63493
27537;Jawa Timur;Kabupaten;Ponorogo;Ngebel;Ngrogung;63493
27538;Jawa Timur;Kabupaten;Ponorogo;Ngebel;Pupus;63493
27539;Jawa Timur;Kabupaten;Ponorogo;Ngebel;Sahang;63493
27540;Jawa Timur;Kabupaten;Ponorogo;Ngebel;Sempu;63493
27541;Jawa Timur;Kabupaten;Ponorogo;Ngebel;Talun;63493
27542;Jawa Timur;Kabupaten;Ponorogo;Ngebel;Wagir Lor;63493
27543;Jawa Timur;Kabupaten;Ponorogo;Ngrayun;Baosan Kidul;63464
27544;Jawa Timur;Kabupaten;Ponorogo;Ngrayun;Baosan Lor;63464
27545;Jawa Timur;Kabupaten;Ponorogo;Ngrayun;Binade;63464
27546;Jawa Timur;Kabupaten;Ponorogo;Ngrayun;Cepoko;63464
27547;Jawa Timur;Kabupaten;Ponorogo;Ngrayun;Gedangan;63464
27548;Jawa Timur;Kabupaten;Ponorogo;Ngrayun;Mrayan (Merayan);63464
27549;Jawa Timur;Kabupaten;Ponorogo;Ngrayun;Ngrayun (Ngerayun);63464
27550;Jawa Timur;Kabupaten;Ponorogo;Ngrayun;Selur;63464
27551;Jawa Timur;Kabupaten;Ponorogo;Ngrayun;Sendang;63464
27552;Jawa Timur;Kabupaten;Ponorogo;Ngrayun;Temon;63464
27553;Jawa Timur;Kabupaten;Ponorogo;Ngrayun;Wonodadi;63464
27554;Jawa Timur;Kabupaten;Ponorogo;Ponorogo;Bangunsari;63419
27555;Jawa Timur;Kabupaten;Ponorogo;Ponorogo;Banyudono;63411
27556;Jawa Timur;Kabupaten;Ponorogo;Ponorogo;Beduri;63412
27557;Jawa Timur;Kabupaten;Ponorogo;Ponorogo;Brotonegaran;63419
27558;Jawa Timur;Kabupaten;Ponorogo;Ponorogo;Cokromenggalan;63411
27559;Jawa Timur;Kabupaten;Ponorogo;Ponorogo;Jingglong;63411
27560;Jawa Timur;Kabupaten;Ponorogo;Ponorogo;Kauman;63414
27561;Jawa Timur;Kabupaten;Ponorogo;Ponorogo;Keniten;63412
