No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
28000;Jawa Timur;Kabupaten;Probolinggo;Sumberasih;Laweyan;67251
28001;Jawa Timur;Kabupaten;Probolinggo;Sumberasih;Lemahkembar;67251
28002;Jawa Timur;Kabupaten;Probolinggo;Sumberasih;Mentor;67251
28003;Jawa Timur;Kabupaten;Probolinggo;Sumberasih;Muneng;67251
28004;Jawa Timur;Kabupaten;Probolinggo;Sumberasih;Muneng Kidul;67251
28005;Jawa Timur;Kabupaten;Probolinggo;Sumberasih;Pesisir;67251
28006;Jawa Timur;Kabupaten;Probolinggo;Sumberasih;Pohsangit Leres;67251
28007;Jawa Timur;Kabupaten;Probolinggo;Sumberasih;Sumberbendo;67251
28008;Jawa Timur;Kabupaten;Probolinggo;Sumberasih;Sumurmati;67251
28009;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Banjarsawah;67274
28010;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Blado Kulon;67274
28011;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Bulujaran Kidul;67274
28012;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Bulujaran Lor;67274
28013;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Gunung Bekel;67274
28014;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Malasan Wetan;67274
28015;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Paras;67274
28016;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Sumberbulu;67274
28017;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Sumberkledung;67274
28018;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Tegal Mojo;67274
28019;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Tegal Siwalan;67274
28020;Jawa Timur;Kabupaten;Probolinggo;Tegal Siwalan;Tegal Sono;67274
28021;Jawa Timur;Kabupaten;Probolinggo;Tiris;Andung Biru;67287
28022;Jawa Timur;Kabupaten;Probolinggo;Tiris;Andung Sari;67287
28023;Jawa Timur;Kabupaten;Probolinggo;Tiris;Jangkang;67287
28024;Jawa Timur;Kabupaten;Probolinggo;Tiris;Pegadangan;67287
28025;Jawa Timur;Kabupaten;Probolinggo;Tiris;Pesawahan;67287
28026;Jawa Timur;Kabupaten;Probolinggo;Tiris;Racek;67287
28027;Jawa Timur;Kabupaten;Probolinggo;Tiris;Ranuagung;67287
