No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
28500;Jawa Timur;Kabupaten;Sidoarjo;Candi;Sepande;61271
28501;Jawa Timur;Kabupaten;Sidoarjo;Candi;Sidodadi;61271
28502;Jawa Timur;Kabupaten;Sidoarjo;Candi;Sugih Waras;61271
28503;Jawa Timur;Kabupaten;Sidoarjo;Candi;Sumokali;61271
28504;Jawa Timur;Kabupaten;Sidoarjo;Candi;Sumorame;61271
28505;Jawa Timur;Kabupaten;Sidoarjo;Candi;Tenggulunan;61271
28506;Jawa Timur;Kabupaten;Sidoarjo;Candi;Wedoro Klurak;61271
28507;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Bangah;61254
28508;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Ganting;61254
28509;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Gedangan;61254
28510;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Gemurung;61254
28511;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Karangbong;61254
28512;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Keboananom;61254
28513;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Keboansikep;61254
28514;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Ketajen;61254
28515;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Kragan;61254
28516;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Punggul;61254
28517;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Sawotratap;61254
28518;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Semambung;61254
28519;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Sruni;61254
28520;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Tebel;61254
28521;Jawa Timur;Kabupaten;Sidoarjo;Gedangan;Wedi;61254
28522;Jawa Timur;Kabupaten;Sidoarjo;Jabon;Balongtani;61276
28523;Jawa Timur;Kabupaten;Sidoarjo;Jabon;Besuki;61276
