No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
29000;Jawa Timur;Kabupaten;Sumenep;Batuputih;Bulaan (Bullaan);69453
29001;Jawa Timur;Kabupaten;Sumenep;Batuputih;Gedang Gedang;69453
29002;Jawa Timur;Kabupaten;Sumenep;Batuputih;Juruan Daya;69453
29003;Jawa Timur;Kabupaten;Sumenep;Batuputih;Juruan Laok;69453
29004;Jawa Timur;Kabupaten;Sumenep;Batuputih;Larangan Barma;69453
29005;Jawa Timur;Kabupaten;Sumenep;Batuputih;Larangan Kerta;69453
29006;Jawa Timur;Kabupaten;Sumenep;Batuputih;Sergang;69453
29007;Jawa Timur;Kabupaten;Sumenep;Batuputih;Tengedan;69453
29008;Jawa Timur;Kabupaten;Sumenep;Bluto;Aengbaja Kenek;69466
29009;Jawa Timur;Kabupaten;Sumenep;Bluto;Aengbaja Raja;69466
29010;Jawa Timur;Kabupaten;Sumenep;Bluto;Aengdake;69466
29011;Jawa Timur;Kabupaten;Sumenep;Bluto;Bluto;69466
29012;Jawa Timur;Kabupaten;Sumenep;Bluto;Bungbungan;69466
29013;Jawa Timur;Kabupaten;Sumenep;Bluto;Errabu;69466
29014;Jawa Timur;Kabupaten;Sumenep;Bluto;Gilang;69466
29015;Jawa Timur;Kabupaten;Sumenep;Bluto;Ging Ging;69466
29016;Jawa Timur;Kabupaten;Sumenep;Bluto;Gulukmanjung;69466
29017;Jawa Timur;Kabupaten;Sumenep;Bluto;Kapedi;69466
29018;Jawa Timur;Kabupaten;Sumenep;Bluto;Karang Cempaka;69466
29019;Jawa Timur;Kabupaten;Sumenep;Bluto;Lobuk;69466
29020;Jawa Timur;Kabupaten;Sumenep;Bluto;Masaran;69466
29021;Jawa Timur;Kabupaten;Sumenep;Bluto;Pakandangan Barat;69466
29022;Jawa Timur;Kabupaten;Sumenep;Bluto;Pakandangan Sangra;69466
29023;Jawa Timur;Kabupaten;Sumenep;Bluto;Pakandangan Tengah;69466
29024;Jawa Timur;Kabupaten;Sumenep;Bluto;Palongan;69466
29025;Jawa Timur;Kabupaten;Sumenep;Bluto;Sera Barat;69466
29026;Jawa Timur;Kabupaten;Sumenep;Bluto;Sera Tengah;69466
29027;Jawa Timur;Kabupaten;Sumenep;Bluto;Sera Timur;69466
29028;Jawa Timur;Kabupaten;Sumenep;Dasuk;Bates;69454
29029;Jawa Timur;Kabupaten;Sumenep;Dasuk;Batubelah Barat;69454
29030;Jawa Timur;Kabupaten;Sumenep;Dasuk;Batubelah Timur;69454
29031;Jawa Timur;Kabupaten;Sumenep;Dasuk;Bringin;69454
29032;Jawa Timur;Kabupaten;Sumenep;Dasuk;Dasuk Barat;69454
29033;Jawa Timur;Kabupaten;Sumenep;Dasuk;Dasuk Laok;69454
29034;Jawa Timur;Kabupaten;Sumenep;Dasuk;Dasuk Timur;69454
29035;Jawa Timur;Kabupaten;Sumenep;Dasuk;Jelbudan;69454
29036;Jawa Timur;Kabupaten;Sumenep;Dasuk;Kecer;69454
29037;Jawa Timur;Kabupaten;Sumenep;Dasuk;Kerta Barat;69454
29038;Jawa Timur;Kabupaten;Sumenep;Dasuk;Kerta Timur;69454
29039;Jawa Timur;Kabupaten;Sumenep;Dasuk;Mantajun;69454
29040;Jawa Timur;Kabupaten;Sumenep;Dasuk;Nyapar;69454
29041;Jawa Timur;Kabupaten;Sumenep;Dasuk;Semaan;69454
29042;Jawa Timur;Kabupaten;Sumenep;Dasuk;Slopeng;69454
29043;Jawa Timur;Kabupaten;Sumenep;Dungkek;Bancamara;69474
29044;Jawa Timur;Kabupaten;Sumenep;Dungkek;Banraas;69474
29045;Jawa Timur;Kabupaten;Sumenep;Dungkek;Bicabi;69474
29046;Jawa Timur;Kabupaten;Sumenep;Dungkek;Bungin Bungin;69474
29047;Jawa Timur;Kabupaten;Sumenep;Dungkek;Bunpenang;69474
29048;Jawa Timur;Kabupaten;Sumenep;Dungkek;Candi;69474
29049;Jawa Timur;Kabupaten;Sumenep;Dungkek;Dungkek;69474
29050;Jawa Timur;Kabupaten;Sumenep;Dungkek;Jadung;69474
29051;Jawa Timur;Kabupaten;Sumenep;Dungkek;Lapa Daya;69474
29052;Jawa Timur;Kabupaten;Sumenep;Dungkek;Lapa Laok;69474
29053;Jawa Timur;Kabupaten;Sumenep;Dungkek;Lapa Taman;69474
29054;Jawa Timur;Kabupaten;Sumenep;Dungkek;Romben Barat;69474
29055;Jawa Timur;Kabupaten;Sumenep;Dungkek;Romben Guna;69474
29056;Jawa Timur;Kabupaten;Sumenep;Dungkek;Romben Rana;69474
29057;Jawa Timur;Kabupaten;Sumenep;Dungkek;Tamansare;69474
29058;Jawa Timur;Kabupaten;Sumenep;Ganding;Bataal Barat;69462
29059;Jawa Timur;Kabupaten;Sumenep;Ganding;Bataal Timur;69462
29060;Jawa Timur;Kabupaten;Sumenep;Ganding;Bilapora Barat;69462
29061;Jawa Timur;Kabupaten;Sumenep;Ganding;Bilapora Timur;69462
29062;Jawa Timur;Kabupaten;Sumenep;Ganding;Gadu Barat;69462
29063;Jawa Timur;Kabupaten;Sumenep;Ganding;Gadu Timur;69462
29064;Jawa Timur;Kabupaten;Sumenep;Ganding;Ganding;69462
29065;Jawa Timur;Kabupaten;Sumenep;Ganding;Ketawang Daleman;69462
29066;Jawa Timur;Kabupaten;Sumenep;Ganding;Ketawang Karay;69462
29067;Jawa Timur;Kabupaten;Sumenep;Ganding;Ketawang Larangan;69462
29068;Jawa Timur;Kabupaten;Sumenep;Ganding;Ketawang Parebaan;69462
29069;Jawa Timur;Kabupaten;Sumenep;Ganding;Rombiya Barat;69462
29070;Jawa Timur;Kabupaten;Sumenep;Ganding;Rombiya Timur;69462
29071;Jawa Timur;Kabupaten;Sumenep;Ganding;Talaga;69462
29072;Jawa Timur;Kabupaten;Sumenep;Gapura;Andulang;69472
29073;Jawa Timur;Kabupaten;Sumenep;Gapura;Baban;69472
29074;Jawa Timur;Kabupaten;Sumenep;Gapura;Banjar Barat;69472
29075;Jawa Timur;Kabupaten;Sumenep;Gapura;Banjar Timur;69472
29076;Jawa Timur;Kabupaten;Sumenep;Gapura;Batudinding;69472
