No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
30000;Jawa Timur;Kabupaten;Tulungagung;Kalidawir;Winong;66281
30001;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Babadan;66253
30002;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Bungur;66253
30003;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Gedangan;66253
30004;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Jeli;66253
30005;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Karangrejo;66253
30006;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Punjul;66253
30007;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Sembon;66253
30008;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Sukodono;66253
30009;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Sukorejo;66253
30010;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Sukowidodo;66253
30011;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Sukowiyono;66253
30012;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Tanjungsari;66253
30013;Jawa Timur;Kabupaten;Tulungagung;Karang Rejo;Tulungrejo;66253
30014;Jawa Timur;Kabupaten;Tulungagung;Kauman;Balerejo;66261
30015;Jawa Timur;Kabupaten;Tulungagung;Kauman;Banaran;66261
30016;Jawa Timur;Kabupaten;Tulungagung;Kauman;Batangsaren;66261
30017;Jawa Timur;Kabupaten;Tulungagung;Kauman;Bolorejo;66261
30018;Jawa Timur;Kabupaten;Tulungagung;Kauman;Jatimulyo;66261
30019;Jawa Timur;Kabupaten;Tulungagung;Kauman;Kalangbret;66261
30020;Jawa Timur;Kabupaten;Tulungagung;Kauman;Karanganom;66261
30021;Jawa Timur;Kabupaten;Tulungagung;Kauman;Kates;66261
30022;Jawa Timur;Kabupaten;Tulungagung;Kauman;Kauman;66261
30023;Jawa Timur;Kabupaten;Tulungagung;Kauman;Mojosari;66261
30024;Jawa Timur;Kabupaten;Tulungagung;Kauman;Panggungrejo;66261
