No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
30500;Kalimantan Barat;Kabupaten;Kapuas Hulu;Putussibau Utara;Sibau Hulu;78716
30501;Kalimantan Barat;Kabupaten;Kapuas Hulu;Putussibau Utara;Sungai Uluk Palin;78716
30502;Kalimantan Barat;Kabupaten;Kapuas Hulu;Putussibau Utara;Tanjung Beruang;78716
30503;Kalimantan Barat;Kabupaten;Kapuas Hulu;Putussibau Utara;Tanjung Karang;78716
30504;Kalimantan Barat;Kabupaten;Kapuas Hulu;Putussibau Utara;Tanjung Lasa;78716
30505;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Bati;78772
30506;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Bekuan;78772
30507;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Belikai;78772
30508;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Beluis Harum;78772
30509;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Emperiang;78772
30510;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Gurung;78772
30511;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Jerenjang;78772
30512;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Nanga Lot;78772
30513;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Nanga Pala;78772
30514;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Pala Kota;78772
30515;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Ranyai;78772
30516;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Sejiram;78772
30517;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Seneban;78772
30518;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Tajau Mada;78772
30519;Kalimantan Barat;Kabupaten;Kapuas Hulu;Seberuang;Tanjung Keliling;78772
30520;Kalimantan Barat;Kabupaten;Kapuas Hulu;Selimbau;Benuis;78765
30521;Kalimantan Barat;Kabupaten;Kapuas Hulu;Selimbau;Dalam;78765
30522;Kalimantan Barat;Kabupaten;Kapuas Hulu;Selimbau;Engkerengas;78765
30523;Kalimantan Barat;Kabupaten;Kapuas Hulu;Selimbau;Gerayau;78765
30524;Kalimantan Barat;Kabupaten;Kapuas Hulu;Selimbau;Gudang Hilir;78765
30525;Kalimantan Barat;Kabupaten;Kapuas Hulu;Selimbau;Gudang Hulu;78765
30526;Kalimantan Barat;Kabupaten;Kapuas Hulu;Selimbau;Mawan;78765
30527;Kalimantan Barat;Kabupaten;Kapuas Hulu;Selimbau;Nanga Leboyan;78765
30528;Kalimantan Barat;Kabupaten;Kapuas Hulu;Selimbau;Nibung;78765
