No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
31000;Kalimantan Barat;Kabupaten;Landak;Air Besar;Merayuh;79365
31001;Kalimantan Barat;Kabupaten;Landak;Air Besar;Nyari;79365
31002;Kalimantan Barat;Kabupaten;Landak;Air Besar;Parek (Pare/Sutipadang);79365
31003;Kalimantan Barat;Kabupaten;Landak;Air Besar;Sekendal;79365
31004;Kalimantan Barat;Kabupaten;Landak;Air Besar;Sempatung Lawek;79365
31005;Kalimantan Barat;Kabupaten;Landak;Air Besar;Semuntik;79365
31006;Kalimantan Barat;Kabupaten;Landak;Air Besar;Sepangah;79365
31007;Kalimantan Barat;Kabupaten;Landak;Air Besar;Serimbu;79365
31008;Kalimantan Barat;Kabupaten;Landak;Air Besar;Temoyok;79365
31009;Kalimantan Barat;Kabupaten;Landak;Air Besar;Tengon Pelaik;79365
31010;Kalimantan Barat;Kabupaten;Landak;Air Besar;Tenguwe;79365
31011;Kalimantan Barat;Kabupaten;Landak;Banyuke Hulu;Gamang;79364
31012;Kalimantan Barat;Kabupaten;Landak;Banyuke Hulu;Kampet;79364
31013;Kalimantan Barat;Kabupaten;Landak;Banyuke Hulu;Padang Pio;79364
31014;Kalimantan Barat;Kabupaten;Landak;Banyuke Hulu;Ringo Lojok;79364
31015;Kalimantan Barat;Kabupaten;Landak;Banyuke Hulu;Semade;79364
31016;Kalimantan Barat;Kabupaten;Landak;Banyuke Hulu;Tembawang Bale;79364
31017;Kalimantan Barat;Kabupaten;Landak;Banyuke Hulu;Untang;79364
31018;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Angan Tembawang;79357
31019;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Balai Peluntan;79357
31020;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Dara Itam I;79357
31021;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Jelimpo;79357
31022;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Kayu Ara;79357
31023;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Kersik Belantian;79357
31024;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Mandor Kiru;79357
31025;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Nyiin;79357
31026;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Papung;79357
31027;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Pawis Hilir;79357
31028;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Sekais;79357
31029;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Temahar;79357
31030;Kalimantan Barat;Kabupaten;Landak;Jelimpo;Tubang Raeng;79357
31031;Kalimantan Barat;Kabupaten;Landak;Kuala Behe;Angkanyar;79367
31032;Kalimantan Barat;Kabupaten;Landak;Kuala Behe;Bengawan Ampar;79367
31033;Kalimantan Barat;Kabupaten;Landak;Kuala Behe;Kedama;79367
31034;Kalimantan Barat;Kabupaten;Landak;Kuala Behe;Kuala Behe;79367
31035;Kalimantan Barat;Kabupaten;Landak;Kuala Behe;Nyayum;79367
31036;Kalimantan Barat;Kabupaten;Landak;Kuala Behe;Paku Raya;79367
31037;Kalimantan Barat;Kabupaten;Landak;Kuala Behe;Permiit;79367
31038;Kalimantan Barat;Kabupaten;Landak;Kuala Behe;Sehe Lusur;79367
31039;Kalimantan Barat;Kabupaten;Landak;Kuala Behe;Sejowet;79367
31040;Kalimantan Barat;Kabupaten;Landak;Kuala Behe;Semedang (Sumedang);79367
31041;Kalimantan Barat;Kabupaten;Landak;Kuala Behe;Tanjung Balai;79367
31042;Kalimantan Barat;Kabupaten;Landak;Mandor;Bebatung;79355
31043;Kalimantan Barat;Kabupaten;Landak;Mandor;Kayu Ara;79355
31044;Kalimantan Barat;Kabupaten;Landak;Mandor;Kayu Tanam;79355
31045;Kalimantan Barat;Kabupaten;Landak;Mandor;Keramas;79355
31046;Kalimantan Barat;Kabupaten;Landak;Mandor;Kerohok;79355
31047;Kalimantan Barat;Kabupaten;Landak;Mandor;Mandor;79355
31048;Kalimantan Barat;Kabupaten;Landak;Mandor;Manggang;79355
31049;Kalimantan Barat;Kabupaten;Landak;Mandor;Mengkunyit;79355
31050;Kalimantan Barat;Kabupaten;Landak;Mandor;Ngarak;79355
31051;Kalimantan Barat;Kabupaten;Landak;Mandor;Pongok;79355
31052;Kalimantan Barat;Kabupaten;Landak;Mandor;Sala Tiga;79355
31053;Kalimantan Barat;Kabupaten;Landak;Mandor;Sebadu;79355
31054;Kalimantan Barat;Kabupaten;Landak;Mandor;Sekilap;79355
31055;Kalimantan Barat;Kabupaten;Landak;Mandor;Selutung;79355
31056;Kalimantan Barat;Kabupaten;Landak;Mandor;Semenok;79355
31057;Kalimantan Barat;Kabupaten;Landak;Mandor;Simpang Kasturi;79355
31058;Kalimantan Barat;Kabupaten;Landak;Mandor;Sum Sum;79355
31059;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Ansolok;79363
31060;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Babatn;79363
31061;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Bilayuk;79363
31062;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Caokng;79363
31063;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Garu;79363
31064;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Karangan;79363
31065;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Mentonyek;79363
31066;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Pahong (Pahok);79363
31067;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Parigi;79363
31068;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Sabaka;79363
31069;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Sailo;79363
31070;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Sala'as;79363
31071;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Salumang;79363
31072;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Sampuro;79363
31073;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Sei/Sungai Laki;79363
31074;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Tiang Tanjung;79363
31075;Kalimantan Barat;Kabupaten;Landak;Mempawah Hulu;Tunang;79363
31076;Kalimantan Barat;Kabupaten;Landak;Menjalin;Bengkawe;79362
31077;Kalimantan Barat;Kabupaten;Landak;Menjalin;Lamo Anak;79362
31078;Kalimantan Barat;Kabupaten;Landak;Menjalin;Menjalin;79362
31079;Kalimantan Barat;Kabupaten;Landak;Menjalin;Nangka;79362
31080;Kalimantan Barat;Kabupaten;Landak;Menjalin;Raba;79362
31081;Kalimantan Barat;Kabupaten;Landak;Menjalin;Rees;79362
31082;Kalimantan Barat;Kabupaten;Landak;Menjalin;Sepahat;79362
31083;Kalimantan Barat;Kabupaten;Landak;Menjalin;Tempoak;79362
31084;Kalimantan Barat;Kabupaten;Landak;Menyuke;Angkaras;79364
31085;Kalimantan Barat;Kabupaten;Landak;Menyuke;Anik Dingir;79364
31086;Kalimantan Barat;Kabupaten;Landak;Menyuke;Ansang;79364
31087;Kalimantan Barat;Kabupaten;Landak;Menyuke;Bagak;79364
31088;Kalimantan Barat;Kabupaten;Landak;Menyuke;Berinang Mayun;79364
31089;Kalimantan Barat;Kabupaten;Landak;Menyuke;Darit;79364
31090;Kalimantan Barat;Kabupaten;Landak;Menyuke;Kayuara;79364
31091;Kalimantan Barat;Kabupaten;Landak;Menyuke;Ladangan;79364
31092;Kalimantan Barat;Kabupaten;Landak;Menyuke;Lintah Betung;79364
31093;Kalimantan Barat;Kabupaten;Landak;Menyuke;Mamek;79364
31094;Kalimantan Barat;Kabupaten;Landak;Menyuke;Ongkol Padang;79364
31095;Kalimantan Barat;Kabupaten;Landak;Menyuke;Sei/Sungai Lubang;79364
31096;Kalimantan Barat;Kabupaten;Landak;Menyuke;Sidan;79364
31097;Kalimantan Barat;Kabupaten;Landak;Menyuke;Songga;79364
31098;Kalimantan Barat;Kabupaten;Landak;Menyuke;Ta As;79364
31099;Kalimantan Barat;Kabupaten;Landak;Menyuke;Tolok;79364
31100;Kalimantan Barat;Kabupaten;Landak;Meranti;Ampadi;79366
31101;Kalimantan Barat;Kabupaten;Landak;Meranti;Kelampai Setolo;79366
31102;Kalimantan Barat;Kabupaten;Landak;Meranti;Meranti;79366
31103;Kalimantan Barat;Kabupaten;Landak;Meranti;Moro Betung;79366
31104;Kalimantan Barat;Kabupaten;Landak;Meranti;Selange;79366
31105;Kalimantan Barat;Kabupaten;Landak;Meranti;Tahu;79366
31106;Kalimantan Barat;Kabupaten;Landak;Ngabang;Amang;79357
31107;Kalimantan Barat;Kabupaten;Landak;Ngabang;Ambarang;79357
31108;Kalimantan Barat;Kabupaten;Landak;Ngabang;Amboyo Inti;79357
31109;Kalimantan Barat;Kabupaten;Landak;Ngabang;Amboyo Selatan;79357
31110;Kalimantan Barat;Kabupaten;Landak;Ngabang;Amboyo Utara;79357
31111;Kalimantan Barat;Kabupaten;Landak;Ngabang;Antan Rayan;79357
31112;Kalimantan Barat;Kabupaten;Landak;Ngabang;Engkadu;79357
31113;Kalimantan Barat;Kabupaten;Landak;Ngabang;Hilir Kantor;79357
31114;Kalimantan Barat;Kabupaten;Landak;Ngabang;Hilir Tengah;79357
31115;Kalimantan Barat;Kabupaten;Landak;Ngabang;Munggu;79357
31116;Kalimantan Barat;Kabupaten;Landak;Ngabang;Muun;79357
31117;Kalimantan Barat;Kabupaten;Landak;Ngabang;Pak Mayam;79357
31118;Kalimantan Barat;Kabupaten;Landak;Ngabang;Penyahu Dangku (Penyaho Dangku);79357
31119;Kalimantan Barat;Kabupaten;Landak;Ngabang;Raja;79357
31120;Kalimantan Barat;Kabupaten;Landak;Ngabang;Rasan;79357
31121;Kalimantan Barat;Kabupaten;Landak;Ngabang;Sebirang;79357
31122;Kalimantan Barat;Kabupaten;Landak;Ngabang;Sungai Keli;79357
31123;Kalimantan Barat;Kabupaten;Landak;Ngabang;Tebedak;79357
31124;Kalimantan Barat;Kabupaten;Landak;Ngabang;Temiang Sawi;79357
31125;Kalimantan Barat;Kabupaten;Landak;Sebangki;Agak;79358
31126;Kalimantan Barat;Kabupaten;Landak;Sebangki;Kumpang Tengah;79358
31127;Kalimantan Barat;Kabupaten;Landak;Sebangki;Rantau Panjang;79358
31128;Kalimantan Barat;Kabupaten;Landak;Sebangki;Sebangki;79358
31129;Kalimantan Barat;Kabupaten;Landak;Sebangki;Sei/Sungai Segak;79358
31130;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Andeng;79356
31131;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Aur Sampuk;79356
31132;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Banying;79356
31133;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Gombang;79356
31134;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Keranji Mancal;79356
31135;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Keranji Paidang;79356
31136;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Pahauman;79356
31137;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Paloan;79356
31138;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Rabak;79356
31139;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Saham;79356
31140;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Sebatih;79356
31141;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Senakin;79356
31142;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Sidas;79356
31143;Kalimantan Barat;Kabupaten;Landak;Sengah Temila;Tonang;79356
31144;Kalimantan Barat;Kabupaten;Landak;Sompak;Ambawang;79363
31145;Kalimantan Barat;Kabupaten;Landak;Sompak;Galar;79363
31146;Kalimantan Barat;Kabupaten;Landak;Sompak;Lingkonong;79363
31147;Kalimantan Barat;Kabupaten;Landak;Sompak;Pakumbang (Pak Kumbang);79363
31148;Kalimantan Barat;Kabupaten;Landak;Sompak;Pauh;79363
31149;Kalimantan Barat;Kabupaten;Landak;Sompak;Sompak;79363
31150;Kalimantan Barat;Kabupaten;Landak;Sompak;Tapanking (Tapang);79363
31151;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Balai Agas;79671
31152;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Batu Ampar;79671
31153;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Batu Buil;79671
31154;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Batu Nanta;79671
31155;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Belonsat;79671
31156;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Entebah;79671
31157;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Guhung;79671
31158;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Labang;79671
31159;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Laman Bukit;79671
31160;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Langan;79671
31161;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Nanga Menunuk;79671
31162;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Nanga Pau;79671
31163;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Nusa Kenyikap;79671
31164;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Pemuar;79671
31165;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Sepan Tonak;79671
31166;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Tekaban;79671
31167;Kalimantan Barat;Kabupaten;Melawi;Belimbing;Upit (Upet);79671
31168;Kalimantan Barat;Kabupaten;Melawi;Belimbing Hulu;Beloyang;79671
31169;Kalimantan Barat;Kabupaten;Melawi;Belimbing Hulu;Junjung Permai;79671
31170;Kalimantan Barat;Kabupaten;Melawi;Belimbing Hulu;Kayu Bunga;79671
31171;Kalimantan Barat;Kabupaten;Melawi;Belimbing Hulu;Keberak (Nanga Keberak);79671
31172;Kalimantan Barat;Kabupaten;Melawi;Belimbing Hulu;Nanga Raya;79671
31173;Kalimantan Barat;Kabupaten;Melawi;Belimbing Hulu;Nanga Tikan;79671
31174;Kalimantan Barat;Kabupaten;Melawi;Belimbing Hulu;Piawas;79671
31175;Kalimantan Barat;Kabupaten;Melawi;Belimbing Hulu;Tiong Keranjik;79671
31176;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Bemban Permai;79681
31177;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Domet Permai;79681
31178;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Jabai;79681
31179;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Kahiya;79681
31180;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Kerangan Kora;79681
31181;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Lengkong Nyadom;79681
31182;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Nanga Ella Hilir;79681
31183;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Nanga Kalan;79681
31184;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Nanga Kempangai;79681
31185;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Nanga Nuak;79681
31186;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Nanga Nyuruh;79681
31187;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Nantai Compa;79681
31188;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Nyangau;79681
31189;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Pelempai Jaya;79681
31190;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Penyuguk;79681
31191;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Perembang Nyuruh;79681
31192;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Popai;79681
31193;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Sungai Labu;79681
31194;Kalimantan Barat;Kabupaten;Melawi;Ella Hilir;Sungai Mentoba;79681
31195;Kalimantan Barat;Kabupaten;Melawi;Menukung;Batas nangka;79682
31196;Kalimantan Barat;Kabupaten;Melawi;Menukung;Batu Badak;79682
31197;Kalimantan Barat;Kabupaten;Melawi;Menukung;Batu Onap;79682
31198;Kalimantan Barat;Kabupaten;Melawi;Menukung;Belaban Ella;79682
31199;Kalimantan Barat;Kabupaten;Melawi;Menukung;Ella Hulu (Nanga Ella Hulu);79682
31200;Kalimantan Barat;Kabupaten;Melawi;Menukung;Laman Mumbung;79682
31201;Kalimantan Barat;Kabupaten;Melawi;Menukung;Landau Leban;79682
31202;Kalimantan Barat;Kabupaten;Melawi;Menukung;Lihai;79682
31203;Kalimantan Barat;Kabupaten;Melawi;Menukung;Mawang Mentatai;79682
31204;Kalimantan Barat;Kabupaten;Melawi;Menukung;Melona;79682
31205;Kalimantan Barat;Kabupaten;Melawi;Menukung;Menukung Kota;79682
31206;Kalimantan Barat;Kabupaten;Melawi;Menukung;Nanga Keruap;79682
31207;Kalimantan Barat;Kabupaten;Melawi;Menukung;Nanga Siyai;79682
31208;Kalimantan Barat;Kabupaten;Melawi;Menukung;Nusa Poring;79682
31209;Kalimantan Barat;Kabupaten;Melawi;Menukung;Oyah;79682
31210;Kalimantan Barat;Kabupaten;Melawi;Menukung;Pelaik Keruap;79682
31211;Kalimantan Barat;Kabupaten;Melawi;Menukung;Sei/Sungai Sampak;79682
31212;Kalimantan Barat;Kabupaten;Melawi;Menukung;Sei/Sungai Sampuk;79682
31213;Kalimantan Barat;Kabupaten;Melawi;Menukung;Tanjung Beringin;79682
31214;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Baru;79672
31215;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Kelakik;79672
31216;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Kenual;79672
31217;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Labai Mandiri;79672
31218;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Nanga Kayan;79672
31219;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Nanga Kebebu;79672
31220;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Nusa Pandau;79672
31221;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Paal;79672
31222;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Poring;79672
31223;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Semadin Lengkong;79672
31224;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Sido Mulyo;79672
31225;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Tanjung Lay;79672
31226;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Tanjung Niaga;79672
31227;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Tanjung Sari;79672
31228;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Tanjung Tengang;79672
31229;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Tebing Karangan;79672
31230;Kalimantan Barat;Kabupaten;Melawi;Nanga Pinoh;Tembawang Panjang;79672
31231;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Bayur Raya;79672
31232;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Bina Jaya;79672
31233;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Landau Garong;79672
31234;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Landau Tubun;79672
31235;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Mandau Baru;79672
31236;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Manggala;79672
31237;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Nanga Kelawai;79672
31238;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Nanga Pintas;79672
31239;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Nyanggai;79672
31240;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Pelinggang;79672
31241;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Sei/Sungai Bakah;79672
31242;Kalimantan Barat;Kabupaten;Melawi;Pinoh Selatan;Senempak;79672
31243;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Engkurai;79672
31244;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Kayan Semapau;79672
31245;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Kompas Raya;79672
31246;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Manding;79672
31247;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Melamut Bersatu;79672
31248;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Melawi Kiri Hilir;79672
31249;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Merah Atas;79672
31250;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Merpak;79672
31251;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Nanga Belimbing;79672
31252;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Nanga Man;79672
31253;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Natai Panjang;79672
31254;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Sei/Sungai Pinang;79672
31255;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Sei/Sungai Raya;79672
31256;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Senibung;79672
31257;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Suka Damai;79672
31258;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Tanjung Arak;79672
31259;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Tanjung Paoh;79672
31260;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Tekelak;79672
31261;Kalimantan Barat;Kabupaten;Melawi;Pinoh Utara;Tengkajau;79672
31262;Kalimantan Barat;Kabupaten;Melawi;Sayan;Berobai Permai;79673
31263;Kalimantan Barat;Kabupaten;Melawi;Sayan;Bora;79673
31264;Kalimantan Barat;Kabupaten;Melawi;Sayan;Karangan Purun (Kerangan Purun);79673
31265;Kalimantan Barat;Kabupaten;Melawi;Sayan;Landau Sadak;79673
31266;Kalimantan Barat;Kabupaten;Melawi;Sayan;Lingkar Indah;79673
31267;Kalimantan Barat;Kabupaten;Melawi;Sayan;Madya Raya;79673
31268;Kalimantan Barat;Kabupaten;Melawi;Sayan;Mekar Pelita;79673
31269;Kalimantan Barat;Kabupaten;Melawi;Sayan;Meta Bersatu;79673
31270;Kalimantan Barat;Kabupaten;Melawi;Sayan;Nanga Kasai;79673
31271;Kalimantan Barat;Kabupaten;Melawi;Sayan;Nanga Kompi;79673
31272;Kalimantan Barat;Kabupaten;Melawi;Sayan;Nanga Mancur;79673
31273;Kalimantan Barat;Kabupaten;Melawi;Sayan;Nanga Pak;79673
31274;Kalimantan Barat;Kabupaten;Melawi;Sayan;Nanga Raku;79673
31275;Kalimantan Barat;Kabupaten;Melawi;Sayan;Nanga Sayan;79673
31276;Kalimantan Barat;Kabupaten;Melawi;Sayan;Pekawai;79673
31277;Kalimantan Barat;Kabupaten;Melawi;Sayan;Sayan Jaya;79673
31278;Kalimantan Barat;Kabupaten;Melawi;Sayan;Siling Permai;79673
31279;Kalimantan Barat;Kabupaten;Melawi;Sayan;Tumbak Raya;79673
31280;Kalimantan Barat;Kabupaten;Melawi;Sokan;Gelata;79675
31281;Kalimantan Barat;Kabupaten;Melawi;Sokan;Keluing Taja;79675
31282;Kalimantan Barat;Kabupaten;Melawi;Sokan;Landau Kabu;79675
31283;Kalimantan Barat;Kabupaten;Melawi;Sokan;Melana;79675
31284;Kalimantan Barat;Kabupaten;Melawi;Sokan;Muara Tanjung;79675
31285;Kalimantan Barat;Kabupaten;Melawi;Sokan;Nanga Betangai;79675
31286;Kalimantan Barat;Kabupaten;Melawi;Sokan;Nanga Libas;79675
31287;Kalimantan Barat;Kabupaten;Melawi;Sokan;Nanga Ora;79675
31288;Kalimantan Barat;Kabupaten;Melawi;Sokan;Nanga Potai;79675
31289;Kalimantan Barat;Kabupaten;Melawi;Sokan;Nanga Sokan;79675
31290;Kalimantan Barat;Kabupaten;Melawi;Sokan;Nanga Tangkit;79675
31291;Kalimantan Barat;Kabupaten;Melawi;Sokan;Penyengkuang;79675
31292;Kalimantan Barat;Kabupaten;Melawi;Sokan;Sepakat;79675
31293;Kalimantan Barat;Kabupaten;Melawi;Sokan;Sijau;79675
31294;Kalimantan Barat;Kabupaten;Melawi;Sokan;Tanjung Mahung;79675
31295;Kalimantan Barat;Kabupaten;Melawi;Sokan;Tanjung Sokan;79675
31296;Kalimantan Barat;Kabupaten;Melawi;Sokan;Telaga Raya;79675
31297;Kalimantan Barat;Kabupaten;Melawi;Sokan;Teluk Pangkal;79675
31298;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Bata Luar;79674
31299;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Batu Begigi;79674
31300;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Bina Jaya;79674
31301;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Bina Karya;79674
31302;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Keranjik;79674
31303;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Loka Jaya;79674
31304;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Madong Raya;79674
31305;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Maris Permai;79674
31306;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Pelita Kanaya;79674
31307;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Suka Maju;79674
31308;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Tanjung Beringin Raya;79674
31309;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh;Tanjung Gunung;79674
31310;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh Barat;Bukit Raya;79674
31311;Kalimantan Barat;Kabupaten;Melawi;Tanah Pinoh Barat;Durian Jaya;79674
