No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
31500;Kalimantan Barat;Kabupaten;Sambas;Sebawi;Sepuk Tanjung;79462
31501;Kalimantan Barat;Kabupaten;Sambas;Sebawi;Tebing Batu;79462
31502;Kalimantan Barat;Kabupaten;Sambas;Sebawi;Tempatan;79462
31503;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Parit Raja;79463
31504;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Penakalan;79463
31505;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Perigi Landu;79463
31506;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Perigi Limus;79463
31507;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Piantus;79463
31508;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Sekuduk;79463
31509;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Semanga;79463
31510;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Sendoyan;79463
31511;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Senujuh;79463
31512;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Sepantai;79463
31513;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Setalik;79463
31514;Kalimantan Barat;Kabupaten;Sambas;Sejangkung;Sulung;79463
31515;Kalimantan Barat;Kabupaten;Sambas;Selakau;Bentunai;79452
31516;Kalimantan Barat;Kabupaten;Sambas;Selakau;Gayung Bersambut;79452
31517;Kalimantan Barat;Kabupaten;Sambas;Selakau;Kuala;79452
31518;Kalimantan Barat;Kabupaten;Sambas;Selakau;Pangkalan Bemban;79452
31519;Kalimantan Barat;Kabupaten;Sambas;Selakau;Parit Baru;79452
31520;Kalimantan Barat;Kabupaten;Sambas;Selakau;Parit Kongsi;79452
31521;Kalimantan Barat;Kabupaten;Sambas;Selakau;Semelagi Besar;79452
31522;Kalimantan Barat;Kabupaten;Sambas;Selakau;Sungai Daun;79452
31523;Kalimantan Barat;Kabupaten;Sambas;Selakau;Sungai Nyirih;79452
31524;Kalimantan Barat;Kabupaten;Sambas;Selakau;Sungai Rusa;79452
