No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
32000;Kalimantan Barat;Kabupaten;Sintang;Kelam Permai;Pelimping;78656
32001;Kalimantan Barat;Kabupaten;Sintang;Kelam Permai;Sei/Sungai Maram;78656
32002;Kalimantan Barat;Kabupaten;Sintang;Kelam Permai;Sei/Sungai Pukat;78656
32003;Kalimantan Barat;Kabupaten;Sintang;Kelam Permai;Sepan Lebang;78656
32004;Kalimantan Barat;Kabupaten;Sintang;Kelam Permai;Sungai Labi;78656
32005;Kalimantan Barat;Kabupaten;Sintang;Kelam Permai;Sungai Lais;78656
32006;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Air Nyuruk;78652
32007;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Batu Ampar;78652
32008;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Baung Sengatap;78652
32009;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Beluh Mulyo;78652
32010;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Betung Permai;78652
32011;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Bukit Sidin Permai;78652
32012;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Kenuak;78652
32013;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Nanga Ketungau;78652
32014;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Nanga Merkak;78652
32015;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Nanga Sejirak;78652
32016;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Sei/Sungai Deras;78652
32017;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Sei/Sungai Mali;78652
32018;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Semajau Mekar;78652
32019;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Semuntai;78652
32020;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Senibung;78652
32021;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Setungkup;78652
32022;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hilir;Tanjung Baung;78652
32023;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Bekuan Luyang;78654
32024;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Empunak Tapang Keladan;78654
32025;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Empura;78654
32026;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Jasa;78654
32027;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Muakan Petinggi;78654
32028;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Nanga Bayan;78654
32029;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Nanga Bugau;78654
32030;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Nanga Sebawang;78654
32031;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Rasau;78654
32032;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Sebadak;78654
32033;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Sebetung Paluk;78654
32034;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Sei/Sungai Seria;78654
32035;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Sekaih;78654
32036;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Senaning;78654
32037;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Sepiluk;78654
32038;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Suak Medang;78654
32039;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Sungai Bugau;78654
32040;Kalimantan Barat;Kabupaten;Sintang;Ketungau Hulu;Sungai Pisau;78654
32041;Kalimantan Barat;Kabupaten;Sintang;Ketungau Tengah;Argo Mulyo;78653
32042;Kalimantan Barat;Kabupaten;Sintang;Ketungau Tengah;Begelang Jaya;78653
