No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
32500;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Mekar;70617
32501;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Melayu Ilir;70617
32502;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Melayu Tengah;70617
32503;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Melayu Ulu;70617
32504;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Pekauman;70617
32505;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Pekauman Dalam;70617
32506;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Pekauman Ulu;70617
32507;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Pematang Baru;70617
32508;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Sei/Sungai Kitano;70617
32509;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Tambak Anyar;70617
32510;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Tambak Anyar Ilir;70617
32511;Kalimantan Selatan;Kabupaten;Banjar;Martapura Timur;Tambak Anyar Ulu;70617
32512;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Baru;70672
32513;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Bawahan Pasar;70672
32514;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Bawahan Seberang;70672
32515;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Bawahan Selan;70672
32516;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Gunung Ulin;70672
32517;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Lok Tamu;70672
32518;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Mangka Lawat;70672
32519;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Mataraman;70672
32520;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Pasiraman;70672
32521;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Pematang Danau;70672
32522;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Sei/Sungai Jati;70672
32523;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Simpang Tiga;70672
32524;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Surian;70672
32525;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Takuti;70672
32526;Kalimantan Selatan;Kabupaten;Banjar;Mataraman;Tanah Abang;70672
32527;Kalimantan Selatan;Kabupaten;Banjar;Pengaron;Alimukim;70674
32528;Kalimantan Selatan;Kabupaten;Banjar;Pengaron;Antaraku;70674
32529;Kalimantan Selatan;Kabupaten;Banjar;Pengaron;Ati Im;70674
32530;Kalimantan Selatan;Kabupaten;Banjar;Pengaron;Benteng;70674
32531;Kalimantan Selatan;Kabupaten;Banjar;Pengaron;Kertak Empat;70674
32532;Kalimantan Selatan;Kabupaten;Banjar;Pengaron;Lobang Baru;70674
32533;Kalimantan Selatan;Kabupaten;Banjar;Pengaron;Loktunggul;70674
32534;Kalimantan Selatan;Kabupaten;Banjar;Pengaron;Lumpangi;70674
32535;Kalimantan Selatan;Kabupaten;Banjar;Pengaron;Mangkauk;70674
