No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
33000;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Padang Batung;Malutu;71281
33001;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Padang Batung;Mawangi;71281
33002;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Padang Batung;Padang Batung;71281
33003;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Padang Batung;Pahampangan;71281
33004;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Padang Batung;Pandulangan;71281
33005;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Padang Batung;Tabihi;71281
33006;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Simpur;Amparaya;71261
33007;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Simpur;Garunggang;71261
33008;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Simpur;Kapuh;71261
33009;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Simpur;Panjampang Bahagia;71261
33010;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Simpur;Pantai Ulin;71261
33011;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Simpur;Simpur;71261
33012;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Simpur;Tebing Tinggi;71261
33013;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Simpur;Ulin;71261
33014;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Simpur;Wasah Hilir;71261
33015;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Simpur;Wasah Hulu;71261
33016;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Simpur;Wasah Tengah;71261
33017;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Asam;71271
33018;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Baru;71271
33019;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Batang Kulur Kanan;71271
33020;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Batang Kulur Kiri;71271
33021;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Batang Kulur Tengah;71271
33022;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Bumi Barkat;71271
33023;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Hamalau;71271
33024;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Hariti;71271
33025;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Ida Manggala;71271
33026;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Karasikan;71271
33027;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Paring Agung;71271
33028;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Sarang Halang;71271
33029;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Sei/Sungai Kali;71271
33030;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Sei/Sungai Raya Selatan;71271
33031;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Sei/Sungai Raya Utara;71271
33032;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Tamiyang;71271
33033;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Tanah Bangkang;71271
33034;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Sungai Raya;Telaga Bidadari;71271
33035;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Telaga Langsat;Ambutun;71292
33036;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Telaga Langsat;Gumbil;71292
33037;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Telaga Langsat;Hamak;71292
33038;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Telaga Langsat;Hamak Timur;71292
33039;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Telaga Langsat;Hamak Utara;71292
33040;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Telaga Langsat;Lok Binuang;71292
33041;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Telaga Langsat;Longawang;71292
33042;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Telaga Langsat;Mandala;71292
33043;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Telaga Langsat;Pakuan Timur;71292
33044;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Telaga Langsat;Pandulangan;71292
33045;Kalimantan Selatan;Kabupaten;Hulu Sungai Selatan;Telaga Langsat;Telaga Langsat;71292
33046;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Awang Besar;71315
33047;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Ayuang;71315
33048;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Babai;71315
33049;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Bakapas;71315
33050;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Banua Binjai;71315
33051;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Banua Budi;71315
33052;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Banua Jingah;71315
33053;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Barabai Barat;71314
33054;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Barabai Darat;71315
33055;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Barabai Selatan;71311
33056;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Barabai Timur;71312
33057;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Barabai Utara;71313
33058;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Benawa Tengah;71315
33059;Kalimantan Selatan;Kabupaten;Hulu Sungai Tengah;Barabai;Bukat;71315
