No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
33500;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Selatan;Gunung Calang;72168
33501;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Selatan;Mulyodadi;72168
33502;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Selatan;Pondok Labu;72168
33503;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Selatan;Rampacengal;72168
33504;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Selatan;Sakadoyan;72168
33505;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Selatan;Sakalimau;72168
33506;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Selatan;Sekandis;72168
33507;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Selatan;Sesulung;72168
33508;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Selatan;Sukadana;72168
33509;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Selatan;Talusi;72168
33510;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Selatan;Tanjung Samalantakan;72168
33511;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Bakau;72169
33512;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Balamea;72169
33513;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Bepara;72169
33514;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Betung;72169
33515;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Binturung;72169
33516;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Harapan Baru;72169
33517;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Kalian;72169
33518;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Lintang Jaya;72169
33519;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Mulyo Harjo;72169
33520;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Pamukan Indah;72169
33521;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Sekayu Baru;72169
33522;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Tamiyang;72169
33523;Kalimantan Selatan;Kabupaten;Kotabaru;Pamukan Utara;Wonorejo;72169
33524;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Barat;Gemuruh;72153
33525;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Barat;Lontar Selatan;72153
33526;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Barat;Lontar Timur;72153
33527;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Barat;Lontar Utara;72153
33528;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Barat;Sebanti;72153
33529;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Barat;Semaras;72153
33530;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Barat;Sepagar;72153
33531;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Barat;Subur Makmur (Sepagar I);72153
33532;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Barat;Sumber Sari (Sepagar II);72153
33533;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Barat;Tepian Balai;72153
33534;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Barat;Terangkih / Terangkeh;72153
33535;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Kepulauan;Kerayaan Utara (Rosong Raya);72154
33536;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Kepulauan;Oka-Oka;72154
33537;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Kepulauan;Pulau Kerasian;72154
33538;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Kepulauan;Pulau Kerayaan;72154
33539;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Kepulauan;Pulau Kerumputan;72154
33540;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Kepulauan;Tanjung Lalak Selatan;72154
33541;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Kepulauan;Tanjung Lalak Utara;72154
33542;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Kepulauan;Teluk Aru;72154
33543;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Kepulauan;Teluk Kemuning;72154
33544;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Selatan;Alle Alle;72154
33545;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Selatan;Labuan Mas;72154
33546;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Selatan;Sei/Sungai Bahim;72154
33547;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Selatan;Sei/Sungai Bulan;72154
33548;Kalimantan Selatan;Kabupaten;Kotabaru;Pulau Laut Selatan;Tanjung Seloka;72154
