No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
34000;Kalimantan Selatan;Kabupaten;Tanah Laut;Panyipatan;Batu Mulya;70871
34001;Kalimantan Selatan;Kabupaten;Tanah Laut;Panyipatan;Batu Tungku;70871
34002;Kalimantan Selatan;Kabupaten;Tanah Laut;Panyipatan;Bumi Asih;70871
34003;Kalimantan Selatan;Kabupaten;Tanah Laut;Panyipatan;Kandangan Baru;70871
34004;Kalimantan Selatan;Kabupaten;Tanah Laut;Panyipatan;Kandangan Lama;70871
34005;Kalimantan Selatan;Kabupaten;Tanah Laut;Panyipatan;Kuringkit;70871
34006;Kalimantan Selatan;Kabupaten;Tanah Laut;Panyipatan;Panyipatan;70871
34007;Kalimantan Selatan;Kabupaten;Tanah Laut;Panyipatan;Suka Ramah;70871
34008;Kalimantan Selatan;Kabupaten;Tanah Laut;Panyipatan;Tanjung Dewa;70871
34009;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Ambungan;70815
34010;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Angsau;70814
34011;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Atu Atu;70815
34012;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Bumi Jaya;70815
34013;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Guntung Besar;70815
34014;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Kampung Baru;70815
34015;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Karang Taruna;70812
34016;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Pabahanan;70815
34017;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Panggung;70815
34018;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Panggung Baru;70815
34019;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Panjaratan;70815
34020;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Pelaihari;70815
34021;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Pemuda;70815
34022;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Sarang Halang;70815
34023;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Sei/Sungai Riam;70815
34024;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Sumber Mulia;70815
34025;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Tampang;70815
34026;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Telaga;70815
34027;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Tungkaran;70815
34028;Kalimantan Selatan;Kabupaten;Tanah Laut;Pelaihari;Ujung Batu;70815
34029;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Batilai;70861
34030;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Benua Lawas;70861
34031;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Benua Tengah;70861
34032;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Gunung Makmur;70861
34033;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Kuala Tambangan;70861
34034;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Pegatan Besar;70861
34035;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Ranggang;70861
34036;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Ranggang Dalam;70861
34037;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Sumber Makmur;70861
34038;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Tabanio;70861
34039;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Takisung;70861
34040;Kalimantan Selatan;Kabupaten;Tanah Laut;Takisung;Telaga Langsat;70861
34041;Kalimantan Selatan;Kabupaten;Tanah Laut;Tambang Ulang;Bingkulu;70854
34042;Kalimantan Selatan;Kabupaten;Tanah Laut;Tambang Ulang;Gunung Raja;70854
34043;Kalimantan Selatan;Kabupaten;Tanah Laut;Tambang Ulang;Kayu Abang;70854
34044;Kalimantan Selatan;Kabupaten;Tanah Laut;Tambang Ulang;Martadah;70854
34045;Kalimantan Selatan;Kabupaten;Tanah Laut;Tambang Ulang;Martadah Baru;70854
34046;Kalimantan Selatan;Kabupaten;Tanah Laut;Tambang Ulang;Pulau Sari;70854
34047;Kalimantan Selatan;Kabupaten;Tanah Laut;Tambang Ulang;Sei/Sungai Jelai;70854
34048;Kalimantan Selatan;Kabupaten;Tanah Laut;Tambang Ulang;Sei/Sungai Pinang;70854
34049;Kalimantan Selatan;Kabupaten;Tanah Laut;Tambang Ulang;Tambang Ulang;70854
34050;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Bakarangan;71152
34051;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Bundung;71152
34052;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Gadung;71152
34053;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Gadung Karamat;71152
34054;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Ketapang;71152
34055;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Masta;71152
34056;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Parigi;71152
34057;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Parigi Kecil;71152
34058;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Paul;71152
34059;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Tangkawang;71152
34060;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Tangkawang Baru;71152
34061;Kalimantan Selatan;Kabupaten;Tapin;Bakarangan;Waringin;71152
34062;Kalimantan Selatan;Kabupaten;Tapin;Binuang;A Yani Pura;71183
34063;Kalimantan Selatan;Kabupaten;Tapin;Binuang;Binuang;71183
34064;Kalimantan Selatan;Kabupaten;Tapin;Binuang;Gunung Batu;71183
34065;Kalimantan Selatan;Kabupaten;Tapin;Binuang;Karang Putih;71183
34066;Kalimantan Selatan;Kabupaten;Tapin;Binuang;Mekarsari;71183
34067;Kalimantan Selatan;Kabupaten;Tapin;Binuang;Padang Sari;71183
34068;Kalimantan Selatan;Kabupaten;Tapin;Binuang;Pualam Sari;71183
34069;Kalimantan Selatan;Kabupaten;Tapin;Binuang;Pulau Pinang;71183
34070;Kalimantan Selatan;Kabupaten;Tapin;Binuang;Pulau Pinang Utara;71183
34071;Kalimantan Selatan;Kabupaten;Tapin;Binuang;Raya Belanti;71183
34072;Kalimantan Selatan;Kabupaten;Tapin;Binuang;Tungkap;71183
34073;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Banua Padang;71153
34074;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Banua Padang Hilir;71153
34075;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Bungur;71153
34076;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Bungur Baru;71153
34077;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Hangui;71153
34078;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Kalumpang;71153
34079;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Linuh;71153
34080;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Paring Guling;71153
34081;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Purut;71153
34082;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Rantau Bujur;71153
34083;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Shabah;71153
34084;Kalimantan Selatan;Kabupaten;Tapin;Bungur;Timbung;71153
34085;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Baringin A;71162
34086;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Baringin B;71162
34087;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Baulin;71162
34088;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Candi Laras;71162
34089;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Marampiau;71162
34090;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Marampiau Hilir;71162
34091;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Margasari Ulu;71162
34092;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Pabaungan Hilir;71162
34093;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Pabaungan Hulu;71162
34094;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Pabaungan Pantai;71162
34095;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Sei/Sungai Rutas;71162
34096;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Selatan;Sei/Sungai Rutas Hulu;71162
34097;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Utara;Batalas;71171
34098;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Utara;Buas Buas;71171
34099;Kalimantan Selatan;Kabupaten;Tapin;Candi Laras Utara;Buas Buas Hilir;71171
