No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
34500;Kalimantan Tengah;Kabupaten;Gunung Mas;Kahayan Hulu Utara;Tumbang Miri;74553
34501;Kalimantan Tengah;Kabupaten;Gunung Mas;Kahayan Hulu Utara;Tumbang Pasangon;74553
34502;Kalimantan Tengah;Kabupaten;Gunung Mas;Kahayan Hulu Utara;Tumbang Ponyoi;74553
34503;Kalimantan Tengah;Kabupaten;Gunung Mas;Kahayan Hulu Utara;Tumbang Sian;74553
34504;Kalimantan Tengah;Kabupaten;Gunung Mas;Kahayan Hulu Utara;Tumbang Tajungan;74553
34505;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Hurung Bunut;74511
34506;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Kurun (Kuala Kurun);74511
34507;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Penda Pilang;74511
34508;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Petak Bahandang;74511
34509;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Pilang Munduk;74511
34510;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Tanjung Riu;74511
34511;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Teluk Nyatu;74511
34512;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Tewang Pajangan;74511
34513;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Tumbang Anjir;74511
34514;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Tumbang Hakau;74511
34515;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Tumbang Lampaung/Lampahung;74511
34516;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Tumbang Manyangan;74511
34517;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Tumbang Miwan;74511
34518;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Tumbang Tambirah;74511
34519;Kalimantan Tengah;Kabupaten;Gunung Mas;Kurun;Tumbang Tariak;74511
34520;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Bangun Sari;74562
34521;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Belawan Mulya;74562
34522;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Bereng Belawan;74562
34523;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Bereng Jun;74562
34524;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Fajar Harapan;74562
34525;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Gohong;74562
34526;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Takaras;74562
34527;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Tangki Dahuyan;74562
34528;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Taringen;74562
34529;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Tumbang Jelemu;74562
34530;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Tumbang Sepang;74562
34531;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing;Tumbang Talaken;74562
34532;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing Raya;Luwuk Tukau;74562
34533;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing Raya;Putat Durei;74562
34534;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing Raya;Tehang;74562
34535;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing Raya;Tumbang Mantuhe;74562
34536;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing Raya;Tumbang Oroi;74562
34537;Kalimantan Tengah;Kabupaten;Gunung Mas;Manuhing Raya;Tumbang Samui;74562
34538;Kalimantan Tengah;Kabupaten;Gunung Mas;Mihing Raya;Dahian Tambuk;74571
34539;Kalimantan Tengah;Kabupaten;Gunung Mas;Mihing Raya;Kampuri;74571
34540;Kalimantan Tengah;Kabupaten;Gunung Mas;Mihing Raya;Rangan Tate;74571
34541;Kalimantan Tengah;Kabupaten;Gunung Mas;Mihing Raya;Tumbang Danau;74571
34542;Kalimantan Tengah;Kabupaten;Gunung Mas;Mihing Raya;Tumbang Empas;74571
34543;Kalimantan Tengah;Kabupaten;Gunung Mas;Mihing Raya;Tuyun;74571
34544;Kalimantan Tengah;Kabupaten;Gunung Mas;Miri Manasa;Buntui (Buntoi);74553
34545;Kalimantan Tengah;Kabupaten;Gunung Mas;Miri Manasa;Harowu;74553
34546;Kalimantan Tengah;Kabupaten;Gunung Mas;Miri Manasa;Mangkuhung;74553
34547;Kalimantan Tengah;Kabupaten;Gunung Mas;Miri Manasa;Rangan Hiran;74553
34548;Kalimantan Tengah;Kabupaten;Gunung Mas;Miri Manasa;Tumbang Hantung;74553
34549;Kalimantan Tengah;Kabupaten;Gunung Mas;Miri Manasa;Tumbang Koroi;74553
34550;Kalimantan Tengah;Kabupaten;Gunung Mas;Miri Manasa;Tumbang Lapan;74553
34551;Kalimantan Tengah;Kabupaten;Gunung Mas;Miri Manasa;Tumbang Manyoi;74553
34552;Kalimantan Tengah;Kabupaten;Gunung Mas;Miri Manasa;Tumbang Masukih;74553
