No;Province;City/Kab;City/Kab Name;Kec/subDistrict;Kelurahan/village;Postal Code
35000;Kalimantan Tengah;Kabupaten;Katingan;Tewang Sanggalang Garing (Sangalang);Tewang Manyangen;74452
35001;Kalimantan Tengah;Kabupaten;Katingan;Tewang Sanggalang Garing (Sangalang);Tewang Rangas;74452
35002;Kalimantan Tengah;Kabupaten;Katingan;Tewang Sanggalang Garing (Sangalang);Tewang Rangkang;74452
35003;Kalimantan Tengah;Kabupaten;Katingan;Tewang Sanggalang Garing (Sangalang);Tumbang Terusan;74452
35004;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Baru;74113
35005;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Kenambui;74117
35006;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Kumpai Batu Atas;74117
35007;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Kumpai Batu Bawah;74117
35008;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Madurejo;74112
35009;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Medangsari;74117
35010;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Mendawai;74115
35011;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Mendawai Seberang;74117
35012;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Natai Baru;74117
35013;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Natai Raya;74117
35014;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Pasir Panjang;74117
35015;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Raja;74114
35016;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Raja Seberang;74116
35017;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Rangda;74117
35018;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Runtu;74117
35019;Kalimantan Tengah;Kabupaten;Kotawaringin Barat;Arut Selatan;Sidorejo;74111
